,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,4
77,5
78,8
79,9
80,14
81,20
82,27
83,34
84,40
85,43
86,48
87,53
88,56
89,60
90,67
91,76
92,85
93,99
94,105
95,113
96,120
97,127
98,140
99,151
100,158
101,164
102,166
103,169
104,171
105,175
106,182
107,187
108,194
109,196
110,199
111,202
112,203
113,207
114,208
115,210
116,210
117,213
118,213
119,213
120,213
121,214
122,216
123,216
124,216
125,217
126,217
127,218
128,218
129,218
130,219
131,219
132,219
133,220
134,221
135,221
136,221
137,221
138,221
139,221
140,221
141,221
142,222
143,222
144,223
145,223
146,223
147,223
148,223
149,223
150,223
151,223
152,223
153,224
154,224
155,224
156,224
157,224
158,224
159,224
160,224
161,225
162,225
163,225
164,225
165,225
166,225
167,225
168,225
169,225
170,225
171,225
172,225
173,225
174,225
175,225
176,225
177,225
178,225
179,225
180,225
181,225
182,225
183,225
184,225
185,225
186,225
187,225
188,225
189,225
190,225
191,225
192,225
193,225
194,225
195,225
196,225
197,225
198,225
199,225
200,225
201,225
202,225
203,225
204,226
205,226
206,226
207,226
208,227
209,227
210,227
211,227
212,227
213,227
214,227
215,227
216,227
217,227
218,227
219,227
220,227
221,227
222,227
223,227
224,227
225,227
226,227
227,227
228,227
229,227
230,227
231,227
232,227
233,227
234,227
235,227
236,227
237,227
238,227
