,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,1
69,3
70,3
71,3
72,3
73,5
74,5
75,5
76,5
77,6
78,7
79,8
80,10
81,10
82,11
83,11
84,11
85,12
86,12
87,12
88,13
89,14
90,14
91,14
92,15
93,17
94,19
95,21
96,22
97,23
98,24
99,25
100,25
101,28
102,28
103,29
104,31
105,33
106,35
107,35
108,35
109,35
110,35
111,35
112,35
113,37
114,37
115,37
116,39
117,39
118,39
119,39
120,40
121,42
122,42
123,42
124,42
125,43
126,43
127,43
128,43
129,43
130,43
131,43
132,43
133,43
134,43
135,43
136,43
137,43
138,43
139,43
140,44
141,45
142,45
143,45
144,46
145,46
146,46
147,46
148,46
149,46
150,46
151,46
152,46
153,46
154,46
155,46
156,46
157,46
158,46
159,46
160,46
161,46
162,46
163,46
164,46
165,46
166,46
167,46
168,46
169,46
170,46
171,46
172,46
173,46
174,46
175,47
176,47
177,47
178,47
179,48
180,48
181,48
182,48
183,48
184,49
185,49
186,50
187,50
188,51
189,51
190,51
191,51
192,51
193,51
194,51
195,51
196,51
197,51
198,51
199,51
200,51
201,51
202,51
203,51
204,51
205,51
206,51
207,51
208,51
209,51
210,51
211,51
212,51
213,51
214,51
215,51
216,51
217,51
218,52
219,52
220,52
221,52
222,52
223,53
224,53
225,53
226,53
227,53
228,53
229,53
230,53
231,53
232,53
233,53
234,53
235,53
236,53
237,53
238,53
