,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.0
70,0.0
71,5.0
72,5.0
73,5.0
74,8.0
75,8.0
76,8.0
77,13.0
78,8.0
79,8.0
80,19.0
81,16.0
82,16.0
83,37.0
84,32.0
85,32.0
86,47.0
87,36.0
88,36.0
89,53.0
90,32.0
91,32.0
92,53.0
93,38.0
94,38.0
95,52.0
96,35.0
97,35.0
98,48.0
99,27.0
100,27.0
101,36.0
102,22.0
103,22.0
104,31.0
105,18.0
106,18.0
107,25.0
108,16.0
109,16.0
110,19.0
111,10.0
112,10.0
113,16.0
114,9.0
115,9.0
116,14.0
117,11.0
118,11.0
119,11.0
120,5.0
121,5.0
122,8.0
123,3.0
124,3.0
125,8.0
126,8.0
127,8.0
128,11.0
129,8.0
130,8.0
131,15.0
132,10.0
133,10.0
134,17.0
135,14.0
136,14.0
137,20.0
138,13.0
139,13.0
140,16.0
141,9.0
142,9.0
143,17.0
144,11.0
145,11.0
146,13.0
147,10.0
148,10.0
149,11.0
150,3.0
151,3.0
152,3.0
153,1.0
154,1.0
155,2.0
156,1.0
157,1.0
158,5.0
159,5.0
160,5.0
161,7.0
162,6.0
163,6.0
164,7.0
165,3.0
166,3.0
167,3.0
168,1.0
169,1.0
170,1.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,2.0
192,1.0
193,1.0
194,7.0
195,7.0
196,7.0
197,9.0
198,8.0
199,8.0
200,8.0
201,2.0
202,2.0
203,4.0
204,2.0
205,2.0
206,2.0
207,2.0
208,2.0
209,2.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,3.0
228,2.0
229,2.0
230,2.0
231,2.0
232,2.0
233,2.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
