,transmission_time,incubation_time,infection_time,disease_state
0,9442,740,9216,State.EXPOSED
1,9448,734,9216,State.EXPOSED
2,9738,,9442,State.ASYMPTOMATIC
3,9745,,9448,State.ASYMPTOMATIC
4,9866,,9442,State.ASYMPTOMATIC
5,9985,,9448,State.ASYMPTOMATIC
6,10058,,9442,State.ASYMPTOMATIC
7,10089,,9448,State.ASYMPTOMATIC
8,10104,,9936,State.ASYMPTOMATIC
9,10568,,10104,State.ASYMPTOMATIC
10,10594,611,10368,State.EXPOSED
11,10704,501,10368,State.EXPOSED
12,10706,499,10368,State.EXPOSED
13,10745,472,10568,State.EXPOSED
14,10803,337,10745,State.EXPOSED
15,10880,,10704,State.ASYMPTOMATIC
16,10971,747,10594,State.EXPOSED
17,10985,466,10800,State.EXPOSED
18,11019,699,10594,State.EXPOSED
19,11040,,10704,State.ASYMPTOMATIC
20,11049,606,10800,State.EXPOSED
21,11088,363,10800,State.EXPOSED
22,11124,,10800,State.ASYMPTOMATIC
23,11176,409,10880,State.EXPOSED
24,11178,407,10880,State.EXPOSED
25,11200,455,10800,State.EXPOSED
26,11258,555,11176,State.EXPOSED
27,11401,412,11176,State.EXPOSED
28,11402,411,11176,State.EXPOSED
29,11404,,11258,State.ASYMPTOMATIC
30,11504,391,11376,State.EXPOSED
31,11544,560,11200,State.EXPOSED
32,11577,236,11176,State.EXPOSED
33,11592,512,11200,State.EXPOSED
34,11692,121,11176,State.EXPOSED
35,11737,178,11504,State.EXPOSED
36,11836,79,11504,State.EXPOSED
37,11888,,11737,State.ASYMPTOMATIC
38,11979,566,11808,State.EXPOSED
39,12048,106,11808,State.EXPOSED
40,12072,82,11808,State.EXPOSED
41,12073,855,11952,State.EXPOSED
42,12078,476,11808,State.EXPOSED
43,12112,0,11482,State.MILD
44,12162,0,11595,State.SEVERE
45,12264,,12072,State.ASYMPTOMATIC
46,12360,870,11979,State.EXPOSED
47,12366,761,12096,State.EXPOSED
48,12408,,12072,State.ASYMPTOMATIC
49,12482,748,11979,State.EXPOSED
50,12521,406,12360,State.EXPOSED
51,12584,,12048,State.MILD
52,12769,435,12521,State.EXPOSED
53,12792,439,12672,State.EXPOSED
54,12801,,12528,State.ASYMPTOMATIC
55,12816,,12528,State.ASYMPTOMATIC
56,12842,,12528,State.ASYMPTOMATIC
57,12848,,12528,State.ASYMPTOMATIC
58,12920,1368,12769,State.EXPOSED
59,12944,1344,12769,State.EXPOSED
60,12953,251,12521,State.EXPOSED
61,12953,,12528,State.ASYMPTOMATIC
62,12962,,12816,State.ASYMPTOMATIC
63,13042,985,12960,State.EXPOSED
64,13200,,12944,State.ASYMPTOMATIC
65,13209,0,12759,State.SEVERE
66,13226,530,12960,State.EXPOSED
67,13264,0,12607,State.MILD
68,13273,650,12960,State.EXPOSED
69,13280,643,12960,State.EXPOSED
70,13281,642,12960,State.EXPOSED
71,13289,,12944,State.ASYMPTOMATIC
72,13296,,12953,State.ASYMPTOMATIC
73,13308,803,13104,State.EXPOSED
74,13313,237,12920,State.EXPOSED
75,13332,779,13104,State.EXPOSED
76,13344,,12953,State.ASYMPTOMATIC
77,13352,198,12920,State.EXPOSED
78,13369,,12953,State.ASYMPTOMATIC
79,13370,386,12960,State.EXPOSED
80,13384,372,12960,State.EXPOSED
81,13417,508,13042,State.EXPOSED
82,13440,685,13280,State.EXPOSED
83,13512,613,13280,State.EXPOSED
84,13521,404,13042,State.EXPOSED
85,13528,,12953,State.ASYMPTOMATIC
86,13537,509,13417,State.EXPOSED
87,13540,370,13226,State.EXPOSED
88,13590,416,13281,State.EXPOSED
89,13657,253,13226,State.EXPOSED
90,13684,374,13536,State.EXPOSED
91,13698,348,13417,State.EXPOSED
92,13744,403,13440,State.EXPOSED
93,13776,875,13521,State.EXPOSED
94,13778,117,13528,State.EXPOSED
95,13825,1299,13684,State.EXPOSED
96,13841,317,13370,State.EXPOSED
97,13865,185,13537,State.EXPOSED
98,13873,177,13537,State.EXPOSED
99,13904,146,13537,State.EXPOSED
100,13977,576,13824,State.EXPOSED
101,13984,66,13537,State.EXPOSED
102,14097,,13778,State.ASYMPTOMATIC
103,14124,,13841,State.ASYMPTOMATIC
104,14129,,13778,State.ASYMPTOMATIC
105,14130,0,13764,State.SEVERE
106,14137,,13825,State.ASYMPTOMATIC
107,14152,401,13824,State.EXPOSED
108,14153,,13841,State.ASYMPTOMATIC
109,14169,,13778,State.ASYMPTOMATIC
110,14233,341,13968,State.EXPOSED
111,14241,333,13968,State.EXPOSED
112,14258,,13778,State.ASYMPTOMATIC
113,14272,,13698,State.ASYMPTOMATIC
114,14297,415,14153,State.EXPOSED
115,14489,223,14153,State.EXPOSED
116,14520,397,14152,State.EXPOSED
117,14561,814,14272,State.EXPOSED
118,14568,144,14153,State.EXPOSED
119,14625,87,14153,State.EXPOSED
120,14658,493,14256,State.EXPOSED
121,14667,1066,14520,State.EXPOSED
122,14745,571,14561,State.EXPOSED
123,14764,552,14561,State.EXPOSED
124,14812,504,14561,State.EXPOSED
125,14857,459,14561,State.EXPOSED
126,15042,274,14561,State.EXPOSED
127,15266,446,15120,State.EXPOSED
128,15420,292,15120,State.EXPOSED
129,15520,,15264,State.ASYMPTOMATIC
130,15600,180,15520,State.EXPOSED
131,15649,127,15266,State.EXPOSED
132,15729,47,15266,State.EXPOSED
133,15745,285,15600,State.EXPOSED
134,15768,262,15600,State.EXPOSED
135,15802,,15649,State.ASYMPTOMATIC
136,15852,,15696,State.ASYMPTOMATIC
137,15864,,15266,State.MILD
138,15944,886,15768,State.EXPOSED
139,15961,,15649,State.ASYMPTOMATIC
140,16034,133,15745,State.EXPOSED
141,16056,111,15745,State.EXPOSED
142,16154,13,15745,State.EXPOSED
143,16185,700,15802,State.EXPOSED
144,16346,87,15792,State.EXPOSED
145,16346,,16034,State.ASYMPTOMATIC
146,16418,15,15792,State.EXPOSED
147,16648,570,16346,State.EXPOSED
148,16792,387,16648,State.EXPOSED
149,16801,417,16346,State.EXPOSED
150,17001,267,16848,State.EXPOSED
151,17010,258,16848,State.EXPOSED
152,17019,249,16848,State.EXPOSED
153,17035,233,16848,State.EXPOSED
154,17272,,17001,State.ASYMPTOMATIC
155,17280,,17001,State.ASYMPTOMATIC
156,17384,,17001,State.ASYMPTOMATIC
157,17832,0,17222,State.SEVERE
