,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,1.0
67,1.0
68,2.0
69,7.0
70,7.0
71,8.0
72,10.0
73,11.0
74,13.0
75,14.0
76,23.0
77,23.0
78,24.0
79,24.0
80,26.0
81,30.0
82,32.0
83,55.0
84,57.0
85,56.0
86,62.0
87,68.0
88,72.0
89,79.0
90,89.0
91,93.0
92,95.0
93,89.0
94,84.0
95,81.0
96,78.0
97,63.0
98,58.0
99,56.0
100,55.0
101,57.0
102,51.0
103,47.0
104,43.0
105,44.0
106,44.0
107,43.0
108,37.0
109,38.0
110,34.0
111,20.0
112,18.0
113,19.0
114,20.0
115,19.0
116,18.0
117,20.0
118,17.0
119,17.0
120,15.0
121,15.0
122,17.0
123,16.0
124,16.0
125,15.0
126,15.0
127,16.0
128,17.0
129,15.0
130,15.0
131,13.0
132,5.0
133,5.0
134,4.0
135,2.0
136,3.0
137,4.0
138,4.0
139,4.0
140,4.0
141,4.0
142,4.0
143,3.0
144,2.0
145,2.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,1.0
152,1.0
153,2.0
154,2.0
155,2.0
156,2.0
157,2.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,0.0
201,1.0
202,1.0
203,2.0
204,2.0
205,2.0
206,3.0
207,3.0
208,3.0
209,7.0
210,6.0
211,6.0
212,6.0
213,6.0
214,6.0
215,5.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,7.0
222,7.0
223,8.0
224,8.0
225,9.0
226,11.0
227,11.0
228,10.0
229,11.0
230,5.0
231,5.0
232,4.0
233,2.0
234,1.0
235,1.0
236,0.0
237,0.0
238,1.0
