,transmission_time,incubation_time,infection_time,disease_state
0,9450,,9072,State.ASYMPTOMATIC
1,9698,,9504,State.ASYMPTOMATIC
2,9753,515,9504,State.EXPOSED
3,9866,,9504,State.ASYMPTOMATIC
4,9867,,9504,State.ASYMPTOMATIC
5,9876,,9504,State.ASYMPTOMATIC
6,9969,210,9866,State.EXPOSED
7,10017,,9867,State.ASYMPTOMATIC
8,10064,204,9504,State.EXPOSED
9,10145,144,9753,State.EXPOSED
10,10193,96,9753,State.EXPOSED
11,10217,,9936,State.ASYMPTOMATIC
12,10232,433,10064,State.EXPOSED
13,10241,48,9753,State.EXPOSED
14,10281,681,10017,State.EXPOSED
15,10321,344,10064,State.EXPOSED
16,10392,115,10061,State.EXPOSED
17,10408,819,10241,State.EXPOSED
18,10409,359,10217,State.EXPOSED
19,10409,453,10281,State.EXPOSED
20,10416,546,10017,State.EXPOSED
21,10440,572,10145,State.EXPOSED
22,10456,506,10017,State.EXPOSED
23,10457,311,10217,State.EXPOSED
24,10464,43,10061,State.EXPOSED
25,10536,709,10392,State.EXPOSED
26,10553,215,10217,State.EXPOSED
27,10578,434,10145,State.EXPOSED
28,10593,629,10416,State.EXPOSED
29,10600,,10061,State.MILD
30,10601,230,10224,State.EXPOSED
31,10616,,10456,State.ASYMPTOMATIC
32,10617,605,10416,State.EXPOSED
33,10634,,10321,State.ASYMPTOMATIC
34,10681,564,10392,State.EXPOSED
35,10728,284,10145,State.EXPOSED
36,10728,608,10440,State.EXPOSED
37,10730,492,10416,State.EXPOSED
38,10736,577,10593,State.EXPOSED
39,10744,478,10416,State.EXPOSED
40,10806,473,10536,State.EXPOSED
41,10808,595,10409,State.EXPOSED
42,10817,462,10536,State.EXPOSED
43,10817,405,10416,State.EXPOSED
44,10833,570,10409,State.EXPOSED
45,10840,418,10553,State.EXPOSED
46,10842,561,10409,State.EXPOSED
47,10851,552,10634,State.EXPOSED
48,10880,1042,10728,State.EXPOSED
49,10880,342,10416,State.EXPOSED
50,10888,356,10656,State.EXPOSED
51,10898,324,10416,State.EXPOSED
52,10900,,10321,State.ASYMPTOMATIC
53,10902,70,10617,State.EXPOSED
54,10968,466,10817,State.EXPOSED
55,10969,635,10840,State.EXPOSED
56,10976,360,10440,State.EXPOSED
57,10994,703,10808,State.EXPOSED
58,10994,634,10880,State.EXPOSED
59,11008,305,10593,State.EXPOSED
60,11009,292,10833,State.EXPOSED
61,11009,304,10593,State.EXPOSED
62,11034,234,10728,State.EXPOSED
63,11040,204,10656,State.EXPOSED
64,11041,656,10808,State.EXPOSED
65,11057,640,10808,State.EXPOSED
66,11057,536,10616,State.EXPOSED
67,11073,275,10408,State.EXPOSED
68,11076,168,10656,State.EXPOSED
69,11096,508,10840,State.EXPOSED
70,11097,337,10817,State.EXPOSED
71,11112,,10969,State.ASYMPTOMATIC
72,11112,547,10968,State.EXPOSED
73,11115,513,10880,State.EXPOSED
74,11121,390,10817,State.EXPOSED
75,11129,172,10833,State.EXPOSED
76,11160,1158,11040,State.EXPOSED
77,11161,250,10888,State.EXPOSED
78,11164,1104,10994,State.EXPOSED
79,11187,,10898,State.ASYMPTOMATIC
80,11225,286,10817,State.EXPOSED
81,11225,178,10634,State.EXPOSED
82,11232,531,10976,State.EXPOSED
83,11233,1066,10944,State.EXPOSED
84,11257,402,10968,State.EXPOSED
85,11257,506,10976,State.EXPOSED
86,11259,1040,10944,State.EXPOSED
87,11265,169,10817,State.EXPOSED
88,11272,425,10808,State.EXPOSED
89,11280,417,10808,State.EXPOSED
90,11280,,11008,State.ASYMPTOMATIC
91,11281,130,10888,State.EXPOSED
92,11285,1377,10994,State.EXPOSED
93,11308,960,10994,State.EXPOSED
94,11320,,11160,State.ASYMPTOMATIC
95,11322,0,10735,State.SEVERE
96,11331,80,10888,State.EXPOSED
97,11352,670,11088,State.EXPOSED
98,11353,568,11057,State.EXPOSED
99,11355,156,10817,State.EXPOSED
100,11360,,11073,State.ASYMPTOMATIC
101,11376,142,11129,State.EXPOSED
102,11403,420,11257,State.EXPOSED
103,11417,144,11121,State.EXPOSED
104,11425,246,11232,State.EXPOSED
105,11441,,11097,State.ASYMPTOMATIC
106,11448,894,11161,State.EXPOSED
107,11449,,10880,State.ASYMPTOMATIC
108,11457,661,11164,State.EXPOSED
109,11466,,11088,State.ASYMPTOMATIC
110,11472,825,11265,State.EXPOSED
111,11472,564,11403,State.EXPOSED
112,11473,731,11057,State.EXPOSED
113,11488,300,11041,State.EXPOSED
114,11520,639,11448,State.EXPOSED
115,11520,409,11259,State.EXPOSED
116,11521,545,11320,State.EXPOSED
117,11544,738,11112,State.EXPOSED
118,11545,885,11115,State.EXPOSED
119,11550,719,11272,State.EXPOSED
120,11561,614,11376,State.EXPOSED
121,11568,,11088,State.ASYMPTOMATIC
122,11570,772,11161,State.EXPOSED
123,11585,383,11281,State.EXPOSED
124,11592,318,11280,State.EXPOSED
125,11592,376,11281,State.EXPOSED
126,11598,94,11466,State.EXPOSED
127,11600,809,11360,State.EXPOSED
128,11610,,11160,State.ASYMPTOMATIC
129,11616,108,11076,State.EXPOSED
130,11624,479,11225,State.EXPOSED
131,11640,27,11352,State.EXPOSED
132,11644,628,11331,State.EXPOSED
133,11656,417,11592,State.EXPOSED
134,11656,234,11225,State.EXPOSED
