,transmission_time,incubation_time,infection_time,disease_state
0,9978,,9792,State.ASYMPTOMATIC
1,10017,343,9792,State.EXPOSED
2,10133,492,10017,State.EXPOSED
3,10224,414,9936,State.EXPOSED
4,10281,79,9792,State.EXPOSED
5,10374,264,9936,State.EXPOSED
6,10385,278,9978,State.EXPOSED
7,10465,198,9978,State.EXPOSED
8,10536,,10224,State.ASYMPTOMATIC
9,10544,,10224,State.ASYMPTOMATIC
10,10673,529,10385,State.EXPOSED
11,10680,644,10536,State.EXPOSED
12,10809,515,10536,State.EXPOSED
13,10877,,10673,State.ASYMPTOMATIC
14,10896,175,10680,State.EXPOSED
15,10904,149,10465,State.EXPOSED
16,10969,233,10385,State.EXPOSED
17,11232,469,10877,State.EXPOSED
18,11961,875,11664,State.EXPOSED
19,11982,177,11808,State.EXPOSED
20,12064,138,11376,State.EXPOSED
21,12073,486,11664,State.EXPOSED
22,12122,714,11664,State.EXPOSED
23,12128,708,11664,State.EXPOSED
24,12160,548,11952,State.EXPOSED
25,12168,643,11952,State.EXPOSED
26,12176,532,11952,State.EXPOSED
27,12217,342,11664,State.EXPOSED
28,12273,451,12096,State.EXPOSED
29,12297,713,12096,State.EXPOSED
30,12362,707,12096,State.EXPOSED
31,12384,893,12096,State.EXPOSED
32,12386,723,12128,State.EXPOSED
33,12402,445,12386,State.EXPOSED
34,12410,699,12128,State.EXPOSED
35,12425,299,12096,State.EXPOSED
36,12461,,12273,State.ASYMPTOMATIC
37,12464,546,12096,State.EXPOSED
38,12481,867,12176,State.EXPOSED
39,12482,1304,11952,State.EXPOSED
40,12488,566,12384,State.EXPOSED
41,12505,604,12128,State.EXPOSED
42,12530,194,12096,State.EXPOSED
43,12537,811,12176,State.EXPOSED
44,12579,375,12482,State.EXPOSED
45,12600,722,12168,State.EXPOSED
46,12608,714,12168,State.EXPOSED
47,12642,642,12240,State.EXPOSED
48,12665,838,12481,State.EXPOSED
49,12672,650,12168,State.EXPOSED
50,12673,675,12176,State.EXPOSED
51,12681,667,12176,State.EXPOSED
52,12688,668,12402,State.EXPOSED
53,12713,,12362,State.ASYMPTOMATIC
54,12752,302,12384,State.EXPOSED
55,12753,,12362,State.ASYMPTOMATIC
56,12768,516,12240,State.EXPOSED
57,12774,1120,12384,State.EXPOSED
58,12785,,12362,State.ASYMPTOMATIC
59,12792,683,12464,State.EXPOSED
60,12794,210,12665,State.EXPOSED
61,12816,661,12528,State.EXPOSED
62,12818,136,12482,State.EXPOSED
63,12858,535,12681,State.EXPOSED
