,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,40,13,1,1,108.22222222222223,1,212,103.75,26,0,7,14
1,31,6,0,0,100.40277777777777,1,119,96.875,22,2,4,2
2,26,8,2,1,100.54861111111111,1,161,97.19444444444444,23,1,3,5
3,17,10,0,2,98.5625,1,65,92.0,8,0,7,0
4,30,8,3,1,128.60416666666666,1,164,122.67361111111111,11,1,6,4
5,27,4,1,0,98.89583333333333,1,198,95.79166666666667,22,3,6,3
6,33,14,1,0,101.5,1,128,98.17361111111111,26,0,4,13
7,30,10,1,0,95.63194444444444,1,90,86.0,22,0,7,10
8,27,9,1,0,92.88888888888889,1,33,90.0,17,0,6,11
9,27,6,1,0,93.54166666666667,1,73,88.70833333333333,17,0,7,2
10,32,10,2,9,97.9375,1,181,95.0,22,0,3,2
11,26,11,0,1,116.59027777777777,1,122,108.5,5,1,4,1
12,25,8,0,0,233.02777777777777,1,2,230.0,9,0,7,6
13,28,9,1,0,98.50694444444444,1,193,91.375,16,2,5,10
14,8,6,0,1,115.86111111111111,1,120,112.0,5,0,5,0
15,33,8,0,0,93.59027777777777,1,135,86.53472222222223,10,2,9,16
16,31,11,0,1,117.53472222222223,1,96,108.66666666666667,15,0,6,5
17,28,8,2,1,125.59722222222223,1,163,117.66666666666667,11,1,7,11
18,48,24,0,1,79.04861111111111,1,129,75.0,14,0,6,20
19,30,11,1,0,89.96527777777777,1,183,85.86805555555556,10,1,6,5
20,40,15,2,1,88.72916666666667,1,108,78.58333333333333,25,0,7,12
21,26,10,0,1,73.38888888888889,1,107,70.0,4,0,4,8
22,43,18,1,0,88.34027777777777,1,155,81.0,22,0,9,20
23,21,12,0,0,133.22222222222223,1,41,127.0,7,0,3,0
24,25,6,1,1,128.42361111111111,1,116,122.17361111111111,4,0,2,2
25,31,10,0,0,97.09027777777777,1,14,92.16666666666667,17,1,6,7
26,18,10,0,4,93.52777777777777,1,139,88.33333333333333,6,0,5,0
27,25,8,2,1,105.38194444444444,1,78,102.86805555555556,7,1,3,3
28,17,5,1,0,112.5625,1,111,108.0,21,1,4,6
29,7,7,0,0,220.06944444444446,1,1122,216.0,5,0,5,0
30,33,12,0,6,119.50694444444444,1,1521,116.38888888888889,1,2,7,5
31,10,6,0,3,91.34722222222223,1,1157,86.0,7,0,5,0
32,22,11,0,0,153.00694444444446,1,1560,149.0,15,0,5,7
33,31,19,0,3,121.15277777777777,1,1066,115.0,12,0,6,11
34,33,12,0,0,93.79166666666667,1,1162,84.0,10,1,6,5
35,31,10,0,0,94.99305555555556,1,1290,92.16666666666667,17,0,6,4
36,33,11,2,2,89.13194444444444,1,1252,83.29861111111111,12,0,6,12
37,30,10,0,0,81.63194444444444,1,1537,76.0,23,0,5,6
38,14,5,0,5,91.19444444444444,1,1114,87.0,3,1,3,0
39,43,17,0,0,228.69444444444446,1,1034,225.0,21,0,10,18
40,31,13,1,2,97.3125,1,1682,92.66666666666667,7,1,9,7
41,26,10,1,1,138.55555555555554,1,1156,134.0,27,0,6,11
42,19,11,1,0,109.77777777777777,1,1528,103.66666666666667,9,0,7,5
43,43,20,1,0,101.3125,1,1471,92.0,12,0,10,11
44,18,8,0,0,109.77777777777777,1,1242,101.0,9,1,4,2
45,8,3,0,5,87.0625,1,1225,81.0,5,0,2,0
46,23,15,0,4,95.40277777777777,1,1439,93.0,7,0,5,0
47,32,12,1,1,96.63888888888889,1,1068,92.20833333333333,28,1,11,10
48,39,15,1,0,95.28472222222223,1,1683,91.0,9,1,6,5
49,7,6,0,1,210.38888888888889,1,1158,208.0,8,0,6,0
50,24,6,0,1,104.8125,1,1111,99.0,27,0,4,10
51,30,13,1,0,80.19444444444444,1,1365,74.88888888888889,11,0,6,8
52,31,8,0,0,86.96527777777777,1,1104,83.0,10,2,5,12
53,26,7,0,0,104.375,1,1552,100.0,24,0,5,7
54,28,7,0,0,88.77777777777777,1,1384,86.375,23,1,5,7
55,28,8,0,0,105.0625,1,1600,99.0,24,0,5,3
56,29,7,1,0,82.28472222222223,1,1479,78.67361111111111,16,1,7,11
57,28,11,0,0,86.5,1,1230,80.94444444444444,23,0,7,8
58,29,9,0,7,121.9375,1,1184,120.0,14,1,9,8
59,28,9,0,2,140.88194444444446,1,1759,137.0,27,0,6,5
60,8,3,0,3,127.39583333333333,1,1080,118.125,1,0,1,0
61,11,6,0,2,106.13888888888889,1,1718,97.0,7,0,4,0
62,30,13,0,1,131.11111111111111,1,1385,125.0,27,0,6,10
63,28,10,0,2,116.04861111111111,1,1154,112.44444444444444,23,0,7,10
64,36,16,1,0,104.47916666666667,1,1307,98.16666666666667,17,1,5,4
65,30,9,0,1,114.70833333333333,1,1661,111.83333333333333,21,1,6,8
66,29,10,1,1,75.19444444444444,1,1088,71.0,10,0,5,8
67,26,8,1,1,100.05555555555556,1,1406,98.20833333333333,23,2,6,5
68,28,10,1,3,88.38194444444444,1,1442,83.0,17,0,6,0
69,30,8,0,1,91.69444444444444,1,1090,87.44444444444444,19,0,5,9
70,35,12,1,0,100.47916666666667,1,1196,96.75,14,2,5,8
71,31,11,0,1,109.52777777777777,1,1309,104.18055555555556,15,0,5,14
72,6,6,0,0,74.02083333333333,1,1107,67.0,6,0,5,0
73,27,9,3,0,103.02083333333333,1,1193,99.0,19,0,8,12
74,21,9,1,13,97.54861111111111,1,1130,91.0,4,0,7,0
75,31,12,0,0,131.30555555555554,1,1674,122.0,11,0,7,9
76,30,12,1,0,81.74305555555556,1,1606,80.20833333333333,21,0,7,12
77,33,11,0,2,140.29861111111111,1,1429,132.0,27,0,5,10
78,37,15,0,2,112.8125,1,1511,103.79166666666667,20,0,5,14
79,17,5,0,12,96.0625,1,1579,89.0,4,0,7,0
80,11,7,0,5,131.63888888888889,1,1040,129.0,2,0,4,0
81,31,12,1,1,99.03472222222223,1,1147,91.0,23,2,4,2
82,15,5,1,7,103.76388888888889,1,1411,93.0,3,0,3,0
83,22,6,0,0,98.00694444444444,1,1431,93.0,9,2,4,2
