,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,2
65,2
66,2
67,2
68,3
69,4
70,4
71,4
72,4
73,4
74,7
75,8
76,10
77,11
78,12
79,12
80,12
81,12
82,13
83,14
84,17
85,19
86,21
87,23
88,24
89,24
90,24
91,24
92,25
93,26
94,26
95,26
96,27
97,27
98,27
99,27
100,27
101,27
102,28
103,28
104,29
105,30
106,30
107,31
108,31
109,31
110,31
111,31
112,32
113,32
114,32
115,32
116,33
117,36
118,36
119,37
120,38
121,39
122,39
123,39
124,40
125,40
126,40
127,40
128,40
129,40
130,40
131,40
132,40
133,40
134,40
135,40
136,40
137,40
138,40
139,40
140,40
141,40
142,40
143,40
144,40
145,40
146,40
147,40
148,40
149,40
150,40
151,40
152,40
153,40
154,40
155,40
156,40
157,40
158,40
159,40
160,40
161,40
162,40
163,40
164,40
165,40
166,40
167,40
168,40
169,40
170,40
171,40
172,40
173,40
174,40
175,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,40
184,40
185,40
186,40
187,40
188,40
189,40
190,40
191,40
192,40
193,40
194,40
195,40
196,40
197,40
198,40
199,40
200,40
201,40
202,40
203,40
204,40
205,40
206,40
207,40
208,40
209,40
210,40
211,40
212,40
213,40
214,40
215,40
216,40
217,40
218,40
219,40
220,40
221,40
222,42
223,42
224,43
225,43
226,43
227,43
228,43
229,43
230,43
231,43
232,43
233,43
234,44
235,44
236,44
237,44
238,44
