,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
1,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2,208.0,0.0,0.0,0.0,0.0,0.0,0.0
3,213.0,0.0,0.0,0.0,0.0,0.0,0.0
4,225.0,0.0,0.0,0.0,0.0,0.0,0.0
5,213.0,0.0,0.0,0.0,0.0,0.0,0.0
6,223.0,0.0,0.0,0.0,0.0,0.0,0.0
7,214.0,0.0,0.0,0.0,0.0,0.0,0.0
8,207.0,0.0,0.0,0.0,0.0,0.0,0.0
9,204.0,0.0,0.0,0.0,0.0,0.0,0.0
10,212.0,0.0,0.0,0.0,0.0,0.0,0.0
11,223.0,0.0,0.0,0.0,0.0,0.0,0.0
12,218.0,0.0,0.0,0.0,0.0,0.0,0.0
13,214.0,0.0,0.0,0.0,0.0,0.0,0.0
14,223.0,0.0,0.0,0.0,0.0,0.0,0.0
15,223.0,0.0,0.0,0.0,0.0,0.0,0.0
16,226.0,0.0,0.0,0.0,0.0,0.0,0.0
17,220.0,0.0,0.0,0.0,0.0,0.0,0.0
18,223.0,0.0,0.0,0.0,0.0,0.0,0.0
19,227.0,0.0,0.0,0.0,0.0,0.0,0.0
20,224.0,0.0,0.0,0.0,0.0,0.0,0.0
21,221.0,0.0,0.0,0.0,0.0,0.0,0.0
22,227.0,0.0,0.0,0.0,0.0,0.0,0.0
23,239.0,0.0,0.0,0.0,0.0,0.0,0.0
24,255.0,0.0,0.0,0.0,0.0,0.0,0.0
25,249.0,0.0,0.0,0.0,0.0,0.0,0.0
26,239.0,0.0,0.0,0.0,0.0,0.0,0.0
27,232.0,0.0,0.0,0.0,0.0,0.0,0.0
28,239.0,0.0,0.0,0.0,0.0,0.0,0.0
29,248.0,0.0,0.0,0.0,0.0,0.0,0.0
30,243.0,0.0,0.0,0.0,0.0,0.0,0.0
31,242.0,0.0,0.0,0.0,0.0,0.0,0.0
32,223.0,0.0,0.0,0.0,0.0,0.0,0.0
33,231.0,0.0,0.0,0.0,0.0,0.0,0.0
34,236.0,0.0,0.0,0.0,0.0,0.0,0.0
35,239.0,0.0,0.0,0.0,0.0,0.0,0.0
36,232.0,0.0,0.0,0.0,0.0,0.0,0.0
37,243.0,0.0,0.0,0.0,0.0,0.0,0.0
38,252.0,0.0,0.0,0.0,0.0,0.0,0.0
39,252.0,0.0,0.0,0.0,0.0,0.0,0.0
40,231.0,0.0,0.0,0.0,0.0,0.0,0.0
41,231.0,0.0,0.0,0.0,0.0,0.0,0.0
42,240.0,0.0,0.0,0.0,0.0,0.0,0.0
43,236.0,0.0,0.0,0.0,0.0,0.0,0.0
44,227.0,0.0,0.0,0.0,0.0,0.0,0.0
45,237.0,0.0,0.0,0.0,0.0,0.0,0.0
46,230.0,0.0,0.0,0.0,0.0,0.0,0.0
47,225.0,0.0,0.0,0.0,0.0,0.0,0.0
48,231.0,0.0,0.0,0.0,0.0,0.0,0.0
49,232.0,0.0,0.0,0.0,0.0,0.0,0.0
50,231.0,0.0,0.0,0.0,0.0,0.0,0.0
51,205.0,0.0,0.0,0.0,0.0,0.0,0.0
52,221.0,0.0,0.0,0.0,0.0,0.0,0.0
53,224.0,0.0,0.0,0.0,0.0,0.0,0.0
54,235.0,0.0,0.0,0.0,0.0,0.0,0.0
55,237.0,0.0,0.0,0.0,0.0,0.0,0.0
56,231.0,0.0,0.0,0.0,0.0,0.0,0.0
57,226.0,0.0,0.0,0.0,0.0,0.0,0.0
58,247.0,0.0,0.0,0.0,0.0,0.0,0.0
59,236.0,0.0,0.0,0.0,1.0,0.0,0.0
60,225.0,0.0,0.0,0.0,1.0,0.0,0.0
61,227.0,0.0,0.0,0.0,1.0,0.0,0.0
62,216.0,1.0,0.0,0.0,1.0,0.0,0.0
63,215.0,3.0,0.0,0.0,1.0,0.0,0.0
64,222.0,6.0,0.0,0.0,1.0,0.0,0.0
65,202.0,6.0,0.0,0.0,1.0,0.0,0.0
66,197.0,7.0,0.0,0.0,1.0,0.0,2.0
67,220.0,7.0,0.0,0.0,1.0,0.0,3.0
68,231.0,6.0,1.0,0.0,2.0,0.0,3.0
69,233.0,8.0,1.0,0.0,2.0,0.0,2.0
70,234.0,5.0,4.0,0.0,2.0,0.0,1.0
71,224.0,2.0,5.0,0.0,2.0,0.0,0.0
72,231.0,2.0,3.0,0.0,2.0,0.0,0.0
73,219.0,1.0,1.0,0.0,2.0,0.0,0.0
74,212.0,1.0,1.0,0.0,2.0,0.0,0.0
75,214.0,0.0,1.0,0.0,2.0,0.0,0.0
76,215.0,3.0,1.0,0.0,2.0,0.0,0.0
77,213.0,3.0,3.0,0.0,4.0,0.0,0.0
78,214.0,3.0,4.0,0.0,5.0,0.0,0.0
79,206.0,3.0,5.0,0.0,8.0,0.0,0.0
80,223.0,5.0,7.0,0.0,9.0,0.0,1.0
81,224.0,3.0,5.0,0.0,12.0,0.0,1.0
82,241.0,2.0,7.0,0.0,14.0,0.0,0.0
83,230.0,2.0,11.0,0.0,16.0,0.0,0.0
84,231.0,2.0,11.0,0.0,18.0,1.0,2.0
85,239.0,4.0,13.0,0.0,20.0,1.0,2.0
86,233.0,2.0,16.0,0.0,23.0,2.0,1.0
87,228.0,3.0,19.0,0.0,28.0,1.0,3.0
88,216.0,5.0,18.0,0.0,31.0,1.0,4.0
89,207.0,6.0,23.0,0.0,38.0,1.0,1.0
90,216.0,7.0,20.0,0.0,38.0,3.0,1.0
91,219.0,6.0,20.0,0.0,42.0,3.0,1.0
92,222.0,8.0,22.0,0.0,48.0,4.0,2.0
93,225.0,10.0,25.0,0.0,47.0,4.0,2.0
94,219.0,9.0,28.0,0.0,51.0,6.0,2.0
95,206.0,8.0,22.0,0.0,52.0,8.0,2.0
96,216.0,7.0,19.0,0.0,50.0,8.0,2.0
