,transmission_time,incubation_time,infection_time,disease_state
0,10057,440,9792,State.EXPOSED
1,10181,316,9792,State.EXPOSED
2,10200,297,9792,State.EXPOSED
3,10202,295,9792,State.EXPOSED
4,10328,675,9936,State.EXPOSED
5,10540,752,10181,State.EXPOSED
6,10576,,10202,State.ASYMPTOMATIC
7,10712,,10512,State.ASYMPTOMATIC
8,10734,,10512,State.ASYMPTOMATIC
9,10872,555,10576,State.EXPOSED
10,10961,782,10712,State.EXPOSED
11,11009,418,10576,State.EXPOSED
12,11017,410,10576,State.EXPOSED
13,11169,143,11009,State.EXPOSED
14,11177,566,10712,State.EXPOSED
15,11232,744,10944,State.EXPOSED
16,11249,540,10961,State.EXPOSED
17,11249,597,11017,State.EXPOSED
18,11264,525,10961,State.EXPOSED
19,11265,478,10712,State.EXPOSED
20,11284,562,11017,State.EXPOSED
21,11345,501,11017,State.EXPOSED
22,11392,584,10944,State.EXPOSED
23,11410,436,11017,State.EXPOSED
24,11424,1265,10800,State.EXPOSED
25,11448,565,11284,State.EXPOSED
26,11449,187,11177,State.EXPOSED
27,11451,577,11249,State.EXPOSED
28,11499,529,11249,State.EXPOSED
29,11520,,11265,State.ASYMPTOMATIC
30,11520,456,10944,State.EXPOSED
31,11545,301,11017,State.EXPOSED
32,11569,824,11520,State.EXPOSED
33,11585,,11169,State.ASYMPTOMATIC
34,11632,353,11345,State.EXPOSED
35,11657,691,11520,State.EXPOSED
36,11689,,11449,State.ASYMPTOMATIC
37,11728,111,11448,State.EXPOSED
38,11768,217,11345,State.EXPOSED
39,11784,564,11520,State.EXPOSED
40,11790,558,11520,State.EXPOSED
41,11800,450,11520,State.EXPOSED
42,11810,792,11689,State.EXPOSED
43,11832,0,11283,State.SEVERE
44,11856,334,11664,State.EXPOSED
45,11873,,11449,State.ASYMPTOMATIC
46,11881,544,11664,State.EXPOSED
47,11881,799,11665,State.EXPOSED
48,11904,657,11768,State.EXPOSED
49,11913,435,11520,State.EXPOSED
50,11928,,11664,State.ASYMPTOMATIC
51,11928,420,11520,State.EXPOSED
52,11937,411,11520,State.EXPOSED
53,11984,618,11689,State.EXPOSED
54,11994,,11657,State.ASYMPTOMATIC
55,12000,425,11664,State.EXPOSED
56,12001,189,11664,State.EXPOSED
57,12026,,11449,State.ASYMPTOMATIC
58,12027,398,11664,State.EXPOSED
59,12033,157,11664,State.EXPOSED
60,12072,646,11784,State.EXPOSED
61,12089,177,11913,State.EXPOSED
62,12098,504,11689,State.EXPOSED
63,12103,,11657,State.ASYMPTOMATIC
64,12104,457,11768,State.EXPOSED
65,12152,1018,11984,State.EXPOSED
66,12153,37,11664,State.EXPOSED
67,12153,14,11808,State.EXPOSED
68,12186,,11937,State.ASYMPTOMATIC
69,12210,,11810,State.ASYMPTOMATIC
70,12222,,11928,State.ASYMPTOMATIC
71,12233,755,12153,State.EXPOSED
72,12282,,11937,State.ASYMPTOMATIC
73,12288,121,11873,State.EXPOSED
74,12312,,11881,State.ASYMPTOMATIC
75,12449,652,12152,State.EXPOSED
76,12498,728,12384,State.EXPOSED
77,12530,,12153,State.ASYMPTOMATIC
78,12544,,12072,State.ASYMPTOMATIC
79,12552,,12104,State.ASYMPTOMATIC
80,12555,455,12103,State.EXPOSED
81,12569,419,12153,State.EXPOSED
82,12577,524,12152,State.EXPOSED
83,12578,293,12312,State.EXPOSED
84,12592,,12072,State.ASYMPTOMATIC
85,12617,1343,12555,State.EXPOSED
86,12624,,12498,State.ASYMPTOMATIC
87,12673,,12288,State.ASYMPTOMATIC
88,12720,381,12152,State.EXPOSED
89,12723,233,12384,State.EXPOSED
90,12738,218,12384,State.EXPOSED
91,12794,752,12240,State.EXPOSED
92,12825,1162,12673,State.EXPOSED
93,12848,518,12569,State.EXPOSED
94,12849,739,12449,State.EXPOSED
