,transmission_time,incubation_time,infection_time,disease_state
0,10648,493,10080,State.EXPOSED
1,12120,452,11808,State.EXPOSED
2,12240,82,11808,State.EXPOSED
3,12408,0,12023,State.SEVERE
4,12425,614,12240,State.EXPOSED
5,12489,0,12023,State.SEVERE
6,12665,229,12384,State.EXPOSED
7,12680,0,12335,State.MILD
8,12752,1318,12384,State.EXPOSED
9,12762,1308,12384,State.EXPOSED
10,12792,0,12335,State.MILD
11,13212,144,12816,State.EXPOSED
12,13500,396,13104,State.EXPOSED
13,13697,,13392,State.ASYMPTOMATIC
14,13830,221,13536,State.EXPOSED
15,14160,257,13968,State.EXPOSED
16,14220,500,13968,State.EXPOSED
17,14334,,13830,State.ASYMPTOMATIC
18,14481,56,13798,State.EXPOSED
19,14592,1001,14160,State.EXPOSED
20,14634,315,14400,State.EXPOSED
21,14768,187,14400,State.EXPOSED
22,14934,352,14688,State.EXPOSED
23,15012,674,14688,State.EXPOSED
24,15108,539,14832,State.EXPOSED
25,16168,0,15829,State.MILD
26,16542,806,16416,State.EXPOSED
27,16833,478,16542,State.EXPOSED
28,17945,,17712,State.ASYMPTOMATIC
29,18641,1302,18432,State.EXPOSED
30,20664,364,20304,State.EXPOSED
