,peak transmission
0,11.0
1,11.0
2,11.0
3,16.0
4,8.0
5,14.0
6,11.0
7,9.0
8,14.0
9,10.0
10,13.0
11,9.0
12,12.0
13,8.0
14,12.0
15,14.0
16,10.0
17,12.0
18,8.0
19,12.0
20,12.0
21,11.0
22,11.0
23,15.0
24,13.0
25,14.0
26,10.0
27,9.0
28,11.0
29,11.0
30,8.0
31,13.0
32,13.0
33,9.0
34,14.0
35,10.0
36,7.0
37,11.0
38,18.0
39,9.0
40,14.0
41,13.0
42,10.0
43,8.0
44,10.0
45,7.0
46,11.0
47,10.0
48,15.0
49,8.0
50,9.0
51,12.0
52,11.0
53,15.0
54,14.0
55,12.0
56,15.0
57,8.0
58,7.0
59,11.0
60,12.0
61,9.0
62,11.0
63,16.0
64,13.0
65,8.0
66,12.0
67,13.0
68,10.0
69,11.0
70,18.0
71,12.0
72,9.0
73,6.0
74,13.0
75,14.0
76,14.0
77,14.0
78,9.0
79,10.0
80,12.0
81,9.0
82,9.0
83,11.0
84,9.0
85,8.0
86,11.0
87,7.0
88,11.0
89,12.0
90,12.0
91,14.0
92,10.0
93,10.0
94,9.0
95,11.0
96,14.0
97,14.0
98,17.0
99,9.0
