,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,2
71,3
72,3
73,4
74,4
75,5
76,6
77,6
78,9
79,11
80,14
81,20
82,25
83,29
84,32
85,35
86,38
87,46
88,49
89,51
90,53
91,56
92,59
93,65
94,72
95,79
96,84
97,86
98,89
99,90
100,93
101,100
102,104
103,108
104,112
105,114
106,117
107,119
108,121
109,123
110,126
111,130
112,133
113,136
114,137
115,138
116,139
117,143
118,144
119,146
120,148
121,149
122,153
123,153
124,153
125,154
126,155
127,155
128,155
129,156
130,156
131,156
132,156
133,156
134,156
135,156
136,156
137,156
138,156
139,156
140,156
141,156
142,156
143,156
144,156
145,156
146,156
147,156
148,156
149,156
150,156
151,156
152,156
153,156
154,156
155,156
156,156
157,156
158,156
159,156
160,156
161,156
162,156
163,156
164,156
165,156
166,156
167,156
168,156
169,156
170,157
171,157
172,157
173,157
174,157
175,158
176,158
177,158
178,158
179,161
180,162
181,162
182,165
183,165
184,165
185,166
186,167
187,168
188,168
189,170
190,170
191,170
192,170
193,170
194,170
195,170
196,170
197,170
198,170
199,170
200,170
201,170
202,170
203,170
204,170
205,170
206,170
207,170
208,170
209,170
210,170
211,170
212,170
213,170
214,170
215,170
216,170
217,170
218,170
219,170
220,170
221,170
222,170
223,170
224,170
225,170
226,170
227,170
228,170
229,170
230,170
231,170
232,170
233,170
234,170
235,170
236,170
237,170
238,170
