,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
1,215.0,0.0,0.0,0.0,0.0,0.0,0.0
2,213.0,0.0,0.0,0.0,0.0,0.0,0.0
3,203.0,0.0,0.0,0.0,0.0,0.0,0.0
4,210.0,0.0,0.0,0.0,0.0,0.0,0.0
5,212.0,0.0,0.0,0.0,0.0,0.0,0.0
6,226.0,0.0,0.0,0.0,0.0,0.0,0.0
7,222.0,0.0,0.0,0.0,0.0,0.0,0.0
8,212.0,0.0,0.0,0.0,0.0,0.0,0.0
9,218.0,0.0,0.0,0.0,0.0,0.0,0.0
10,221.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220.0,0.0,0.0,0.0,0.0,0.0,0.0
12,215.0,0.0,0.0,0.0,0.0,0.0,0.0
13,224.0,0.0,0.0,0.0,0.0,0.0,0.0
14,226.0,0.0,0.0,0.0,0.0,0.0,0.0
15,219.0,0.0,0.0,0.0,0.0,0.0,0.0
16,215.0,0.0,0.0,0.0,0.0,0.0,0.0
17,225.0,0.0,0.0,0.0,0.0,0.0,0.0
18,235.0,0.0,0.0,0.0,0.0,0.0,0.0
19,232.0,0.0,0.0,0.0,0.0,0.0,0.0
20,231.0,0.0,0.0,0.0,0.0,0.0,0.0
21,230.0,0.0,0.0,0.0,0.0,0.0,0.0
22,234.0,0.0,0.0,0.0,0.0,0.0,0.0
23,238.0,0.0,0.0,0.0,0.0,0.0,0.0
24,245.0,0.0,0.0,0.0,0.0,0.0,0.0
25,242.0,0.0,0.0,0.0,0.0,0.0,0.0
26,250.0,0.0,0.0,0.0,0.0,0.0,0.0
27,239.0,0.0,0.0,0.0,0.0,0.0,0.0
28,251.0,0.0,0.0,0.0,0.0,0.0,0.0
29,236.0,0.0,0.0,0.0,0.0,0.0,0.0
30,237.0,0.0,0.0,0.0,0.0,0.0,0.0
31,243.0,0.0,0.0,0.0,0.0,0.0,0.0
32,245.0,0.0,0.0,0.0,0.0,0.0,0.0
33,235.0,0.0,0.0,0.0,0.0,0.0,0.0
34,232.0,0.0,0.0,0.0,0.0,0.0,0.0
35,235.0,0.0,0.0,0.0,0.0,0.0,0.0
36,241.0,0.0,0.0,0.0,0.0,0.0,0.0
37,230.0,0.0,0.0,0.0,0.0,0.0,0.0
38,242.0,0.0,0.0,0.0,0.0,0.0,0.0
39,242.0,0.0,0.0,0.0,0.0,0.0,0.0
40,235.0,0.0,0.0,0.0,0.0,0.0,0.0
41,251.0,0.0,0.0,0.0,0.0,0.0,0.0
42,247.0,0.0,0.0,0.0,0.0,0.0,0.0
43,238.0,0.0,0.0,0.0,0.0,0.0,0.0
44,235.0,0.0,0.0,0.0,0.0,0.0,0.0
45,230.0,0.0,0.0,0.0,0.0,0.0,0.0
46,235.0,0.0,0.0,0.0,0.0,0.0,0.0
47,240.0,0.0,0.0,0.0,0.0,0.0,0.0
48,249.0,0.0,0.0,0.0,0.0,0.0,0.0
49,253.0,0.0,0.0,0.0,0.0,0.0,0.0
50,253.0,0.0,0.0,0.0,0.0,0.0,0.0
51,253.0,0.0,0.0,0.0,0.0,0.0,0.0
52,247.0,0.0,0.0,0.0,0.0,0.0,0.0
53,257.0,0.0,0.0,0.0,0.0,0.0,0.0
54,257.0,0.0,0.0,0.0,0.0,0.0,0.0
55,259.0,0.0,0.0,0.0,0.0,0.0,0.0
56,254.0,0.0,0.0,0.0,0.0,0.0,0.0
57,246.0,0.0,0.0,0.0,0.0,0.0,0.0
58,227.0,0.0,0.0,0.0,0.0,0.0,0.0
59,228.0,0.0,0.0,0.0,1.0,0.0,0.0
60,229.0,0.0,0.0,0.0,1.0,0.0,0.0
61,241.0,0.0,0.0,0.0,1.0,0.0,0.0
62,248.0,0.0,0.0,0.0,1.0,0.0,0.0
63,252.0,0.0,0.0,0.0,1.0,0.0,0.0
64,254.0,0.0,0.0,0.0,1.0,0.0,0.0
65,248.0,0.0,0.0,0.0,1.0,0.0,0.0
66,242.0,0.0,0.0,0.0,1.0,0.0,0.0
67,243.0,0.0,0.0,0.0,1.0,0.0,0.0
68,252.0,0.0,0.0,0.0,1.0,0.0,0.0
69,245.0,0.0,0.0,0.0,1.0,0.0,0.0
70,222.0,0.0,0.0,0.0,1.0,0.0,0.0
71,218.0,0.0,0.0,0.0,1.0,0.0,1.0
72,227.0,0.0,0.0,0.0,1.0,1.0,0.0
73,217.0,2.0,0.0,0.0,1.0,1.0,1.0
74,229.0,2.0,0.0,0.0,1.0,1.0,2.0
75,232.0,2.0,0.0,0.0,1.0,1.0,2.0
76,242.0,2.0,0.0,0.0,1.0,1.0,2.0
77,244.0,1.0,4.0,0.0,4.0,1.0,1.0
78,227.0,1.0,4.0,0.0,5.0,1.0,3.0
79,222.0,3.0,5.0,0.0,8.0,1.0,3.0
80,205.0,5.0,7.0,0.0,9.0,1.0,2.0
81,213.0,4.0,5.0,0.0,11.0,1.0,3.0
82,213.0,4.0,7.0,0.0,13.0,1.0,4.0
83,200.0,11.0,11.0,0.0,15.0,1.0,4.0
