,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
1,204.0,0.0,0.0,0.0,0.0,0.0,0.0
2,204.0,0.0,0.0,0.0,0.0,0.0,0.0
3,204.0,0.0,0.0,0.0,0.0,0.0,0.0
4,204.0,0.0,0.0,0.0,0.0,0.0,0.0
5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
6,204.0,0.0,0.0,0.0,0.0,0.0,0.0
7,204.0,0.0,0.0,0.0,0.0,0.0,0.0
8,204.0,0.0,0.0,0.0,0.0,0.0,0.0
9,204.0,0.0,0.0,0.0,0.0,0.0,0.0
10,204.0,0.0,0.0,0.0,0.0,0.0,0.0
11,204.0,0.0,0.0,0.0,0.0,0.0,0.0
12,204.0,0.0,0.0,0.0,0.0,0.0,0.0
13,204.0,0.0,0.0,0.0,0.0,0.0,0.0
14,204.0,0.0,0.0,0.0,0.0,0.0,0.0
15,204.0,0.0,0.0,0.0,0.0,0.0,0.0
16,204.0,0.0,0.0,0.0,0.0,0.0,0.0
17,204.0,0.0,0.0,0.0,0.0,0.0,0.0
18,204.0,0.0,0.0,0.0,0.0,0.0,0.0
19,204.0,0.0,0.0,0.0,0.0,0.0,0.0
20,204.0,0.0,0.0,0.0,0.0,0.0,0.0
21,204.0,0.0,0.0,0.0,0.0,0.0,0.0
22,204.0,0.0,0.0,0.0,0.0,0.0,0.0
23,204.0,0.0,0.0,0.0,0.0,0.0,0.0
24,204.0,0.0,0.0,0.0,0.0,0.0,0.0
25,204.0,0.0,0.0,0.0,0.0,0.0,0.0
26,204.0,0.0,0.0,0.0,0.0,0.0,0.0
27,204.0,0.0,0.0,0.0,0.0,0.0,0.0
28,204.0,0.0,0.0,0.0,0.0,0.0,0.0
29,204.0,0.0,0.0,0.0,0.0,0.0,0.0
30,204.0,0.0,0.0,0.0,0.0,0.0,0.0
31,204.0,0.0,0.0,0.0,0.0,0.0,0.0
32,204.0,0.0,0.0,0.0,0.0,0.0,0.0
33,204.0,0.0,0.0,0.0,0.0,0.0,0.0
34,204.0,0.0,0.0,0.0,0.0,0.0,0.0
35,204.0,0.0,0.0,0.0,0.0,0.0,0.0
36,204.0,0.0,0.0,0.0,0.0,0.0,0.0
37,204.0,0.0,0.0,0.0,0.0,0.0,0.0
38,204.0,0.0,0.0,0.0,0.0,0.0,0.0
39,204.0,0.0,0.0,0.0,0.0,0.0,0.0
40,204.0,0.0,0.0,0.0,0.0,0.0,0.0
41,204.0,0.0,0.0,0.0,0.0,0.0,0.0
42,204.0,0.0,0.0,0.0,0.0,0.0,0.0
43,204.0,0.0,0.0,0.0,0.0,0.0,0.0
44,204.0,0.0,0.0,0.0,0.0,0.0,0.0
45,204.0,0.0,0.0,0.0,0.0,0.0,0.0
46,204.0,0.0,0.0,0.0,0.0,0.0,0.0
47,204.0,0.0,0.0,0.0,0.0,0.0,0.0
48,204.0,0.0,0.0,0.0,0.0,0.0,0.0
49,204.0,0.0,0.0,0.0,0.0,0.0,0.0
50,204.0,0.0,0.0,0.0,0.0,0.0,0.0
51,204.0,0.0,0.0,0.0,0.0,0.0,0.0
52,204.0,0.0,0.0,0.0,0.0,0.0,0.0
53,204.0,0.0,0.0,0.0,0.0,0.0,0.0
54,204.0,0.0,0.0,0.0,0.0,0.0,0.0
55,204.0,0.0,0.0,0.0,0.0,0.0,0.0
56,204.0,0.0,0.0,0.0,0.0,0.0,0.0
57,204.0,0.0,0.0,0.0,0.0,0.0,0.0
58,204.0,0.0,0.0,0.0,0.0,0.0,0.0
59,204.0,0.0,0.0,0.0,0.0,0.0,0.0
60,204.0,0.0,0.0,0.0,0.0,0.0,0.0
61,203.0,1.0,0.0,0.0,0.0,0.0,0.0
62,202.0,2.0,0.0,0.0,0.0,0.0,0.0
63,201.0,3.0,0.0,0.0,0.0,0.0,0.0
64,201.0,3.0,0.0,0.0,0.0,0.0,0.0
65,201.0,2.0,2.0,0.0,0.0,0.0,1.0
66,201.0,2.0,2.0,0.0,0.0,0.0,1.0
67,200.0,3.0,2.0,0.0,0.0,0.0,1.0
68,201.0,2.0,3.0,0.0,0.0,0.0,1.0
69,200.0,3.0,3.0,0.0,0.0,0.0,1.0
70,201.0,2.0,4.0,0.0,0.0,0.0,1.0
71,200.0,2.0,4.0,0.0,0.0,0.0,2.0
72,197.0,3.0,2.0,0.0,0.0,2.0,2.0
73,197.0,3.0,2.0,0.0,0.0,2.0,2.0
74,198.0,2.0,4.0,0.0,0.0,2.0,2.0
75,196.0,3.0,3.0,0.0,0.0,3.0,2.0
76,194.0,5.0,3.0,0.0,0.0,3.0,2.0
77,191.0,7.0,3.0,0.0,0.0,4.0,2.0
78,188.0,9.0,3.0,0.0,0.0,4.0,3.0
79,189.0,7.0,5.0,0.0,0.0,4.0,4.0
80,187.0,7.0,5.0,0.0,0.0,5.0,5.0
81,181.0,10.0,4.0,0.0,0.0,7.0,6.0
82,180.0,11.0,5.0,0.0,0.0,7.0,6.0
83,182.0,9.0,6.0,0.0,2.0,7.0,6.0
84,181.0,9.0,7.0,0.0,3.0,8.0,6.0
85,181.0,9.0,7.0,0.0,3.0,9.0,5.0
86,177.0,11.0,6.0,0.0,3.0,11.0,5.0
87,179.0,8.0,8.0,0.0,4.0,11.0,6.0
88,179.0,7.0,9.0,0.0,4.0,12.0,6.0
89,181.0,4.0,10.0,0.0,5.0,13.0,6.0
90,179.0,3.0,11.0,0.0,3.0,16.0,6.0
91,174.0,3.0,9.0,0.0,2.0,19.0,8.0
92,173.0,4.0,12.0,0.0,2.0,20.0,7.0
93,169.0,5.0,11.0,0.0,2.0,22.0,8.0
94,167.0,6.0,9.0,0.0,2.0,24.0,7.0
95,165.0,6.0,8.0,0.0,2.0,27.0,6.0
96,157.0,9.0,6.0,0.0,1.0,31.0,7.0
97,154.0,9.0,4.0,0.0,1.0,33.0,8.0
98,156.0,6.0,6.0,0.0,3.0,33.0,9.0
99,152.0,5.0,4.0,0.0,3.0,36.0,11.0
100,151.0,4.0,6.0,0.0,3.0,36.0,13.0
101,152.0,2.0,8.0,0.0,2.0,38.0,12.0
102,151.0,2.0,7.0,0.0,2.0,39.0,12.0
103,148.0,5.0,8.0,0.0,2.0,39.0,12.0
104,147.0,6.0,8.0,0.0,2.0,39.0,12.0
105,142.0,7.0,6.0,0.0,0.0,44.0,11.0
106,141.0,7.0,5.0,0.0,0.0,46.0,10.0
107,140.0,6.0,4.0,0.0,0.0,50.0,8.0
108,139.0,4.0,4.0,0.0,1.0,52.0,9.0
109,140.0,3.0,5.0,0.0,1.0,52.0,9.0
110,136.0,6.0,4.0,0.0,1.0,55.0,7.0
111,137.0,5.0,5.0,0.0,1.0,56.0,6.0
112,137.0,5.0,5.0,0.0,2.0,56.0,6.0
113,140.0,2.0,8.0,0.0,2.0,59.0,3.0
114,138.0,2.0,7.0,0.0,2.0,61.0,3.0
115,137.0,0.0,6.0,0.0,2.0,64.0,3.0
116,136.0,0.0,5.0,0.0,2.0,65.0,3.0
