,transmission_time,incubation_time,infection_time,disease_state
0,9582,808,9360,State.EXPOSED
1,10448,702,10224,State.EXPOSED
2,10545,1017,10368,State.EXPOSED
3,10584,566,10224,State.EXPOSED
4,10728,422,10224,State.EXPOSED
5,10754,,10545,State.ASYMPTOMATIC
6,10848,547,10512,State.EXPOSED
7,10896,698,10754,State.EXPOSED
8,11016,900,10896,State.EXPOSED
9,11017,219,10728,State.EXPOSED
10,11019,376,10512,State.EXPOSED
11,11041,20,10584,State.EXPOSED
12,11137,1117,11019,State.EXPOSED
13,11172,676,11088,State.EXPOSED
14,11289,965,11019,State.EXPOSED
15,11321,147,11137,State.EXPOSED
16,11368,674,11088,State.EXPOSED
17,11457,391,11088,State.EXPOSED
18,11465,383,11088,State.EXPOSED
19,11473,569,11088,State.EXPOSED
20,11568,539,11289,State.EXPOSED
21,11569,67,11368,State.EXPOSED
22,11646,396,11088,State.EXPOSED
23,11657,707,11465,State.EXPOSED
24,11697,667,11465,State.EXPOSED
25,11712,0,11246,State.MILD
26,11754,353,11289,State.EXPOSED
27,11825,427,11376,State.EXPOSED
28,11826,538,11465,State.EXPOSED
29,11848,661,11568,State.EXPOSED
30,11863,354,11754,State.EXPOSED
31,11904,605,11568,State.EXPOSED
32,11930,1258,11520,State.EXPOSED
33,11952,300,11376,State.EXPOSED
34,11960,458,11697,State.EXPOSED
35,11988,430,11697,State.EXPOSED
36,12026,191,11754,State.EXPOSED
37,12080,358,11657,State.EXPOSED
38,12113,305,11697,State.EXPOSED
39,12114,304,11697,State.EXPOSED
40,12146,71,11754,State.EXPOSED
41,12147,556,11930,State.EXPOSED
42,12184,519,11930,State.EXPOSED
43,12200,503,11930,State.EXPOSED
44,12265,182,11952,State.EXPOSED
45,12265,438,11930,State.EXPOSED
46,12320,1097,11960,State.EXPOSED
47,12328,1089,11960,State.EXPOSED
48,12342,1452,12200,State.EXPOSED
49,12346,460,12114,State.EXPOSED
50,12370,436,12114,State.EXPOSED
51,12384,,12113,State.ASYMPTOMATIC
52,12392,,12096,State.ASYMPTOMATIC
53,12414,33,11952,State.EXPOSED
54,12432,159,12265,State.EXPOSED
55,12465,690,12146,State.EXPOSED
56,12498,0,11943,State.SEVERE
57,12504,745,12096,State.EXPOSED
58,12505,301,12114,State.EXPOSED
59,12510,949,12342,State.EXPOSED
60,12521,1273,12200,State.EXPOSED
61,12532,419,12096,State.EXPOSED
62,12544,,12096,State.ASYMPTOMATIC
63,12569,993,12265,State.EXPOSED
64,12584,628,12465,State.EXPOSED
65,12608,,12384,State.ASYMPTOMATIC
66,12608,,12328,State.ASYMPTOMATIC
67,12609,802,12432,State.EXPOSED
68,12648,811,12342,State.EXPOSED
69,12654,309,11904,State.EXPOSED
70,12665,750,12609,State.EXPOSED
71,12677,,12414,State.ASYMPTOMATIC
72,12696,,12414,State.ASYMPTOMATIC
73,12720,0,12187,State.MILD
74,12752,558,12608,State.EXPOSED
75,12776,115,12370,State.EXPOSED
76,12777,638,12609,State.EXPOSED
77,12792,592,12240,State.EXPOSED
78,12792,592,12240,State.EXPOSED
79,12792,338,12665,State.EXPOSED
80,12795,835,12528,State.EXPOSED
81,12832,0,12186,State.MILD
82,12840,402,12648,State.EXPOSED
83,12872,648,12792,State.EXPOSED
84,12892,858,12795,State.EXPOSED
85,12897,601,12320,State.EXPOSED
86,12917,713,12528,State.EXPOSED
87,12918,423,12510,State.EXPOSED
88,12928,314,12648,State.EXPOSED
89,12944,130,12777,State.EXPOSED
90,12960,897,12840,State.EXPOSED
91,13000,520,12792,State.EXPOSED
92,13008,512,12792,State.EXPOSED
93,13010,488,12320,State.EXPOSED
94,13032,1027,12892,State.EXPOSED
95,13040,371,12432,State.EXPOSED
96,13048,472,12792,State.EXPOSED
97,13057,573,12528,State.EXPOSED
98,13064,613,12504,State.EXPOSED
99,13080,,12672,State.ASYMPTOMATIC
100,13088,222,12608,State.EXPOSED
101,13088,495,12792,State.EXPOSED
102,13121,,12677,State.MILD
103,13129,603,12569,State.EXPOSED
104,13130,727,12840,State.EXPOSED
105,13160,142,12752,State.EXPOSED
106,13179,880,12892,State.EXPOSED
107,13200,,12960,State.ASYMPTOMATIC
108,13232,1078,13032,State.EXPOSED
109,13288,1022,13032,State.EXPOSED
110,13320,739,12892,State.EXPOSED
111,13360,314,13088,State.EXPOSED
112,13368,137,12928,State.EXPOSED
113,13371,298,12917,State.EXPOSED
114,13416,330,13129,State.EXPOSED
115,13417,330,13064,State.EXPOSED
116,13440,870,13032,State.EXPOSED
117,13441,306,13064,State.EXPOSED
118,13458,196,13048,State.EXPOSED
119,13464,846,13032,State.EXPOSED
120,13464,497,13057,State.EXPOSED
121,13470,0,12760,State.SEVERE
122,13473,274,13064,State.EXPOSED
123,13513,142,13088,State.EXPOSED
124,13530,540,13248,State.EXPOSED
125,13530,540,13248,State.EXPOSED
126,13536,162,13121,State.EXPOSED
127,13536,774,13032,State.EXPOSED
128,13536,425,13057,State.EXPOSED
129,13552,400,13160,State.EXPOSED
130,13561,999,13360,State.EXPOSED
131,13577,169,13129,State.EXPOSED
132,13610,0,13325,State.SEVERE
133,13613,655,13530,State.EXPOSED
134,13633,291,13371,State.EXPOSED
135,13633,914,13530,State.EXPOSED
136,13656,904,13360,State.EXPOSED
137,13665,882,13530,State.EXPOSED
138,13689,0,13264,State.SEVERE
139,13744,816,13360,State.EXPOSED
140,13745,442,13464,State.EXPOSED
141,13755,,13440,State.ASYMPTOMATIC
142,13757,511,13530,State.EXPOSED
143,13758,462,13473,State.EXPOSED
144,13776,449,13536,State.EXPOSED
145,13782,628,13536,State.EXPOSED
146,13829,385,13561,State.EXPOSED
147,13857,241,13416,State.EXPOSED
148,13864,,13417,State.ASYMPTOMATIC
149,13865,119,13552,State.EXPOSED
150,13896,309,13458,State.EXPOSED
151,13896,309,13458,State.EXPOSED
152,13913,,13758,State.ASYMPTOMATIC
153,13944,603,13530,State.EXPOSED
154,13948,,13665,State.ASYMPTOMATIC
155,13952,273,13536,State.EXPOSED
156,13993,,13536,State.ASYMPTOMATIC
157,14045,499,13757,State.EXPOSED
158,14072,475,13530,State.EXPOSED
159,14097,,13857,State.ASYMPTOMATIC
160,14116,951,13968,State.EXPOSED
161,14152,7,13745,State.EXPOSED
162,14162,1159,13896,State.EXPOSED
163,14169,,13829,State.ASYMPTOMATIC
164,14184,845,14116,State.EXPOSED
165,14186,1135,13896,State.EXPOSED
166,14188,1133,13896,State.EXPOSED
167,14232,253,13656,State.EXPOSED
168,14232,797,14116,State.EXPOSED
169,14248,703,13896,State.EXPOSED
170,14256,773,14116,State.EXPOSED
171,14260,769,14116,State.EXPOSED
172,14392,612,14072,State.EXPOSED
173,14392,718,13952,State.EXPOSED
174,14405,275,14045,State.EXPOSED
175,14409,,13857,State.ASYMPTOMATIC
176,14448,503,13896,State.EXPOSED
177,14464,674,14400,State.EXPOSED
178,14496,0,13935,State.SEVERE
179,14504,500,14072,State.EXPOSED
180,14513,157,14248,State.EXPOSED
181,14526,144,14248,State.EXPOSED
182,14553,1222,14409,State.EXPOSED
183,14562,1213,14409,State.EXPOSED
184,14568,0,13883,State.MILD
185,14570,1206,14405,State.EXPOSED
186,14570,190,14186,State.EXPOSED
187,14576,22,14162,State.EXPOSED
188,14600,,14162,State.MILD
189,14616,,14162,State.MILD
190,14632,372,14072,State.EXPOSED
191,14656,104,14186,State.EXPOSED
192,14692,1084,14405,State.EXPOSED
193,14715,888,14553,State.EXPOSED
194,14769,44,14632,State.EXPOSED
195,14770,389,14448,State.EXPOSED
196,14777,361,14400,State.EXPOSED
197,14817,699,14544,State.EXPOSED
198,14824,556,14504,State.EXPOSED
199,14856,920,14405,State.EXPOSED
200,14888,714,14600,State.EXPOSED
201,14921,815,14692,State.EXPOSED
202,14928,280,14526,State.EXPOSED
203,14928,459,14824,State.EXPOSED
204,14944,264,14526,State.EXPOSED
205,14953,741,14832,State.EXPOSED
206,14961,555,14544,State.EXPOSED
207,15000,387,14824,State.EXPOSED
208,15016,,14562,State.ASYMPTOMATIC
209,15026,112,14400,State.EXPOSED
210,15033,638,14570,State.EXPOSED
211,15048,807,14921,State.EXPOSED
212,15048,90,14400,State.EXPOSED
213,15074,620,14832,State.EXPOSED
214,15082,612,14832,State.EXPOSED
215,15121,,14944,State.ASYMPTOMATIC
216,15122,425,14961,State.EXPOSED
217,15122,614,14692,State.EXPOSED
218,15162,0,14771,State.SEVERE
219,15169,378,14961,State.EXPOSED
220,15184,588,15016,State.EXPOSED
221,15198,,14976,State.ASYMPTOMATIC
222,15201,654,14921,State.EXPOSED
223,15228,466,14832,State.EXPOSED
224,15242,1090,14953,State.EXPOSED
225,15265,122,14824,State.EXPOSED
226,15288,,15000,State.ASYMPTOMATIC
227,15290,,14944,State.ASYMPTOMATIC
228,15290,830,15121,State.EXPOSED
229,15304,83,14824,State.EXPOSED
230,15320,452,15016,State.EXPOSED
231,15329,218,14961,State.EXPOSED
232,15338,349,15169,State.EXPOSED
233,15346,1256,15198,State.EXPOSED
234,15352,335,15169,State.EXPOSED
235,15361,465,15242,State.EXPOSED
236,15408,,15000,State.ASYMPTOMATIC
237,15481,66,14961,State.EXPOSED
238,15488,891,15320,State.EXPOSED
239,15492,399,15033,State.EXPOSED
240,15496,191,15169,State.EXPOSED
241,15498,1104,15198,State.EXPOSED
242,15568,482,15361,State.EXPOSED
243,15576,601,15304,State.EXPOSED
244,15593,527,15121,State.EXPOSED
245,15600,259,15346,State.EXPOSED
246,15624,281,15496,State.EXPOSED
247,15624,0,15111,State.MILD
248,15626,332,15338,State.EXPOSED
249,15640,265,15496,State.EXPOSED
250,15648,455,15352,State.EXPOSED
251,15648,402,15361,State.EXPOSED
252,15664,439,15352,State.EXPOSED
253,15672,,15288,State.ASYMPTOMATIC
254,15688,,15288,State.ASYMPTOMATIC
255,15700,1039,15122,State.EXPOSED
256,15712,338,15361,State.EXPOSED
257,15724,270,15265,State.EXPOSED
258,15729,293,15290,State.EXPOSED
259,15745,634,15320,State.EXPOSED
260,15752,552,15552,State.EXPOSED
261,15753,558,15329,State.EXPOSED
262,15760,429,15600,State.EXPOSED
263,15769,610,15320,State.EXPOSED
264,15777,602,15320,State.EXPOSED
265,15784,1241,15492,State.EXPOSED
266,15795,163,15338,State.EXPOSED
267,15828,516,15688,State.EXPOSED
268,15832,218,15361,State.EXPOSED
269,15842,180,15290,State.EXPOSED
270,15872,361,15576,State.EXPOSED
271,15898,406,15552,State.EXPOSED
272,15904,285,15600,State.EXPOSED
273,15904,146,15361,State.EXPOSED
274,15913,734,15753,State.EXPOSED
275,15928,206,15752,State.EXPOSED
276,15929,756,15745,State.EXPOSED
277,15937,407,15688,State.EXPOSED
278,15946,594,15828,State.EXPOSED
279,15964,384,15795,State.EXPOSED
280,15985,297,15712,State.EXPOSED
281,15986,8,15265,State.EXPOSED
282,15993,314,15700,State.EXPOSED
283,16000,189,15600,State.EXPOSED
284,16017,668,15745,State.EXPOSED
285,16034,679,15913,State.EXPOSED
286,16056,,15904,State.ASYMPTOMATIC
287,16073,731,15640,State.EXPOSED
288,16081,459,15828,State.EXPOSED
289,16097,701,15840,State.EXPOSED
290,16129,153,15712,State.EXPOSED
291,16137,170,15700,State.EXPOSED
292,16137,145,15712,State.EXPOSED
293,16137,457,16017,State.EXPOSED
294,16224,,15664,State.ASYMPTOMATIC
295,16225,573,15840,State.EXPOSED
296,16225,464,15898,State.EXPOSED
297,16273,34,15700,State.EXPOSED
298,16274,,15964,State.ASYMPTOMATIC
299,16281,1,15712,State.EXPOSED
300,16288,109,16056,State.EXPOSED
301,16289,400,15898,State.EXPOSED
302,16297,267,16081,State.EXPOSED
303,16304,795,16137,State.EXPOSED
304,16320,578,15904,State.EXPOSED
305,16328,,15760,State.ASYMPTOMATIC
306,16336,,15928,State.ASYMPTOMATIC
307,16338,,15624,State.ASYMPTOMATIC
308,16393,,16137,State.ASYMPTOMATIC
309,16408,895,16224,State.EXPOSED
310,16425,169,16017,State.EXPOSED
311,16440,,16273,State.ASYMPTOMATIC
312,16440,722,16297,State.EXPOSED
313,16464,433,16137,State.EXPOSED
314,16505,121,15946,State.EXPOSED
315,16538,765,16224,State.EXPOSED
316,16538,,16225,State.ASYMPTOMATIC
317,16553,750,16224,State.EXPOSED
318,16562,995,16288,State.EXPOSED
319,16568,1502,16289,State.EXPOSED
320,16569,1501,16289,State.EXPOSED
321,16585,497,16097,State.EXPOSED
322,16593,569,16297,State.EXPOSED
323,16616,201,16464,State.EXPOSED
324,16625,272,16137,State.EXPOSED
325,16681,91,16320,State.EXPOSED
326,16681,231,16328,State.EXPOSED
327,16696,216,16328,State.EXPOSED
328,16710,847,16288,State.EXPOSED
329,16712,,16273,State.ASYMPTOMATIC
330,16722,440,16297,State.EXPOSED
331,16753,,16538,State.ASYMPTOMATIC
332,16768,562,16440,State.EXPOSED
333,16777,492,16562,State.EXPOSED
334,16803,794,16538,State.EXPOSED
335,16833,583,16553,State.EXPOSED
336,16840,576,16553,State.EXPOSED
337,16857,,16585,State.ASYMPTOMATIC
338,16921,397,16625,State.EXPOSED
339,16928,604,16505,State.EXPOSED
340,16937,381,16625,State.EXPOSED
341,16946,6,16440,State.EXPOSED
342,16946,207,16681,State.EXPOSED
343,16960,826,16696,State.EXPOSED
344,16971,182,16681,State.EXPOSED
345,16972,625,16538,State.EXPOSED
346,17026,243,16562,State.EXPOSED
347,17088,,16568,State.ASYMPTOMATIC
348,17136,93,16840,State.EXPOSED
349,17153,,16722,State.ASYMPTOMATIC
350,17193,,16777,State.ASYMPTOMATIC
351,17232,156,16681,State.EXPOSED
352,17282,332,16992,State.EXPOSED
353,17369,1100,17193,State.EXPOSED
354,17448,280,17136,State.EXPOSED
355,17450,164,16992,State.EXPOSED
356,17480,361,17282,State.EXPOSED
357,17586,1646,17424,State.EXPOSED
358,17714,127,17282,State.EXPOSED
359,17718,10,17136,State.EXPOSED
360,17736,1496,17424,State.EXPOSED
361,17784,864,17369,State.EXPOSED
362,17794,,17586,State.ASYMPTOMATIC
363,17826,,17586,State.ASYMPTOMATIC
364,17883,425,17718,State.EXPOSED
365,17936,607,17480,State.EXPOSED
366,17945,598,17480,State.EXPOSED
367,17952,737,17784,State.EXPOSED
368,17961,,17586,State.ASYMPTOMATIC
369,17962,346,17718,State.EXPOSED
370,18065,,17794,State.ASYMPTOMATIC
371,18256,,17952,State.ASYMPTOMATIC
372,18288,795,17883,State.EXPOSED
373,18289,3,17736,State.EXPOSED
374,18329,136,17945,State.EXPOSED
375,18528,575,18289,State.EXPOSED
376,18536,567,18289,State.EXPOSED
377,18600,102,18288,State.EXPOSED
378,18600,503,18289,State.EXPOSED
379,18617,155,18329,State.EXPOSED
380,18666,,18144,State.ASYMPTOMATIC
381,18891,274,18600,State.EXPOSED
382,18976,373,18536,State.EXPOSED
383,19128,221,18536,State.EXPOSED
384,19232,,18976,State.ASYMPTOMATIC
385,19648,,19232,State.ASYMPTOMATIC
386,19664,,19232,State.ASYMPTOMATIC
387,22233,383,22032,State.EXPOSED
388,22368,248,22032,State.EXPOSED
389,22377,239,22032,State.EXPOSED
390,22468,882,22233,State.EXPOSED
391,22481,869,22233,State.EXPOSED
392,22536,80,22032,State.EXPOSED
393,22553,63,22032,State.EXPOSED
394,22781,,22468,State.ASYMPTOMATIC
395,22802,349,22377,State.EXPOSED
396,22828,323,22377,State.EXPOSED
397,22899,257,22553,State.EXPOSED
398,22904,,22481,State.ASYMPTOMATIC
399,23226,301,22899,State.EXPOSED
400,23236,767,22828,State.EXPOSED
401,26280,464,25920,State.EXPOSED
402,26298,446,25920,State.EXPOSED
403,26440,398,26280,State.EXPOSED
404,26562,182,25920,State.EXPOSED
405,26833,,26440,State.ASYMPTOMATIC
406,29691,1155,29520,State.EXPOSED
