,mean,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.02,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.07,0.0,1.0
61,0.0,0.0,0.0
62,0.04,0.0,0.0
63,0.07,0.0,1.0
64,0.05,0.0,1.0
65,0.25,0.0,2.0
66,0.26,0.0,2.0
67,0.4,0.0,3.0
68,0.55,0.0,3.0
69,0.53,0.0,3.0
70,0.84,0.0,4.474999999999994
71,1.08,0.0,4.0
72,1.2,0.0,5.0
73,1.35,0.0,5.0
74,1.52,0.0,4.474999999999994
75,1.8,0.0,5.474999999999994
76,2.01,0.0,6.474999999999994
77,2.39,0.0,6.0
78,2.95,0.0,8.424999999999983
79,3.37,0.0,9.0
80,3.42,0.0,9.474999999999994
81,3.8,0.0,9.0
82,3.94,0.0,10.0
83,4.04,0.0,12.474999999999994
84,4.95,1.0,10.0
85,5.45,0.5,12.474999999999994
86,5.14,0.0,12.0
87,6.02,1.0,15.0
88,6.08,1.0,11.474999999999994
89,6.04,0.5,12.474999999999994
90,6.65,1.0,15.474999999999994
91,5.84,1.0,12.0
92,6.67,1.5,15.899999999999977
93,6.65,1.0,13.0
94,6.04,1.5,12.949999999999989
95,6.47,1.5,13.474999999999994
96,7.02,1.0,17.0
97,5.68,0.0,13.0
98,5.66,1.0,11.0
99,5.92,1.0,14.474999999999994
100,5.29,0.0,11.0
101,5.13,1.0,11.949999999999989
102,5.02,0.5,10.474999999999994
103,4.12,1.0,10.0
104,4.01,0.0,9.949999999999989
105,4.5,0.0,10.474999999999994
106,3.65,0.0,9.0
107,3.62,0.0,9.474999999999994
108,3.49,0.0,8.0
109,3.38,0.0,8.0
110,3.09,0.0,7.0
111,3.07,0.0,8.474999999999994
112,2.45,0.0,6.0
113,2.42,0.0,6.0
114,2.36,0.0,7.0
115,2.16,0.0,6.0
116,1.85,0.0,5.0
117,1.87,0.0,5.0
118,1.63,0.0,5.0
119,1.43,0.0,4.474999999999994
120,1.44,0.0,4.474999999999994
121,1.29,0.0,4.474999999999994
122,1.08,0.0,4.0
123,1.08,0.0,4.474999999999994
124,1.07,0.0,4.0
125,0.96,0.0,4.0
126,1.06,0.0,4.0
127,0.89,0.0,4.0
128,0.58,0.0,3.0
129,0.78,0.0,4.474999999999994
130,0.62,0.0,3.0
131,0.57,0.0,3.0
132,0.66,0.0,4.0
133,0.52,0.0,3.0
134,0.5,0.0,2.4749999999999943
135,0.42,0.0,2.0
136,0.59,0.0,3.0
137,0.42,0.0,2.4749999999999943
138,0.53,0.0,3.0
139,0.51,0.0,2.4749999999999943
140,0.45,0.0,3.0
141,0.43,0.0,3.0
142,0.39,0.0,2.0
143,0.31,0.0,2.0
144,0.48,0.0,3.0
145,0.39,0.0,2.4749999999999943
146,0.47,0.0,3.4749999999999943
147,0.19,0.0,2.0
148,0.29,0.0,2.0
149,0.35,0.0,2.0
150,0.35,0.0,3.0
151,0.37,0.0,2.0
152,0.22,0.0,2.0
153,0.25,0.0,2.0
154,0.28,0.0,2.4749999999999943
155,0.16,0.0,1.4749999999999943
156,0.27,0.0,2.4749999999999943
157,0.2,0.0,2.0
158,0.26,0.0,2.0
159,0.21,0.0,2.0
160,0.12,0.0,1.0
161,0.16,0.0,1.4749999999999943
162,0.21,0.0,2.0
163,0.17,0.0,1.0
164,0.17,0.0,2.4749999999999943
165,0.08,0.0,1.0
166,0.12,0.0,1.4749999999999943
167,0.1,0.0,1.0
168,0.15,0.0,1.4749999999999943
169,0.11,0.0,1.4749999999999943
170,0.08,0.0,1.0
171,0.13,0.0,1.4749999999999943
172,0.09,0.0,1.0
173,0.09,0.0,1.0
174,0.11,0.0,1.0
175,0.04,0.0,1.0
176,0.07,0.0,1.0
177,0.07,0.0,1.0
178,0.11,0.0,1.4749999999999943
179,0.09,0.0,1.0
180,0.03,0.0,0.49074999999999447
181,0.02,0.0,0.009499999999999887
182,0.07,0.0,1.0
183,0.06,0.0,1.0
184,0.04,0.0,1.0
185,0.06,0.0,1.0
186,0.05,0.0,1.0
187,0.05,0.0,1.0
188,0.07,0.0,1.0
189,0.05,0.0,1.0
190,0.13,0.0,1.4749999999999943
191,0.08,0.0,1.0
192,0.1,0.0,1.0
