,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,2
77,3
78,3
79,3
80,4
81,6
82,6
83,7
84,9
85,11
86,15
87,17
88,19
89,24
90,26
91,27
92,30
93,37
94,41
95,45
96,49
97,52
98,56
99,58
100,60
101,62
102,63
103,65
104,65
105,65
106,67
107,71
108,71
109,72
110,72
111,72
112,72
113,73
114,73
115,75
116,75
117,75
118,75
119,77
120,78
121,80
122,80
123,83
124,84
125,84
126,84
127,84
128,85
129,88
130,91
131,92
132,93
133,93
134,94
135,95
136,96
137,96
138,96
139,96
140,97
141,98
142,98
143,98
144,99
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,101
154,101
155,101
156,101
157,101
158,101
159,101
160,101
161,101
162,101
163,101
164,101
165,101
166,101
167,101
168,101
169,101
170,101
171,101
172,101
173,101
174,101
175,101
176,101
177,101
178,101
179,101
180,101
181,101
182,101
183,101
184,101
185,101
186,101
187,101
188,101
189,101
190,101
191,101
192,101
193,101
194,101
195,101
196,101
197,101
198,101
199,101
200,101
201,101
202,101
203,101
204,101
205,101
206,101
207,101
208,101
209,101
210,101
211,101
212,101
213,101
214,101
215,102
216,102
217,102
218,103
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,104
227,104
228,104
229,104
230,106
231,107
232,108
233,109
234,109
235,109
236,109
237,109
238,109
