,transmission_time,incubation_time,infection_time,disease_state
0,9760,653,9504,State.EXPOSED
1,9986,,9760,State.ASYMPTOMATIC
2,10278,,9986,State.ASYMPTOMATIC
3,10297,446,9974,State.EXPOSED
4,10329,420,10224,State.EXPOSED
5,10722,,10512,State.ASYMPTOMATIC
6,12354,0,12039,State.SEVERE
7,12648,1143,12528,State.EXPOSED
8,12722,0,12396,State.SEVERE
9,12738,0,12396,State.SEVERE
10,12800,366,12648,State.EXPOSED
11,12810,0,12396,State.SEVERE
12,12937,229,12648,State.EXPOSED
13,13184,221,12960,State.EXPOSED
14,13369,270,12937,State.EXPOSED
15,13520,346,13184,State.EXPOSED
16,13760,,13680,State.ASYMPTOMATIC
17,13817,274,13520,State.EXPOSED
18,13864,,13824,State.ASYMPTOMATIC
19,13936,630,13760,State.EXPOSED
20,13994,395,13817,State.EXPOSED
21,14040,632,13864,State.EXPOSED
22,14129,260,13817,State.EXPOSED
23,14138,607,13994,State.EXPOSED
24,14184,538,13968,State.EXPOSED
25,14217,172,13817,State.EXPOSED
26,14281,285,13760,State.EXPOSED
27,14521,,14138,State.ASYMPTOMATIC
28,14618,791,14256,State.EXPOSED
29,14704,0,14081,State.MILD
30,14849,551,14688,State.EXPOSED
31,15377,688,15120,State.EXPOSED
32,15513,552,15120,State.EXPOSED
33,15537,321,15120,State.EXPOSED
34,15785,760,15537,State.EXPOSED
35,15929,,15785,State.ASYMPTOMATIC
36,16138,388,15984,State.EXPOSED
37,16257,,15929,State.ASYMPTOMATIC
38,16392,859,16257,State.EXPOSED
39,16449,353,16138,State.EXPOSED
40,16529,273,16138,State.EXPOSED
41,16681,216,16529,State.EXPOSED
42,16832,65,16529,State.EXPOSED
43,16857,517,16681,State.EXPOSED
44,16876,498,16681,State.EXPOSED
45,17043,331,16681,State.EXPOSED
46,17144,398,16992,State.EXPOSED
47,17160,1066,16857,State.EXPOSED
48,17160,214,16681,State.EXPOSED
49,17496,369,17144,State.EXPOSED
50,17528,337,17144,State.EXPOSED
51,17696,169,17144,State.EXPOSED
52,18844,,18576,State.ASYMPTOMATIC
53,20498,482,20304,State.EXPOSED
54,20640,340,20304,State.EXPOSED
55,20728,127,20448,State.EXPOSED
56,20928,488,20728,State.EXPOSED
57,20976,440,20728,State.EXPOSED
58,20992,424,20728,State.EXPOSED
59,21077,,20928,State.ASYMPTOMATIC
60,21465,,21077,State.ASYMPTOMATIC
61,24976,711,24768,State.EXPOSED
62,32737,352,32544,State.EXPOSED
