,transmission_time,incubation_time,infection_time,disease_state
0,9954,259,9504,State.EXPOSED
1,10120,144,9936,State.EXPOSED
2,10232,32,9936,State.EXPOSED
3,11068,,10512,State.ASYMPTOMATIC
4,11286,831,11068,State.EXPOSED
5,11290,827,11068,State.EXPOSED
6,11352,0,10782,State.MILD
7,11472,,11088,State.ASYMPTOMATIC
8,11475,,11088,State.ASYMPTOMATIC
9,11520,0,11043,State.SEVERE
10,11626,491,11068,State.EXPOSED
11,11736,1213,11472,State.EXPOSED
12,11737,261,11286,State.EXPOSED
13,11753,298,11376,State.EXPOSED
14,11760,1189,11472,State.EXPOSED
15,11857,519,11736,State.EXPOSED
16,11912,824,11737,State.EXPOSED
17,11930,,11760,State.ASYMPTOMATIC
18,11937,1090,11626,State.EXPOSED
19,11952,432,11520,State.EXPOSED
20,11993,69,11520,State.EXPOSED
21,12008,728,11737,State.EXPOSED
22,12048,255,11808,State.EXPOSED
23,12126,197,11952,State.EXPOSED
24,12160,289,11952,State.EXPOSED
25,12193,543,11737,State.EXPOSED
26,12200,215,11952,State.EXPOSED
27,12232,514,11857,State.EXPOSED
28,12234,,12126,State.ASYMPTOMATIC
29,12289,1189,11993,State.EXPOSED
30,12305,1173,11993,State.EXPOSED
31,12330,,12126,State.ASYMPTOMATIC
32,12336,79,11952,State.EXPOSED
33,12338,,12193,State.ASYMPTOMATIC
34,12377,38,11952,State.EXPOSED
35,12393,399,11979,State.EXPOSED
36,12434,1044,11993,State.EXPOSED
37,12449,361,11937,State.EXPOSED
38,12481,484,12232,State.EXPOSED
39,12482,996,11993,State.EXPOSED
40,12484,,12193,State.ASYMPTOMATIC
41,12486,479,12232,State.EXPOSED
42,12489,,12126,State.ASYMPTOMATIC
43,12504,493,11952,State.EXPOSED
44,12536,198,12240,State.EXPOSED
45,12555,1154,12377,State.EXPOSED
46,12602,83,12160,State.EXPOSED
47,12608,42,12200,State.EXPOSED
48,12665,837,12486,State.EXPOSED
49,12689,,12484,State.ASYMPTOMATIC
50,12690,414,12393,State.EXPOSED
51,12696,408,12393,State.EXPOSED
52,12705,1004,12377,State.EXPOSED
53,12708,100,12528,State.EXPOSED
54,12744,5,12434,State.EXPOSED
55,12750,,12330,State.ASYMPTOMATIC
56,12768,189,12489,State.EXPOSED
57,12808,560,12504,State.EXPOSED
58,12809,,12484,State.ASYMPTOMATIC
59,12858,246,12393,State.EXPOSED
60,12865,163,12608,State.EXPOSED
61,12865,,12484,State.ASYMPTOMATIC
62,12873,155,12608,State.EXPOSED
63,12888,322,12449,State.EXPOSED
64,12892,307,12602,State.EXPOSED
65,12897,,12481,State.ASYMPTOMATIC
66,12924,311,12528,State.EXPOSED
67,12953,,12484,State.ASYMPTOMATIC
68,12993,,12690,State.ASYMPTOMATIC
69,13000,404,12689,State.EXPOSED
70,13044,223,12672,State.EXPOSED
71,13044,155,12602,State.EXPOSED
72,13074,,12384,State.ASYMPTOMATIC
73,13088,414,12486,State.EXPOSED
74,13096,133,12768,State.EXPOSED
75,13121,,12960,State.ASYMPTOMATIC
76,13130,140,12816,State.EXPOSED
77,13156,43,12602,State.EXPOSED
78,13161,165,12892,State.EXPOSED
79,13177,,12808,State.ASYMPTOMATIC
80,13200,968,12744,State.EXPOSED
81,13201,28,12768,State.EXPOSED
