,susceptible,exposed,mild,severe,recovered,asymptomatic
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.01,0.0,0.0,0.0,0.0
61,0.0,0.02,0.0,0.0,0.0,0.01
62,0.0,0.02,0.0,0.0,0.0,0.03
63,0.0,0.04,0.0,0.0,0.0,0.05
64,0.0,0.08,0.0,0.0,0.0,0.06
65,0.0,0.13,0.0,0.0,0.0,0.11
66,0.0,0.19,0.02,0.01,0.0,0.16
67,0.0,0.24,0.03,0.02,0.0,0.22
68,0.0,0.38,0.06,0.03,0.0,0.36
69,0.0,0.56,0.09,0.03,0.0,0.47
70,0.0,0.86,0.11,0.04,0.0,0.56
71,0.0,1.19,0.14,0.04,0.0,0.74
72,0.0,1.67,0.24,0.06,0.0,1.01
73,0.0,1.92,0.42,0.11,0.03,1.19
74,0.0,2.14,0.66,0.13,0.05,1.4
75,0.0,2.49,0.88,0.17,0.11,1.72
76,0.0,2.72,1.05,0.22,0.16,1.96
77,0.0,3.03,1.34,0.27,0.19,2.34
78,0.0,3.44,1.78,0.34,0.22,2.66
79,0.0,3.92,2.04,0.4,0.41,3.06
80,0.0,4.09,2.28,0.5,0.72,3.59
81,0.0,4.3,2.62,0.62,1.05,4.0
82,0.0,4.71,2.89,0.67,1.48,4.3
83,0.0,4.78,3.37,0.8,1.86,4.75
84,0.0,5.18,3.64,0.89,2.31,5.13
85,0.0,5.75,3.87,0.99,3.01,5.53
86,0.0,5.63,4.49,1.15,3.72,5.96
87,0.0,5.99,4.82,1.18,4.5,6.5
88,0.0,6.24,5.08,1.27,5.45,6.98
89,0.0,6.72,5.26,1.4,6.32,7.24
90,0.0,6.69,5.69,1.47,7.42,7.58
91,0.0,6.68,6.12,1.51,8.62,7.58
92,0.0,6.84,6.27,1.61,9.81,7.79
93,0.0,6.98,6.3,1.62,11.48,8.09
94,0.0,7.02,6.62,1.67,12.94,8.16
