,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,18,11,1,2,86.36111111111111,1,183,83.33333333333333,11,0,3,8
1,4,1,0,1,103.875,1,58,100.0,6,0,1,0
2,14,6,1,2,107.67361111111111,1,200,104.83333333333333,7,1,3,2
3,13,7,0,0,75.6875,1,34,71.0,10,0,4,9
4,13,5,0,0,102.5,1,78,96.85416666666667,17,0,3,5
5,13,2,0,10,98.99305555555556,1,114,93.45833333333333,2,0,2,0
6,1,1,0,0,157.03472222222223,1,65,152.0,6,0,1,0
7,17,10,0,0,106.90277777777777,1,192,102.0,16,0,3,10
8,14,6,0,0,94.95138888888889,1,182,89.19444444444444,10,0,2,9
9,12,6,0,0,94.13888888888889,1,50,85.0,24,0,3,8
10,16,8,0,0,123.13888888888889,1,116,109.33333333333333,22,0,5,10
11,10,6,0,0,132.07638888888889,1,14,124.0,9,0,6,3
12,17,6,1,0,131.89583333333334,1,193,123.66666666666667,28,1,4,8
13,15,5,0,0,99.89583333333333,1,26,93.86111111111111,28,0,3,10
14,27,15,1,2,85.3125,1,28,79.1875,11,0,6,17
15,3,1,0,1,106.625,1,189,102.0,5,0,1,0
16,16,5,0,2,93.88194444444444,1,209,91.0,11,0,3,6
17,15,3,1,2,92.57638888888889,1,46,88.66666666666667,5,1,2,5
18,1,1,0,0,127.25,1,174,122.0,5,0,1,0
19,20,8,0,0,84.40972222222223,1,95,79.35416666666667,25,0,4,9
20,15,12,0,1,109.47916666666667,1,159,105.18055555555556,24,0,3,11
21,15,8,1,1,92.13194444444444,1,1,87.17361111111111,13,0,4,9
22,13,6,0,0,94.07638888888889,1,151,84.0,23,0,4,8
23,14,7,0,0,78.40972222222223,1,130,72.125,22,0,4,8
24,6,1,0,5,97.82638888888889,1,84,85.0,1,0,1,0
25,22,10,0,0,121.15972222222223,1,177,116.125,16,0,3,16
26,9,4,0,0,81.27777777777777,1,72,74.0,17,0,2,7
27,14,5,1,1,97.72222222222223,1,2,89.52083333333333,17,0,2,8
28,12,5,0,1,99.75694444444444,1,202,92.85416666666667,17,0,4,3
29,11,3,0,8,94.97916666666667,1,24,92.25,1,0,3,0
30,17,6,0,0,96.50694444444444,1,79,94.0,18,0,3,12
31,15,5,1,2,94.36111111111111,1,106,88.70138888888889,15,0,4,3
32,17,9,0,1,209.13888888888889,1,101,202.0,18,3,1,2
33,23,11,1,1,105.77777777777777,1,53,101.0,22,0,4,16
34,2,1,0,1,119.27083333333333,1,169,111.0,7,0,1,0
