,transmission_time,incubation_time,infection_time,disease_state
0,9198,437,8928,State.EXPOSED
1,9414,293,9072,State.EXPOSED
2,9432,275,9072,State.EXPOSED
3,9561,303,9414,State.EXPOSED
4,9593,271,9414,State.EXPOSED
5,10625,276,10512,State.EXPOSED
6,10731,533,10656,State.EXPOSED
7,10841,314,10368,State.EXPOSED
8,10848,193,10512,State.EXPOSED
9,10993,72,10656,State.EXPOSED
10,11018,334,10731,State.EXPOSED
11,11137,127,10656,State.EXPOSED
12,11138,126,10656,State.EXPOSED
13,11280,0,10955,State.SEVERE
14,11388,,11088,State.ASYMPTOMATIC
15,11426,,11088,State.ASYMPTOMATIC
16,11442,,11232,State.ASYMPTOMATIC
17,11568,925,11426,State.EXPOSED
18,11569,,11088,State.ASYMPTOMATIC
19,11586,836,11232,State.EXPOSED
20,11592,,11088,State.ASYMPTOMATIC
21,11640,866,11376,State.EXPOSED
22,11688,,11520,State.ASYMPTOMATIC
23,11713,490,11568,State.EXPOSED
24,11776,730,11376,State.EXPOSED
25,11777,729,11376,State.EXPOSED
26,11784,510,11688,State.EXPOSED
27,11881,,11640,State.ASYMPTOMATIC
28,11968,33,11592,State.EXPOSED
29,11976,25,11592,State.EXPOSED
30,12002,421,11569,State.EXPOSED
31,12025,178,11568,State.EXPOSED
32,12072,434,11376,State.EXPOSED
33,12072,616,11776,State.EXPOSED
34,12096,198,11688,State.EXPOSED
35,12138,360,11968,State.EXPOSED
36,12138,571,12025,State.EXPOSED
37,12144,721,11952,State.EXPOSED
38,12153,791,11777,State.EXPOSED
39,12186,88,11881,State.EXPOSED
40,12200,488,11776,State.EXPOSED
41,12216,,11664,State.ASYMPTOMATIC
42,12224,225,11952,State.EXPOSED
43,12224,464,11776,State.EXPOSED
44,12232,,11784,State.ASYMPTOMATIC
45,12232,,11808,State.ASYMPTOMATIC
46,12272,416,11776,State.EXPOSED
47,12281,217,11968,State.EXPOSED
48,12338,111,11952,State.EXPOSED
49,12366,413,12240,State.EXPOSED
50,12386,,11976,State.ASYMPTOMATIC
51,12408,165,12072,State.EXPOSED
52,12413,602,12186,State.EXPOSED
53,12441,424,11952,State.EXPOSED
