,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
1,202.0,0.0,0.0,0.0,0.0,0.0,0.0
2,209.0,0.0,0.0,0.0,0.0,0.0,0.0
3,214.0,0.0,0.0,0.0,0.0,0.0,0.0
4,230.0,0.0,0.0,0.0,0.0,0.0,0.0
5,231.0,0.0,0.0,0.0,0.0,0.0,0.0
6,230.0,0.0,0.0,0.0,0.0,0.0,0.0
7,231.0,0.0,0.0,0.0,0.0,0.0,0.0
8,241.0,0.0,0.0,0.0,0.0,0.0,0.0
9,229.0,0.0,0.0,0.0,0.0,0.0,0.0
10,232.0,0.0,0.0,0.0,0.0,0.0,0.0
11,214.0,0.0,0.0,0.0,0.0,0.0,0.0
12,210.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220.0,0.0,0.0,0.0,0.0,0.0,0.0
14,197.0,0.0,0.0,0.0,0.0,0.0,0.0
15,197.0,0.0,0.0,0.0,0.0,0.0,0.0
16,202.0,0.0,0.0,0.0,0.0,0.0,0.0
17,206.0,0.0,0.0,0.0,0.0,0.0,0.0
18,216.0,0.0,0.0,0.0,0.0,0.0,0.0
19,218.0,0.0,0.0,0.0,0.0,0.0,0.0
20,212.0,0.0,0.0,0.0,0.0,0.0,0.0
21,209.0,0.0,0.0,0.0,0.0,0.0,0.0
22,225.0,0.0,0.0,0.0,0.0,0.0,0.0
23,233.0,0.0,0.0,0.0,0.0,0.0,0.0
24,224.0,0.0,0.0,0.0,0.0,0.0,0.0
25,226.0,0.0,0.0,0.0,0.0,0.0,0.0
26,220.0,0.0,0.0,0.0,0.0,0.0,0.0
27,208.0,0.0,0.0,0.0,0.0,0.0,0.0
28,216.0,0.0,0.0,0.0,0.0,0.0,0.0
29,223.0,0.0,0.0,0.0,0.0,0.0,0.0
30,240.0,0.0,0.0,0.0,0.0,0.0,0.0
31,243.0,0.0,0.0,0.0,0.0,0.0,0.0
32,239.0,0.0,0.0,0.0,0.0,0.0,0.0
33,235.0,0.0,0.0,0.0,0.0,0.0,0.0
34,249.0,0.0,0.0,0.0,0.0,0.0,0.0
35,243.0,0.0,0.0,0.0,0.0,0.0,0.0
36,248.0,0.0,0.0,0.0,0.0,0.0,0.0
37,255.0,0.0,0.0,0.0,0.0,0.0,0.0
38,240.0,0.0,0.0,0.0,0.0,0.0,0.0
39,243.0,0.0,0.0,0.0,0.0,0.0,0.0
40,232.0,0.0,0.0,0.0,0.0,0.0,0.0
41,221.0,0.0,0.0,0.0,0.0,0.0,0.0
42,209.0,0.0,0.0,0.0,0.0,0.0,0.0
43,206.0,0.0,0.0,0.0,0.0,0.0,0.0
44,228.0,0.0,0.0,0.0,0.0,0.0,0.0
45,234.0,0.0,0.0,0.0,0.0,0.0,0.0
46,244.0,0.0,0.0,0.0,0.0,0.0,0.0
47,246.0,0.0,0.0,0.0,0.0,0.0,0.0
48,232.0,0.0,0.0,0.0,0.0,0.0,0.0
49,241.0,0.0,0.0,0.0,0.0,0.0,0.0
50,237.0,0.0,0.0,0.0,0.0,0.0,0.0
51,242.0,0.0,0.0,0.0,0.0,0.0,0.0
52,242.0,0.0,0.0,0.0,0.0,0.0,0.0
53,259.0,0.0,0.0,0.0,0.0,0.0,0.0
54,248.0,0.0,0.0,0.0,0.0,0.0,0.0
55,243.0,0.0,0.0,0.0,0.0,0.0,0.0
56,244.0,0.0,0.0,0.0,0.0,0.0,0.0
57,240.0,0.0,0.0,0.0,0.0,0.0,0.0
58,262.0,0.0,0.0,0.0,0.0,0.0,0.0
59,259.0,0.0,0.0,0.0,1.0,0.0,0.0
60,251.0,0.0,0.0,0.0,1.0,0.0,0.0
61,250.0,0.0,0.0,0.0,1.0,0.0,0.0
62,240.0,0.0,0.0,0.0,1.0,0.0,0.0
63,228.0,0.0,0.0,0.0,1.0,0.0,0.0
64,230.0,0.0,0.0,0.0,1.0,0.0,0.0
65,229.0,1.0,0.0,0.0,1.0,0.0,0.0
66,240.0,1.0,0.0,0.0,1.0,0.0,0.0
67,227.0,0.0,0.0,0.0,1.0,0.0,0.0
68,243.0,0.0,0.0,0.0,1.0,0.0,0.0
69,246.0,1.0,0.0,0.0,1.0,0.0,1.0
70,230.0,1.0,0.0,0.0,1.0,0.0,1.0
71,232.0,1.0,0.0,0.0,1.0,0.0,1.0
72,236.0,2.0,0.0,0.0,1.0,0.0,1.0
73,230.0,2.0,0.0,0.0,1.0,0.0,1.0
74,236.0,2.0,0.0,0.0,1.0,0.0,1.0
75,230.0,2.0,0.0,0.0,1.0,0.0,2.0
76,222.0,1.0,0.0,0.0,1.0,0.0,2.0
77,212.0,4.0,3.0,0.0,3.0,0.0,2.0
78,229.0,4.0,3.0,0.0,4.0,0.0,0.0
79,231.0,3.0,4.0,0.0,7.0,0.0,0.0
80,231.0,6.0,6.0,0.0,8.0,0.0,1.0
81,226.0,5.0,4.0,0.0,10.0,0.0,1.0
82,235.0,7.0,6.0,0.0,12.0,0.0,1.0
83,226.0,8.0,10.0,0.0,14.0,0.0,1.0
84,225.0,7.0,11.0,0.0,16.0,0.0,1.0
85,211.0,8.0,15.0,0.0,18.0,0.0,2.0
86,213.0,7.0,19.0,0.0,19.0,1.0,2.0
87,200.0,8.0,20.0,0.0,24.0,1.0,3.0
88,200.0,6.0,22.0,0.0,28.0,1.0,5.0
89,213.0,5.0,26.0,0.0,36.0,2.0,5.0
90,208.0,10.0,23.0,0.0,37.0,3.0,3.0
91,211.0,10.0,20.0,0.0,42.0,5.0,4.0
92,197.0,7.0,23.0,0.0,48.0,5.0,5.0
93,218.0,7.0,26.0,0.0,47.0,5.0,3.0
94,200.0,7.0,31.0,0.0,50.0,4.0,3.0
95,197.0,8.0,29.0,0.0,51.0,4.0,4.0
96,199.0,7.0,24.0,0.0,50.0,6.0,3.0
97,211.0,6.0,20.0,0.0,51.0,7.0,3.0
98,216.0,5.0,17.0,0.0,50.0,6.0,2.0
99,221.0,2.0,19.0,0.0,54.0,7.0,2.0
100,203.0,5.0,18.0,0.0,53.0,10.0,2.0
101,210.0,4.0,14.0,0.0,51.0,12.0,1.0
102,211.0,2.0,9.0,0.0,52.0,6.0,2.0
103,209.0,3.0,7.0,0.0,52.0,5.0,1.0
104,207.0,2.0,6.0,0.0,54.0,6.0,2.0
105,220.0,4.0,7.0,0.0,51.0,5.0,2.0
106,231.0,5.0,8.0,0.0,50.0,6.0,2.0
107,236.0,4.0,9.0,0.0,49.0,6.0,2.0
108,237.0,2.0,7.0,0.0,49.0,6.0,2.0
109,246.0,1.0,6.0,0.0,48.0,5.0,2.0
110,257.0,0.0,3.0,0.0,45.0,7.0,3.0
111,238.0,0.0,4.0,0.0,45.0,6.0,2.0
112,235.0,0.0,3.0,0.0,40.0,7.0,2.0
113,234.0,0.0,3.0,0.0,36.0,6.0,2.0
114,243.0,0.0,3.0,0.0,35.0,5.0,2.0
115,251.0,0.0,2.0,0.0,31.0,7.0,2.0
116,250.0,1.0,3.0,0.0,27.0,7.0,1.0
117,250.0,2.0,4.0,0.0,25.0,8.0,2.0
118,261.0,2.0,5.0,0.0,25.0,7.0,1.0
119,260.0,3.0,5.0,0.0,25.0,8.0,0.0
120,248.0,2.0,4.0,0.0,22.0,8.0,0.0
121,260.0,2.0,3.0,0.0,23.0,9.0,0.0
122,261.0,2.0,2.0,0.0,21.0,9.0,0.0
123,259.0,1.0,2.0,0.0,18.0,11.0,0.0
124,255.0,2.0,1.0,0.0,16.0,12.0,0.0
125,257.0,2.0,1.0,0.0,15.0,12.0,0.0
126,264.0,2.0,1.0,0.0,15.0,10.0,0.0
127,263.0,1.0,2.0,0.0,12.0,10.0,0.0
128,247.0,0.0,3.0,0.0,11.0,8.0,0.0
129,246.0,0.0,2.0,0.0,11.0,9.0,0.0
130,237.0,1.0,1.0,0.0,11.0,8.0,1.0
131,247.0,1.0,1.0,0.0,10.0,9.0,0.0
132,244.0,0.0,1.0,0.0,10.0,9.0,0.0
133,241.0,0.0,1.0,0.0,9.0,9.0,0.0
134,241.0,0.0,1.0,0.0,9.0,9.0,0.0
135,238.0,0.0,1.0,0.0,8.0,10.0,0.0
136,232.0,0.0,1.0,0.0,7.0,10.0,0.0
137,247.0,0.0,1.0,0.0,8.0,8.0,0.0
138,242.0,0.0,0.0,0.0,8.0,9.0,0.0
139,232.0,0.0,0.0,0.0,8.0,9.0,0.0
140,224.0,0.0,0.0,0.0,8.0,9.0,0.0
141,215.0,0.0,0.0,0.0,7.0,7.0,0.0
142,223.0,0.0,0.0,0.0,5.0,8.0,0.0
143,226.0,0.0,0.0,0.0,5.0,7.0,0.0
144,222.0,0.0,1.0,0.0,4.0,8.0,0.0
145,231.0,0.0,0.0,0.0,4.0,8.0,0.0
146,219.0,0.0,0.0,0.0,4.0,8.0,0.0
147,210.0,1.0,0.0,0.0,4.0,8.0,0.0
148,210.0,0.0,1.0,0.0,4.0,8.0,0.0
149,221.0,0.0,1.0,0.0,4.0,7.0,0.0
150,221.0,0.0,1.0,0.0,4.0,6.0,0.0
151,210.0,0.0,1.0,0.0,4.0,6.0,0.0
152,219.0,0.0,1.0,0.0,3.0,6.0,0.0
153,219.0,0.0,1.0,0.0,3.0,6.0,0.0
154,227.0,0.0,0.0,0.0,2.0,7.0,0.0
155,231.0,0.0,1.0,0.0,1.0,8.0,0.0
156,237.0,0.0,1.0,0.0,1.0,8.0,0.0
157,227.0,0.0,1.0,0.0,1.0,8.0,0.0
158,220.0,0.0,1.0,0.0,1.0,7.0,0.0
159,229.0,0.0,0.0,0.0,1.0,7.0,0.0
160,234.0,0.0,0.0,0.0,1.0,7.0,0.0
161,231.0,0.0,0.0,0.0,1.0,7.0,0.0
162,231.0,0.0,0.0,0.0,1.0,7.0,0.0
163,228.0,0.0,0.0,0.0,1.0,7.0,0.0
164,217.0,0.0,0.0,0.0,1.0,6.0,0.0
165,218.0,0.0,0.0,0.0,1.0,6.0,0.0
166,220.0,0.0,0.0,0.0,1.0,6.0,0.0
167,218.0,0.0,0.0,0.0,0.0,6.0,0.0
168,228.0,1.0,0.0,0.0,0.0,6.0,0.0
169,232.0,1.0,0.0,0.0,0.0,6.0,0.0
170,228.0,1.0,0.0,0.0,0.0,6.0,0.0
171,239.0,1.0,0.0,0.0,0.0,6.0,0.0
172,238.0,1.0,0.0,0.0,0.0,5.0,0.0
173,246.0,1.0,0.0,0.0,0.0,5.0,0.0
174,247.0,1.0,0.0,0.0,0.0,5.0,0.0
175,233.0,1.0,0.0,0.0,0.0,5.0,0.0
176,233.0,1.0,0.0,0.0,0.0,5.0,0.0
177,235.0,0.0,0.0,0.0,0.0,5.0,0.0
178,217.0,0.0,0.0,0.0,0.0,5.0,0.0
179,224.0,0.0,0.0,0.0,0.0,5.0,0.0
180,227.0,0.0,0.0,0.0,0.0,5.0,0.0
181,235.0,0.0,0.0,0.0,0.0,5.0,0.0
182,247.0,0.0,0.0,0.0,0.0,5.0,0.0
183,254.0,0.0,0.0,0.0,0.0,5.0,0.0
184,246.0,0.0,0.0,0.0,0.0,5.0,0.0
185,252.0,0.0,0.0,0.0,0.0,5.0,0.0
186,241.0,0.0,0.0,0.0,0.0,5.0,0.0
187,228.0,0.0,0.0,0.0,0.0,5.0,0.0
188,233.0,0.0,0.0,0.0,0.0,5.0,0.0
189,225.0,0.0,0.0,0.0,0.0,5.0,0.0
190,238.0,0.0,0.0,0.0,0.0,5.0,0.0
191,229.0,0.0,0.0,0.0,0.0,5.0,0.0
192,224.0,0.0,0.0,0.0,0.0,5.0,0.0
193,237.0,0.0,0.0,0.0,0.0,5.0,0.0
194,240.0,0.0,0.0,0.0,0.0,5.0,0.0
195,232.0,0.0,0.0,0.0,0.0,5.0,0.0
196,226.0,0.0,0.0,0.0,0.0,5.0,0.0
197,227.0,0.0,0.0,0.0,0.0,5.0,0.0
198,242.0,0.0,0.0,0.0,0.0,5.0,0.0
199,246.0,0.0,0.0,0.0,0.0,5.0,0.0
200,249.0,0.0,0.0,0.0,0.0,5.0,0.0
201,244.0,0.0,0.0,0.0,0.0,5.0,0.0
202,234.0,0.0,0.0,0.0,0.0,5.0,0.0
203,228.0,0.0,0.0,0.0,0.0,5.0,0.0
204,216.0,0.0,1.0,0.0,0.0,5.0,0.0
205,226.0,0.0,1.0,0.0,0.0,5.0,0.0
206,236.0,0.0,1.0,0.0,0.0,5.0,0.0
207,247.0,0.0,1.0,0.0,0.0,5.0,0.0
208,234.0,0.0,1.0,0.0,0.0,5.0,0.0
209,218.0,0.0,1.0,0.0,0.0,5.0,0.0
210,227.0,0.0,1.0,0.0,0.0,5.0,0.0
211,244.0,0.0,1.0,0.0,0.0,5.0,0.0
212,243.0,0.0,1.0,0.0,0.0,5.0,0.0
213,222.0,0.0,0.0,0.0,0.0,5.0,0.0
214,224.0,0.0,0.0,0.0,0.0,5.0,0.0
215,226.0,0.0,0.0,0.0,0.0,5.0,0.0
216,233.0,0.0,0.0,0.0,1.0,5.0,0.0
217,246.0,0.0,0.0,0.0,1.0,5.0,0.0
218,235.0,0.0,0.0,0.0,1.0,5.0,0.0
219,248.0,0.0,0.0,0.0,1.0,5.0,0.0
220,252.0,0.0,0.0,0.0,1.0,5.0,0.0
221,238.0,0.0,0.0,0.0,1.0,5.0,0.0
222,253.0,0.0,0.0,0.0,1.0,5.0,0.0
223,244.0,0.0,0.0,0.0,1.0,5.0,0.0
224,247.0,0.0,0.0,0.0,1.0,5.0,0.0
225,241.0,0.0,0.0,0.0,1.0,4.0,0.0
226,238.0,0.0,0.0,0.0,0.0,4.0,0.0
227,234.0,0.0,0.0,0.0,0.0,4.0,0.0
228,239.0,0.0,0.0,0.0,0.0,4.0,0.0
229,231.0,0.0,0.0,0.0,0.0,4.0,0.0
230,222.0,1.0,0.0,0.0,0.0,4.0,0.0
231,227.0,1.0,0.0,0.0,0.0,3.0,0.0
232,225.0,1.0,0.0,0.0,0.0,3.0,0.0
233,237.0,1.0,0.0,0.0,0.0,3.0,0.0
234,235.0,0.0,0.0,0.0,0.0,3.0,0.0
235,230.0,1.0,0.0,0.0,0.0,3.0,0.0
236,242.0,1.0,0.0,0.0,0.0,3.0,0.0
237,231.0,1.0,0.0,0.0,0.0,3.0,0.0
238,223.0,1.0,0.0,0.0,0.0,3.0,0.0
