,transmission_time,incubation_time,infection_time,disease_state
0,9986,,9792,State.ASYMPTOMATIC
1,10346,300,9986,State.EXPOSED
2,10370,276,9986,State.EXPOSED
3,10393,1009,10080,State.EXPOSED
4,10512,890,10080,State.EXPOSED
5,10524,,9936,State.ASYMPTOMATIC
6,10578,249,10393,State.EXPOSED
7,10672,,10370,State.ASYMPTOMATIC
8,10728,507,10578,State.EXPOSED
9,10733,94,10393,State.EXPOSED
10,10760,,10346,State.ASYMPTOMATIC
11,10770,57,10393,State.EXPOSED
12,10776,801,10512,State.EXPOSED
13,10786,41,10393,State.EXPOSED
14,10800,777,10512,State.EXPOSED
15,10827,,10524,State.ASYMPTOMATIC
16,10850,752,10733,State.EXPOSED
17,10888,347,10578,State.EXPOSED
18,10896,,10346,State.ASYMPTOMATIC
19,10944,,10524,State.ASYMPTOMATIC
20,10944,370,10728,State.EXPOSED
21,10968,440,10888,State.EXPOSED
22,10971,,10524,State.ASYMPTOMATIC
23,10995,607,10733,State.EXPOSED
24,11018,584,10733,State.EXPOSED
25,11160,,10896,State.ASYMPTOMATIC
26,11184,242,10760,State.EXPOSED
27,11233,1082,11018,State.EXPOSED
28,11256,170,10760,State.EXPOSED
29,11312,481,11160,State.EXPOSED
30,11376,0,10944,State.SEVERE
31,11400,26,10760,State.EXPOSED
32,11424,401,11088,State.EXPOSED
33,11457,336,11160,State.EXPOSED
34,11496,494,11312,State.EXPOSED
35,11522,,11233,State.ASYMPTOMATIC
36,11616,,11184,State.ASYMPTOMATIC
37,11691,659,11400,State.EXPOSED
38,11713,,11376,State.ASYMPTOMATIC
39,11720,652,11616,State.EXPOSED
40,11976,592,11713,State.EXPOSED
41,12048,471,11664,State.EXPOSED
42,12058,132,11664,State.EXPOSED
43,12064,126,11664,State.EXPOSED
44,12072,254,11664,State.EXPOSED
45,12088,480,11713,State.EXPOSED
46,12121,910,11808,State.EXPOSED
47,12218,350,11713,State.EXPOSED
48,12234,961,11808,State.EXPOSED
49,12240,791,11808,State.EXPOSED
50,12257,560,11976,State.EXPOSED
51,12328,965,12096,State.EXPOSED
52,12337,858,11808,State.EXPOSED
53,12425,,12257,State.ASYMPTOMATIC
54,12484,594,12121,State.EXPOSED
55,12513,132,12328,State.EXPOSED
56,12529,386,12240,State.EXPOSED
57,12545,370,12240,State.EXPOSED
