,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,6,6,0,0,69.74305555555556,1,1042,67.0,5,0,0,0
1,31,22,5,0,70.88888888888889,1,92,68.0,24,0,0,0
2,34,23,3,0,70.88888888888889,1,1486,69.75,24,1,0,0
3,4,4,0,0,72.95833333333333,1,1056,68.0,2,0,0,0
4,5,4,0,0,74.08333333333333,1,1182,71.33333333333333,6,0,0,0
5,27,14,3,0,74.31944444444444,1,1210,70.16666666666667,20,0,0,0
6,4,3,0,0,75.63194444444444,1,120,72.0,6,0,0,0
7,4,4,0,0,76.35416666666667,1,1469,74.0,8,0,0,0
8,5,5,1,0,78.125,1,1569,73.0,7,0,0,0
9,4,4,0,0,78.125,1,1083,75.125,4,1,0,0
10,27,14,0,0,78.79166666666667,1,1667,75.0,24,0,0,0
11,28,16,1,0,78.90972222222223,1,187,74.0,13,0,0,0
12,43,26,0,0,79.25694444444444,1,1541,74.0,17,0,0,0
13,28,15,3,0,79.40277777777777,1,1483,72.94444444444444,20,0,0,0
14,28,15,2,0,79.40277777777777,1,1212,77.75,20,2,0,0
15,29,13,2,0,79.40972222222223,1,1,72.83333333333333,20,2,0,0
16,25,12,3,0,79.88194444444444,1,1478,76.0,26,0,0,0
17,8,7,1,0,80.15277777777777,1,58,77.0,7,0,0,0
18,4,4,1,1,80.27777777777777,1,1647,74.0,4,0,0,0
19,5,5,0,0,80.28472222222223,1,1650,79.0,4,1,0,0
20,18,12,0,0,81.45138888888889,1,86,79.0,9,0,0,0
21,4,4,1,0,81.66666666666667,1,1517,71.0,1,0,0,0
22,14,7,1,0,81.74305555555556,1,1637,79.0,9,0,0,0
23,31,18,3,0,81.97222222222223,1,1037,78.33333333333333,20,0,0,0
24,39,22,2,0,81.97916666666667,1,1485,79.58333333333333,20,1,0,0
25,32,12,2,0,82.79861111111111,1,1281,70.0,10,0,0,0
26,21,13,1,2,83.03472222222223,1,1362,78.0,2,0,0,0
27,29,15,3,0,83.22222222222223,1,1665,80.83333333333333,27,0,0,0
28,29,15,2,0,83.22916666666667,1,162,82.84722222222223,27,1,0,0
29,37,24,3,0,83.8125,1,1107,79.95138888888889,19,1,0,0
30,33,19,5,0,83.89583333333333,1,112,80.08333333333333,27,0,0,0
31,32,18,2,0,83.89583333333333,1,161,78.0,27,2,0,0
32,32,19,3,0,83.89583333333333,1,1207,81.11805555555556,27,2,0,0
33,28,17,0,0,84.33333333333333,1,1624,80.0,22,0,0,0
34,24,13,2,0,84.59722222222223,1,1603,81.0,15,0,0,0
35,10,10,3,2,85.15277777777777,1,1331,80.0,6,0,0,0
36,9,8,1,3,85.95138888888889,1,1524,82.0,6,0,0,0
37,15,15,0,2,86.05555555555556,1,1098,84.0,28,0,0,0
38,27,14,4,1,86.44444444444444,1,196,80.0,12,0,0,0
39,14,10,1,3,86.91666666666667,1,65,83.0,5,0,0,0
40,8,5,0,1,87.30555555555556,1,157,80.0,5,0,0,0
41,36,21,6,2,87.47916666666667,1,1193,86.0,6,0,0,0
42,29,13,6,0,87.48611111111111,1,90,83.1875,12,1,0,0
43,41,22,3,0,87.48611111111111,1,1479,82.67361111111111,26,1,0,0
44,26,15,2,0,88.125,1,1092,85.0,22,0,0,0
45,26,16,1,1,88.9375,1,1183,83.0,22,0,0,0
46,29,18,1,0,88.94444444444444,1,1327,84.0,22,1,0,0
47,48,36,1,0,88.95138888888889,1,212,86.5,26,1,0,0
48,8,4,0,0,89.125,1,1470,82.0,15,0,0,0
49,25,14,1,0,89.20138888888889,1,1370,81.72222222222223,20,0,0,0
50,25,13,0,0,89.23611111111111,1,11,83.0,25,0,0,0
51,27,18,5,0,89.50694444444444,1,158,84.0,14,0,0,0
52,27,18,4,0,89.50694444444444,1,1639,87.33333333333333,14,1,0,0
53,16,6,0,0,90.05555555555556,1,1119,84.0,9,0,0,0
54,29,17,3,0,90.1875,1,1178,87.0,15,0,0,0
55,27,16,3,0,90.24305555555556,1,1399,87.95138888888889,23,0,0,0
56,19,12,1,6,90.43055555555556,1,1089,87.0,8,0,0,0
57,29,15,0,6,90.4375,1,142,89.20833333333333,8,1,0,0
58,13,13,0,12,90.53472222222223,1,102,85.0,3,0,0,0
59,19,19,0,5,90.69444444444444,1,3,87.0,23,0,0,0
60,10,10,0,6,91.02083333333333,1,1017,87.0,1,0,0,0
61,14,14,0,8,91.27777777777777,1,1552,87.0,3,0,0,0
62,23,18,0,8,91.38194444444444,1,169,87.0,1,0,0,0
63,24,13,0,0,91.625,1,129,89.0,24,0,0,0
64,16,9,2,3,92.8125,1,1267,89.95833333333333,6,0,0,0
65,17,12,1,4,92.8125,1,1227,87.66666666666667,6,1,0,0
66,27,19,2,0,93.34722222222223,1,105,84.84722222222223,10,0,0,0
67,22,19,0,4,93.45833333333333,1,1065,88.0,15,0,0,0
