,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,4
78,5
79,5
80,6
81,7
82,8
83,8
84,9
85,9
86,9
87,10
88,11
89,15
90,16
91,16
92,16
93,18
94,21
95,22
96,24
97,27
98,28
99,32
100,34
101,35
102,40
103,42
104,46
105,49
106,51
107,53
108,56
109,57
110,62
111,64
112,66
113,68
114,69
115,70
116,71
117,71
118,71
119,72
120,72
121,72
122,72
123,72
124,73
125,73
126,73
127,74
128,74
129,74
130,74
131,75
132,75
133,75
134,75
135,75
136,75
137,75
138,75
139,75
140,75
141,75
142,75
143,75
144,75
145,75
146,75
147,76
148,76
149,76
150,76
151,76
152,76
153,76
154,76
155,76
156,76
157,76
158,76
159,76
160,76
161,76
162,76
163,76
164,76
165,76
166,76
167,76
168,76
169,76
170,76
171,76
172,76
173,76
174,77
175,77
176,77
177,77
178,77
179,77
180,77
181,77
182,77
183,77
184,77
185,77
186,77
187,77
188,77
189,77
190,77
191,77
192,77
193,77
194,77
195,77
196,77
197,77
198,77
199,77
200,77
201,77
202,77
203,77
204,77
205,77
206,77
207,77
208,77
209,77
210,77
211,77
212,77
213,77
214,77
215,77
216,77
217,77
218,78
219,78
220,80
221,80
222,80
223,80
224,80
225,80
226,80
227,80
228,81
229,82
230,82
231,82
232,82
233,82
234,82
235,82
236,82
237,82
238,82
