,transmission_time,incubation_time,infection_time,disease_state
0,8841,662,8784,State.EXPOSED
1,9018,485,8784,State.EXPOSED
2,9113,480,8841,State.EXPOSED
3,9121,382,8784,State.EXPOSED
4,9241,1435,9113,State.EXPOSED
5,9246,347,8841,State.EXPOSED
6,9249,1427,9113,State.EXPOSED
7,9288,215,8784,State.EXPOSED
8,9504,1172,9113,State.EXPOSED
9,9528,1148,9113,State.EXPOSED
10,9652,476,9504,State.EXPOSED
11,9721,224,9504,State.EXPOSED
12,9818,413,9528,State.EXPOSED
13,9848,383,9528,State.EXPOSED
14,9865,1085,9721,State.EXPOSED
15,10014,936,9721,State.EXPOSED
16,10035,93,9504,State.EXPOSED
17,10204,821,10080,State.EXPOSED
18,10344,681,10080,State.EXPOSED
19,10374,722,10080,State.EXPOSED
20,10512,17,10035,State.EXPOSED
21,10612,413,10080,State.EXPOSED
22,10632,1527,10344,State.EXPOSED
23,10753,439,10612,State.EXPOSED
24,10865,327,10612,State.EXPOSED
25,10896,1011,10753,State.EXPOSED
26,11008,169,10865,State.EXPOSED
27,11024,153,10865,State.EXPOSED
28,11064,744,10656,State.EXPOSED
29,11070,,10800,State.ASYMPTOMATIC
30,11153,193,10800,State.EXPOSED
31,11184,289,11070,State.EXPOSED
32,11384,614,10944,State.EXPOSED
33,11409,154,11064,State.EXPOSED
34,11417,292,11376,State.EXPOSED
35,11560,809,11376,State.EXPOSED
36,11617,1055,11384,State.EXPOSED
37,11618,401,11376,State.EXPOSED
38,11649,372,11417,State.EXPOSED
39,11696,673,11376,State.EXPOSED
40,11697,672,11376,State.EXPOSED
41,11880,389,11560,State.EXPOSED
42,11897,338,11697,State.EXPOSED
43,11904,,11617,State.ASYMPTOMATIC
44,11906,113,11376,State.EXPOSED
45,11912,,11649,State.ASYMPTOMATIC
46,11928,,11617,State.ASYMPTOMATIC
47,11932,433,11618,State.EXPOSED
48,11936,,11649,State.ASYMPTOMATIC
49,11944,1185,11696,State.EXPOSED
50,11954,411,11618,State.EXPOSED
51,12000,1129,11696,State.EXPOSED
52,12003,232,11697,State.EXPOSED
53,12032,411,11808,State.EXPOSED
54,12121,58,11912,State.EXPOSED
55,12146,661,11897,State.EXPOSED
56,12197,,11617,State.ASYMPTOMATIC
57,12219,,11928,State.ASYMPTOMATIC
58,12243,,11952,State.ASYMPTOMATIC
59,12249,880,11696,State.EXPOSED
60,12249,,12096,State.ASYMPTOMATIC
