,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,2.0
65,3.0
66,3.0
67,3.0
68,3.0
69,4.0
70,4.0
71,7.0
72,6.0
73,8.0
74,8.0
75,8.0
76,8.0
77,10.0
78,6.0
79,8.0
80,7.0
81,10.0
82,12.0
83,13.0
84,15.0
85,21.0
86,20.0
87,29.0
88,28.0
89,30.0
90,34.0
91,38.0
92,36.0
93,42.0
94,35.0
95,38.0
96,38.0
97,38.0
98,33.0
99,32.0
100,35.0
101,39.0
102,43.0
103,43.0
104,39.0
105,38.0
106,43.0
107,39.0
108,36.0
109,32.0
110,34.0
111,40.0
112,41.0
113,36.0
114,32.0
115,30.0
116,27.0
117,23.0
118,17.0
119,16.0
120,16.0
121,16.0
122,16.0
123,16.0
124,14.0
125,12.0
126,10.0
127,7.0
128,5.0
129,3.0
130,1.0
131,1.0
132,2.0
133,2.0
134,1.0
135,1.0
136,1.0
137,2.0
138,2.0
139,1.0
140,1.0
141,1.0
142,2.0
143,3.0
144,3.0
145,5.0
146,5.0
147,6.0
148,7.0
149,8.0
150,10.0
151,12.0
152,12.0
153,14.0
154,13.0
155,14.0
156,13.0
157,10.0
158,7.0
159,5.0
160,3.0
161,3.0
162,1.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,2.0
180,4.0
181,5.0
182,7.0
183,8.0
184,9.0
185,9.0
186,8.0
187,6.0
188,4.0
189,2.0
190,1.0
191,1.0
192,2.0
193,2.0
194,2.0
195,2.0
196,3.0
197,4.0
198,3.0
199,3.0
200,4.0
201,4.0
202,4.0
203,3.0
204,2.0
205,3.0
206,2.0
207,1.0
208,1.0
209,1.0
210,2.0
211,3.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,1.0
218,0.0
219,0.0
220,0.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,0.0
229,2.0
230,2.0
231,3.0
232,3.0
233,3.0
234,4.0
235,4.0
236,4.0
237,5.0
238,6.0
