,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,6.0
78,8.0
79,11.0
80,15.0
81,18.0
82,19.0
83,25.0
84,31.0
85,36.0
86,43.0
87,52.0
88,56.0
89,67.0
90,66.0
91,71.0
92,80.0
93,85.0
94,92.0
95,94.0
96,92.0
97,86.0
98,87.0
99,85.0
100,87.0
101,87.0
102,88.0
103,79.0
104,81.0
105,84.0
106,84.0
107,83.0
108,82.0
109,81.0
110,78.0
111,75.0
112,79.0
113,71.0
114,67.0
115,63.0
116,62.0
117,58.0
118,56.0
119,55.0
120,55.0
121,48.0
122,47.0
123,45.0
124,44.0
125,40.0
126,40.0
127,36.0
128,33.0
129,30.0
130,29.0
131,27.0
132,26.0
133,26.0
134,26.0
135,25.0
136,23.0
137,22.0
138,22.0
139,21.0
140,23.0
141,22.0
142,19.0
143,18.0
144,20.0
145,19.0
146,18.0
147,18.0
148,19.0
149,19.0
150,18.0
151,17.0
152,17.0
153,16.0
154,14.0
155,14.0
156,14.0
157,14.0
158,12.0
159,11.0
160,8.0
161,8.0
162,8.0
163,8.0
164,8.0
165,7.0
166,7.0
167,6.0
168,5.0
169,5.0
170,5.0
171,5.0
172,5.0
173,5.0
174,5.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,5.0
205,5.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,4.0
215,4.0
216,5.0
217,5.0
218,5.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,6.0
225,6.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
