,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
1,234.0,0.0,0.0,0.0,0.0,0.0,0.0
2,234.0,0.0,0.0,0.0,0.0,0.0,0.0
3,221.0,0.0,0.0,0.0,0.0,0.0,0.0
4,217.0,0.0,0.0,0.0,0.0,0.0,0.0
5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
6,240.0,0.0,0.0,0.0,0.0,0.0,0.0
7,243.0,0.0,0.0,0.0,0.0,0.0,0.0
8,246.0,0.0,0.0,0.0,0.0,0.0,0.0
9,242.0,0.0,0.0,0.0,0.0,0.0,0.0
10,237.0,0.0,0.0,0.0,0.0,0.0,0.0
11,250.0,0.0,0.0,0.0,0.0,0.0,0.0
12,252.0,0.0,0.0,0.0,0.0,0.0,0.0
13,257.0,0.0,0.0,0.0,0.0,0.0,0.0
14,274.0,0.0,0.0,0.0,0.0,0.0,0.0
15,255.0,0.0,0.0,0.0,0.0,0.0,0.0
16,239.0,0.0,0.0,0.0,0.0,0.0,0.0
17,246.0,0.0,0.0,0.0,0.0,0.0,0.0
18,231.0,0.0,0.0,0.0,0.0,0.0,0.0
19,226.0,0.0,0.0,0.0,0.0,0.0,0.0
20,229.0,0.0,0.0,0.0,0.0,0.0,0.0
21,230.0,0.0,0.0,0.0,0.0,0.0,0.0
22,221.0,0.0,0.0,0.0,0.0,0.0,0.0
23,216.0,0.0,0.0,0.0,0.0,0.0,0.0
24,233.0,0.0,0.0,0.0,0.0,0.0,0.0
25,215.0,0.0,0.0,0.0,0.0,0.0,0.0
26,225.0,0.0,0.0,0.0,0.0,0.0,0.0
27,212.0,0.0,0.0,0.0,0.0,0.0,0.0
28,216.0,0.0,0.0,0.0,0.0,0.0,0.0
29,208.0,0.0,0.0,0.0,0.0,0.0,0.0
30,216.0,0.0,0.0,0.0,0.0,0.0,0.0
31,232.0,0.0,0.0,0.0,0.0,0.0,0.0
32,247.0,0.0,0.0,0.0,0.0,0.0,0.0
33,260.0,0.0,0.0,0.0,0.0,0.0,0.0
34,246.0,0.0,0.0,0.0,0.0,0.0,0.0
35,242.0,0.0,0.0,0.0,0.0,0.0,0.0
36,232.0,0.0,0.0,0.0,0.0,0.0,0.0
37,236.0,0.0,0.0,0.0,0.0,0.0,0.0
38,243.0,0.0,0.0,0.0,0.0,0.0,0.0
39,233.0,0.0,0.0,0.0,0.0,0.0,0.0
40,229.0,0.0,0.0,0.0,0.0,0.0,0.0
41,231.0,0.0,0.0,0.0,0.0,0.0,0.0
42,235.0,0.0,0.0,0.0,0.0,0.0,0.0
43,231.0,0.0,0.0,0.0,0.0,0.0,0.0
44,236.0,0.0,0.0,0.0,0.0,0.0,0.0
45,230.0,0.0,0.0,0.0,0.0,0.0,0.0
46,251.0,0.0,0.0,0.0,0.0,0.0,0.0
47,239.0,0.0,0.0,0.0,0.0,0.0,0.0
48,233.0,0.0,0.0,0.0,0.0,0.0,0.0
49,241.0,0.0,0.0,0.0,0.0,0.0,0.0
50,241.0,0.0,0.0,0.0,0.0,0.0,0.0
51,237.0,0.0,0.0,0.0,0.0,0.0,0.0
52,243.0,0.0,0.0,0.0,0.0,0.0,0.0
53,254.0,0.0,0.0,0.0,0.0,0.0,0.0
54,251.0,0.0,0.0,0.0,0.0,0.0,0.0
55,252.0,0.0,0.0,0.0,0.0,0.0,0.0
56,253.0,0.0,0.0,0.0,0.0,0.0,0.0
57,262.0,0.0,0.0,0.0,0.0,0.0,0.0
58,256.0,0.0,0.0,0.0,0.0,0.0,0.0
59,251.0,0.0,0.0,0.0,1.0,0.0,0.0
60,246.0,0.0,0.0,0.0,1.0,0.0,0.0
61,250.0,0.0,0.0,0.0,1.0,0.0,0.0
62,230.0,1.0,0.0,0.0,1.0,0.0,0.0
63,219.0,0.0,1.0,0.0,1.0,0.0,0.0
64,225.0,0.0,1.0,0.0,1.0,0.0,0.0
65,214.0,0.0,1.0,0.0,1.0,0.0,0.0
66,222.0,0.0,0.0,0.0,1.0,0.0,0.0
67,235.0,0.0,0.0,0.0,1.0,0.0,0.0
68,242.0,0.0,0.0,0.0,1.0,0.0,0.0
69,236.0,0.0,0.0,0.0,1.0,0.0,0.0
70,229.0,0.0,0.0,0.0,1.0,0.0,1.0
71,215.0,2.0,0.0,0.0,1.0,0.0,1.0
72,225.0,2.0,0.0,0.0,1.0,0.0,2.0
73,218.0,2.0,0.0,0.0,1.0,1.0,2.0
74,220.0,3.0,0.0,0.0,1.0,1.0,2.0
75,200.0,2.0,0.0,0.0,2.0,1.0,4.0
76,212.0,3.0,0.0,0.0,2.0,1.0,1.0
77,215.0,7.0,3.0,0.0,4.0,1.0,0.0
78,200.0,11.0,3.0,0.0,5.0,1.0,1.0
79,204.0,14.0,4.0,0.0,8.0,1.0,2.0
80,187.0,12.0,9.0,0.0,8.0,1.0,4.0
81,183.0,9.0,9.0,0.0,10.0,1.0,8.0
82,187.0,11.0,12.0,0.0,12.0,1.0,7.0
83,208.0,9.0,16.0,0.0,15.0,0.0,9.0
84,219.0,7.0,16.0,0.0,18.0,0.0,9.0
85,215.0,12.0,18.0,0.0,20.0,1.0,7.0
86,230.0,9.0,21.0,0.0,23.0,1.0,7.0
87,222.0,10.0,23.0,0.0,28.0,3.0,6.0
88,207.0,13.0,22.0,0.0,31.0,3.0,6.0
89,228.0,13.0,24.0,0.0,38.0,4.0,7.0
90,244.0,11.0,21.0,0.0,39.0,4.0,7.0
91,240.0,10.0,23.0,0.0,42.0,5.0,7.0
92,232.0,7.0,25.0,0.0,48.0,5.0,5.0
93,231.0,9.0,28.0,0.0,48.0,6.0,2.0
94,237.0,10.0,27.0,0.0,52.0,8.0,3.0
95,244.0,11.0,23.0,0.0,53.0,9.0,4.0
96,241.0,7.0,21.0,0.0,51.0,8.0,5.0
97,230.0,11.0,18.0,0.0,52.0,8.0,6.0
98,221.0,12.0,12.0,0.0,50.0,10.0,7.0
99,206.0,13.0,14.0,0.0,53.0,11.0,7.0
100,207.0,12.0,17.0,0.0,52.0,12.0,5.0
101,206.0,11.0,16.0,0.0,50.0,12.0,4.0
102,208.0,14.0,14.0,0.0,48.0,8.0,6.0
103,202.0,9.0,15.0,0.0,47.0,6.0,7.0
104,202.0,8.0,18.0,0.0,52.0,3.0,7.0
105,209.0,10.0,15.0,0.0,50.0,3.0,6.0
106,210.0,9.0,13.0,0.0,50.0,5.0,4.0
107,214.0,6.0,14.0,0.0,47.0,7.0,2.0
108,207.0,4.0,11.0,0.0,47.0,8.0,2.0
109,199.0,1.0,11.0,0.0,44.0,9.0,2.0
110,216.0,4.0,6.0,0.0,42.0,9.0,2.0
111,213.0,2.0,8.0,0.0,42.0,8.0,4.0
112,220.0,3.0,5.0,0.0,39.0,7.0,1.0
113,215.0,5.0,5.0,0.0,36.0,5.0,2.0
114,229.0,3.0,4.0,0.0,35.0,4.0,2.0
115,230.0,3.0,4.0,0.0,32.0,5.0,2.0
116,218.0,4.0,4.0,0.0,27.0,7.0,2.0
117,217.0,4.0,5.0,0.0,24.0,10.0,1.0
118,206.0,4.0,5.0,0.0,24.0,9.0,1.0
119,217.0,2.0,5.0,0.0,24.0,9.0,2.0
120,224.0,3.0,3.0,0.0,21.0,9.0,2.0
121,232.0,3.0,3.0,0.0,21.0,11.0,3.0
122,227.0,1.0,1.0,0.0,18.0,12.0,2.0
123,214.0,2.0,1.0,0.0,15.0,14.0,3.0
124,214.0,3.0,0.0,0.0,15.0,13.0,3.0
125,232.0,5.0,0.0,0.0,14.0,13.0,4.0
126,238.0,4.0,0.0,0.0,15.0,10.0,4.0
127,243.0,5.0,0.0,0.0,13.0,9.0,4.0
128,245.0,5.0,1.0,0.0,13.0,7.0,2.0
129,232.0,7.0,1.0,0.0,12.0,8.0,2.0
130,242.0,6.0,2.0,0.0,11.0,8.0,2.0
131,238.0,5.0,3.0,0.0,9.0,10.0,1.0
132,229.0,2.0,3.0,0.0,9.0,10.0,1.0
133,222.0,2.0,3.0,0.0,9.0,9.0,0.0
134,227.0,2.0,2.0,0.0,9.0,9.0,0.0
135,232.0,1.0,1.0,0.0,8.0,10.0,0.0
136,222.0,1.0,1.0,0.0,8.0,9.0,0.0
137,225.0,0.0,1.0,0.0,9.0,8.0,0.0
138,215.0,1.0,1.0,0.0,8.0,9.0,0.0
139,198.0,0.0,2.0,0.0,7.0,10.0,0.0
140,200.0,0.0,2.0,0.0,7.0,10.0,0.0
141,206.0,0.0,1.0,0.0,6.0,8.0,1.0
142,210.0,0.0,1.0,0.0,5.0,8.0,1.0
143,222.0,0.0,1.0,0.0,5.0,7.0,1.0
144,220.0,0.0,2.0,0.0,3.0,9.0,0.0
145,208.0,0.0,1.0,0.0,3.0,8.0,0.0
146,213.0,0.0,1.0,0.0,3.0,8.0,0.0
147,223.0,0.0,1.0,0.0,3.0,8.0,0.0
148,227.0,0.0,2.0,0.0,3.0,8.0,0.0
149,221.0,0.0,2.0,0.0,3.0,7.0,0.0
150,228.0,0.0,2.0,0.0,3.0,6.0,0.0
151,233.0,0.0,2.0,0.0,3.0,6.0,0.0
152,231.0,0.0,1.0,0.0,2.0,7.0,0.0
153,231.0,0.0,1.0,0.0,2.0,7.0,0.0
154,229.0,0.0,0.0,0.0,2.0,7.0,0.0
155,213.0,0.0,1.0,0.0,1.0,7.0,0.0
156,207.0,0.0,1.0,0.0,1.0,7.0,0.0
157,213.0,0.0,1.0,0.0,1.0,7.0,0.0
