,transmission_time,incubation_time,infection_time,disease_state
0,10249,477,9792,State.EXPOSED
1,10250,476,9792,State.EXPOSED
2,10496,1122,10249,State.EXPOSED
3,10512,1106,10249,State.EXPOSED
4,10801,,10512,State.ASYMPTOMATIC
5,10889,364,10447,State.EXPOSED
6,10921,332,10447,State.EXPOSED
7,10924,443,10801,State.EXPOSED
8,10954,413,10801,State.EXPOSED
9,10974,393,10801,State.EXPOSED
10,10977,276,10447,State.EXPOSED
11,11018,349,10801,State.EXPOSED
12,11066,301,10801,State.EXPOSED
13,11119,248,10801,State.EXPOSED
14,11154,1191,10889,State.EXPOSED
15,11160,1185,10889,State.EXPOSED
16,11203,844,11066,State.EXPOSED
17,11212,,10924,State.ASYMPTOMATIC
18,11214,203,10800,State.EXPOSED
19,11256,761,10977,State.EXPOSED
20,11258,195,10974,State.EXPOSED
21,11274,,10944,State.ASYMPTOMATIC
22,11320,,11088,State.ASYMPTOMATIC
23,11328,101,10944,State.EXPOSED
24,11337,590,11154,State.EXPOSED
25,11345,422,10921,State.EXPOSED
26,11354,693,11066,State.EXPOSED
27,11356,558,11212,State.EXPOSED
28,11362,685,11066,State.EXPOSED
29,11378,415,11119,State.EXPOSED
30,11379,74,10974,State.EXPOSED
31,11384,433,10954,State.EXPOSED
32,11393,521,11212,State.EXPOSED
33,11401,392,11119,State.EXPOSED
34,11406,387,11119,State.EXPOSED
35,11408,609,10977,State.EXPOSED
36,11428,486,11212,State.EXPOSED
37,11428,499,11154,State.EXPOSED
38,11441,,11088,State.ASYMPTOMATIC
39,11474,573,11066,State.EXPOSED
40,11496,733,11256,State.EXPOSED
41,11521,409,11232,State.EXPOSED
42,11529,638,11214,State.EXPOSED
43,11538,97,11203,State.EXPOSED
44,11546,456,11376,State.EXPOSED
45,11556,374,11232,State.EXPOSED
46,11556,522,11376,State.EXPOSED
47,11592,958,11378,State.EXPOSED
48,11601,313,11212,State.EXPOSED
49,11610,0,11120,State.SEVERE
50,11658,561,11474,State.EXPOSED
51,11666,457,11362,State.EXPOSED
52,11696,257,11376,State.EXPOSED
53,11697,1223,11529,State.EXPOSED
54,11697,230,11154,State.EXPOSED
55,11729,888,11406,State.EXPOSED
56,11739,,11428,State.ASYMPTOMATIC
57,11801,1119,11529,State.EXPOSED
58,11801,246,11345,State.EXPOSED
59,11809,271,11520,State.EXPOSED
60,11810,268,11376,State.EXPOSED
61,11832,170,11376,State.EXPOSED
62,11833,386,11474,State.EXPOSED
63,11836,242,11376,State.EXPOSED
64,11837,93,11232,State.EXPOSED
65,11838,115,11376,State.EXPOSED
66,11857,1063,11529,State.EXPOSED
67,11905,460,11837,State.EXPOSED
68,11921,298,11474,State.EXPOSED
69,11929,850,11664,State.EXPOSED
70,11946,619,11801,State.EXPOSED
71,11968,138,11556,State.EXPOSED
72,11969,795,11836,State.EXPOSED
73,11976,574,11378,State.EXPOSED
74,11976,848,11838,State.EXPOSED
75,11977,802,11664,State.EXPOSED
76,11982,797,11664,State.EXPOSED
77,11985,274,11697,State.EXPOSED
78,11992,291,11697,State.EXPOSED
79,11993,114,11666,State.EXPOSED
80,12033,577,11592,State.EXPOSED
81,12036,971,11808,State.EXPOSED
82,12049,715,11836,State.EXPOSED
83,12060,505,11801,State.EXPOSED
84,12065,699,11836,State.EXPOSED
85,12072,781,11810,State.EXPOSED
86,12080,,11696,State.ASYMPTOMATIC
87,12096,1079,11808,State.EXPOSED
88,12096,187,11697,State.EXPOSED
89,12102,1073,11808,State.EXPOSED
90,12105,264,11739,State.EXPOSED
91,12129,695,11838,State.EXPOSED
92,12168,799,11992,State.EXPOSED
93,12169,448,11857,State.EXPOSED
94,12169,,11393,State.ASYMPTOMATIC
95,12176,233,11801,State.EXPOSED
96,12177,809,12036,State.EXPOSED
97,12177,830,11808,State.EXPOSED
98,12185,640,11952,State.EXPOSED
99,12200,780,12049,State.EXPOSED
100,12208,,12096,State.ASYMPTOMATIC
101,12209,771,12049,State.EXPOSED
102,12210,355,11801,State.EXPOSED
103,12216,349,11801,State.EXPOSED
104,12241,934,11808,State.EXPOSED
105,12241,1100,11982,State.EXPOSED
106,12256,1085,11982,State.EXPOSED
107,12273,310,12129,State.EXPOSED
108,12292,151,11993,State.EXPOSED
109,12294,926,12096,State.EXPOSED
110,12304,313,11857,State.EXPOSED
111,12305,520,11952,State.EXPOSED
112,12345,483,12072,State.EXPOSED
113,12366,300,12169,State.EXPOSED
114,12368,231,11929,State.EXPOSED
115,12376,452,12072,State.EXPOSED
116,12377,603,12049,State.EXPOSED
117,12378,,12102,State.ASYMPTOMATIC
118,12384,283,12096,State.EXPOSED
119,12396,527,11952,State.EXPOSED
120,12400,451,12105,State.EXPOSED
121,12425,747,12177,State.EXPOSED
122,12432,235,12096,State.EXPOSED
123,12434,,12102,State.ASYMPTOMATIC
124,12434,647,12240,State.EXPOSED
125,12435,,12292,State.ASYMPTOMATIC
126,12440,159,11929,State.EXPOSED
127,12441,96,12216,State.EXPOSED
128,12456,511,11992,State.EXPOSED
129,12458,,12345,State.ASYMPTOMATIC
130,12464,203,12096,State.EXPOSED
131,12472,421,12200,State.EXPOSED
132,12488,,12240,State.ASYMPTOMATIC
133,12488,179,12096,State.EXPOSED
134,12497,40,12216,State.EXPOSED
135,12497,722,12060,State.EXPOSED
136,12498,,12240,State.ASYMPTOMATIC
137,12508,469,12177,State.EXPOSED
138,12513,,12208,State.ASYMPTOMATIC
139,12513,467,12049,State.EXPOSED
140,12516,384,12378,State.EXPOSED
141,12522,463,12434,State.EXPOSED
142,12532,445,12177,State.EXPOSED
143,12557,428,12434,State.EXPOSED
144,12564,431,11946,State.EXPOSED
145,12580,397,12177,State.EXPOSED
146,12581,,12458,State.ASYMPTOMATIC
147,12592,,12168,State.ASYMPTOMATIC
148,12633,344,12177,State.EXPOSED
149,12640,925,12376,State.EXPOSED
150,12648,427,12400,State.EXPOSED
151,12672,,12488,State.ASYMPTOMATIC
152,12675,246,12557,State.EXPOSED
153,12688,387,12400,State.EXPOSED
154,12690,,12058,State.ASYMPTOMATIC
155,12696,850,12690,State.EXPOSED
156,12696,869,12376,State.EXPOSED
157,12697,117,12425,State.EXPOSED
158,12701,131,12497,State.EXPOSED
159,12714,271,12434,State.EXPOSED
160,12722,502,12456,State.EXPOSED
161,12730,314,12440,State.EXPOSED
162,12736,,12384,State.ASYMPTOMATIC
163,12736,486,12434,State.EXPOSED
164,12738,503,12441,State.EXPOSED
165,12738,195,12432,State.EXPOSED
166,12738,343,12240,State.EXPOSED
167,12744,331,12400,State.EXPOSED
168,12744,821,12376,State.EXPOSED
169,12744,337,12240,State.EXPOSED
170,12749,,12292,State.ASYMPTOMATIC
171,12753,,12168,State.ASYMPTOMATIC
172,12777,55,12497,State.EXPOSED
173,12777,926,12516,State.EXPOSED
174,12802,155,12633,State.EXPOSED
