,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1.0
72,1.0
73,2.0
74,3.0
75,5.0
76,5.0
77,6.0
78,6.0
79,10.0
80,10.0
81,10.0
82,11.0
83,17.0
84,19.0
85,19.0
86,17.0
87,23.0
88,22.0
89,21.0
90,16.0
91,17.0
92,20.0
93,19.0
94,13.0
95,14.0
96,14.0
97,15.0
98,13.0
99,9.0
100,11.0
101,10.0
102,11.0
103,12.0
104,12.0
105,11.0
106,12.0
107,13.0
108,16.0
109,16.0
110,13.0
111,12.0
112,13.0
113,13.0
114,11.0
115,8.0
116,7.0
117,9.0
118,9.0
119,9.0
120,8.0
121,7.0
122,7.0
123,6.0
124,5.0
125,5.0
126,3.0
127,3.0
128,2.0
129,3.0
130,3.0
131,2.0
132,1.0
133,1.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,1.0
142,1.0
143,0.0
144,0.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,0.0
153,1.0
154,1.0
155,1.0
156,2.0
157,2.0
158,2.0
159,2.0
160,1.0
161,1.0
162,2.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.0
212,0.0
213,0.0
214,1.0
215,2.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,1.0
222,0.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,1.0
