,transmission_time,incubation_time,infection_time,disease_state
0,11265,609,10944,State.EXPOSED
1,11436,,11088,State.ASYMPTOMATIC
2,11441,141,11265,State.EXPOSED
3,11786,539,11520,State.EXPOSED
4,11916,409,11520,State.EXPOSED
5,11922,403,11520,State.EXPOSED
6,11940,385,11520,State.EXPOSED
7,11970,1278,11808,State.EXPOSED
8,11976,0,11405,State.MILD
9,12120,1128,11808,State.EXPOSED
10,12127,,11808,State.ASYMPTOMATIC
11,12408,228,12096,State.EXPOSED
12,12424,234,11940,State.EXPOSED
13,12448,0,11941,State.MILD
14,12696,,12408,State.ASYMPTOMATIC
15,12810,853,12384,State.EXPOSED
16,13089,0,12393,State.SEVERE
17,13241,469,12810,State.EXPOSED
18,13284,441,12672,State.EXPOSED
19,13409,190,13104,State.EXPOSED
20,13496,0,12906,State.MILD
21,13596,665,13392,State.EXPOSED
22,13780,0,13460,State.SEVERE
23,13973,841,13824,State.EXPOSED
24,14008,0,13741,State.MILD
25,14034,,13536,State.ASYMPTOMATIC
26,14113,305,13680,State.EXPOSED
27,14283,531,13824,State.EXPOSED
28,15738,837,15264,State.EXPOSED
29,18540,545,18288,State.EXPOSED
30,18816,577,18540,State.EXPOSED
31,18882,,18432,State.ASYMPTOMATIC
32,20026,857,19584,State.EXPOSED
33,20034,849,19584,State.EXPOSED
34,20200,368,20016,State.EXPOSED
35,20580,765,20160,State.EXPOSED
36,21528,27,21168,State.EXPOSED
37,26817,,26496,State.ASYMPTOMATIC
38,33849,290,33696,State.EXPOSED
39,34017,122,33696,State.EXPOSED
