,transmission_time,incubation_time,infection_time,disease_state
0,9492,659,9216,State.EXPOSED
1,9636,515,9216,State.EXPOSED
2,10038,713,9636,State.EXPOSED
3,10494,,10038,State.ASYMPTOMATIC
4,11497,,11088,State.ASYMPTOMATIC
5,12057,0,11566,State.SEVERE
6,12248,0,11608,State.MILD
7,12282,,11952,State.ASYMPTOMATIC
8,12345,210,12096,State.EXPOSED
9,12396,1220,12096,State.EXPOSED
10,12434,279,12096,State.EXPOSED
11,12474,310,12240,State.EXPOSED
12,12492,463,12096,State.EXPOSED
13,12564,234,12384,State.EXPOSED
14,12594,,12240,State.ASYMPTOMATIC
15,12606,427,12240,State.EXPOSED
16,12708,333,12384,State.EXPOSED
17,12712,329,12384,State.EXPOSED
18,12918,463,12528,State.EXPOSED
19,12954,,12528,State.ASYMPTOMATIC
20,13000,258,12672,State.EXPOSED
21,13156,0,12652,State.SEVERE
22,13552,0,12942,State.MILD
23,13576,0,13205,State.MILD
24,13616,0,12942,State.MILD
25,13714,,13392,State.ASYMPTOMATIC
26,13848,339,13392,State.EXPOSED
27,13860,327,13392,State.EXPOSED
28,14016,0,13476,State.SEVERE
29,14826,196,14400,State.EXPOSED
30,15144,0,14570,State.MILD
31,15216,0,14519,State.SEVERE
32,15408,0,14997,State.MILD
33,15720,203,15408,State.EXPOSED
34,16296,1085,16128,State.EXPOSED
35,16308,306,15984,State.EXPOSED
36,21126,151,20736,State.EXPOSED
37,21504,,21312,State.ASYMPTOMATIC
38,21564,612,21126,State.EXPOSED
