,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,2
77,3
78,4
79,6
80,7
81,7
82,8
83,9
84,11
85,13
86,16
87,16
88,17
89,19
90,20
91,21
92,23
93,24
94,24
95,25
96,29
97,32
98,35
99,38
100,40
101,42
102,46
103,50
104,52
105,59
106,63
107,66
108,72
109,75
110,76
111,80
112,84
113,87
114,89
115,91
116,92
117,92
118,92
119,94
120,94
121,96
122,97
123,98
124,98
125,98
126,99
127,99
128,100
129,101
130,101
131,102
132,102
133,102
134,102
135,102
136,102
137,102
138,103
139,103
140,103
141,103
142,103
143,105
144,105
145,107
146,107
147,107
148,107
149,107
150,108
151,108
152,109
153,109
154,110
155,110
156,110
157,110
158,110
159,110
160,110
161,110
162,110
163,110
164,110
165,110
166,110
167,110
168,110
169,110
170,110
171,110
172,110
173,110
174,110
175,110
176,110
177,110
178,110
179,110
180,110
181,110
182,111
183,111
184,112
185,112
186,113
187,114
188,114
189,115
190,115
191,115
192,115
193,116
194,116
195,116
196,116
197,116
198,116
199,116
200,116
201,116
202,116
203,116
204,116
205,117
206,117
207,117
208,117
209,117
210,117
211,117
212,117
213,117
214,117
215,117
216,118
217,118
218,118
219,119
220,120
221,120
222,120
223,120
224,120
225,120
226,120
227,122
228,122
229,123
230,123
231,123
232,123
233,123
234,123
235,123
236,123
237,123
238,123
