,transmission_time,incubation_time,infection_time,disease_state
0,10832,583,10656,State.EXPOSED
1,11000,402,10832,State.EXPOSED
2,11097,318,10656,State.EXPOSED
3,11161,241,10832,State.EXPOSED
4,11196,625,10800,State.EXPOSED
5,11200,202,10832,State.EXPOSED
6,11209,193,10832,State.EXPOSED
7,11233,169,10832,State.EXPOSED
8,11428,257,11161,State.EXPOSED
9,11490,700,11232,State.EXPOSED
10,11490,584,11232,State.EXPOSED
11,11514,406,11209,State.EXPOSED
12,11521,1095,11088,State.EXPOSED
13,11522,1094,11088,State.EXPOSED
14,11532,101,11233,State.EXPOSED
15,11569,116,11161,State.EXPOSED
16,11657,417,11232,State.EXPOSED
17,11676,441,11532,State.EXPOSED
18,11744,823,11521,State.EXPOSED
19,11760,1088,11200,State.EXPOSED
20,11760,807,11521,State.EXPOSED
21,11776,130,11232,State.EXPOSED
22,11784,136,11209,State.EXPOSED
23,11784,783,11521,State.EXPOSED
24,11800,,11569,State.ASYMPTOMATIC
25,11913,627,11520,State.EXPOSED
26,11944,635,11784,State.EXPOSED
27,11944,596,11520,State.EXPOSED
28,11945,1027,11800,State.EXPOSED
29,11946,279,11657,State.EXPOSED
30,11954,271,11657,State.EXPOSED
31,11984,421,11676,State.EXPOSED
32,11986,239,11657,State.EXPOSED
33,12040,,11744,State.ASYMPTOMATIC
34,12050,,11760,State.ASYMPTOMATIC
35,12152,,11760,State.ASYMPTOMATIC
36,12160,47,11819,State.EXPOSED
37,12169,674,11984,State.EXPOSED
38,12192,,12040,State.ASYMPTOMATIC
39,12192,15,11819,State.EXPOSED
40,12200,57,11760,State.EXPOSED
41,12220,542,11945,State.EXPOSED
42,12233,278,11913,State.EXPOSED
43,12242,5,11954,State.EXPOSED
44,12248,161,11944,State.EXPOSED
45,12257,386,11986,State.EXPOSED
46,12266,584,12096,State.EXPOSED
47,12268,494,11945,State.EXPOSED
48,12313,508,12152,State.EXPOSED
49,12320,1014,11808,State.EXPOSED
