,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,2.0
66,2.0
67,2.0
68,4.0
69,4.0
70,4.0
71,8.0
72,6.0
73,6.0
74,12.0
75,10.0
76,10.0
77,20.0
78,16.0
79,16.0
80,29.0
81,23.0
82,23.0
83,46.0
84,36.0
85,37.0
86,56.0
87,43.0
88,43.0
89,61.0
90,38.0
91,38.0
92,51.0
93,32.0
94,32.0
95,43.0
96,25.0
97,25.0
98,36.0
99,22.0
100,22.0
101,28.0
102,17.0
103,17.0
104,22.0
105,11.0
106,11.0
107,20.0
108,14.0
109,14.0
110,17.0
111,12.0
112,12.0
113,17.0
114,8.0
115,8.0
116,11.0
117,8.0
118,8.0
119,10.0
120,5.0
121,5.0
122,5.0
123,2.0
124,2.0
125,2.0
126,0.0
127,0.0
128,2.0
129,2.0
130,2.0
131,3.0
132,3.0
133,3.0
134,5.0
135,3.0
136,3.0
137,3.0
138,2.0
139,2.0
140,2.0
141,0.0
142,0.0
143,1.0
144,1.0
145,1.0
146,2.0
147,2.0
148,2.0
149,2.0
150,1.0
151,1.0
152,2.0
153,1.0
154,1.0
155,2.0
156,2.0
157,2.0
158,3.0
159,2.0
160,2.0
161,2.0
162,1.0
163,1.0
164,1.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,0.0
178,0.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,2.0
216,2.0
217,2.0
218,5.0
219,5.0
220,5.0
221,5.0
222,3.0
223,3.0
224,5.0
225,2.0
226,2.0
227,2.0
228,2.0
229,2.0
230,2.0
231,0.0
232,0.0
233,2.0
234,2.0
235,2.0
236,2.0
237,2.0
238,2.0
