,transmission_time,incubation_time,infection_time,disease_state
0,10152,814,9936,State.EXPOSED
1,10242,608,10080,State.EXPOSED
2,10274,692,9936,State.EXPOSED
3,10442,670,10274,State.EXPOSED
4,10472,139,10152,State.EXPOSED
5,10536,75,10152,State.EXPOSED
6,10562,1016,10442,State.EXPOSED
7,10592,986,10442,State.EXPOSED
8,10617,,10562,State.ASYMPTOMATIC
9,10681,331,10368,State.EXPOSED
10,10704,687,10592,State.EXPOSED
11,10728,850,10442,State.EXPOSED
12,10817,447,10681,State.EXPOSED
13,10849,263,10274,State.EXPOSED
14,10896,495,10592,State.EXPOSED
15,10952,568,10800,State.EXPOSED
16,11064,769,10728,State.EXPOSED
17,11096,295,10592,State.EXPOSED
18,11105,415,10800,State.EXPOSED
19,11113,407,10800,State.EXPOSED
20,11120,135,10817,State.EXPOSED
21,11312,126,10952,State.EXPOSED
22,11329,605,11232,State.EXPOSED
23,11352,582,11232,State.EXPOSED
24,11432,6,10952,State.EXPOSED
25,11475,1175,11329,State.EXPOSED
26,11617,364,11475,State.EXPOSED
27,11641,293,11232,State.EXPOSED
28,11720,703,11352,State.EXPOSED
29,11787,863,11329,State.EXPOSED
30,11832,0,11354,State.SEVERE
31,11868,158,11664,State.EXPOSED
32,11944,970,11617,State.EXPOSED
33,12001,25,11664,State.EXPOSED
34,12017,,11808,State.ASYMPTOMATIC
35,12024,2,11664,State.EXPOSED
36,12073,369,11787,State.EXPOSED
37,12076,392,11664,State.EXPOSED
38,12249,0,11712,State.SEVERE
39,12280,757,12073,State.EXPOSED
40,12281,651,12001,State.EXPOSED
41,12312,725,12073,State.EXPOSED
42,12328,974,12024,State.EXPOSED
43,12329,603,12001,State.EXPOSED
44,12401,487,12240,State.EXPOSED
45,12408,1653,12240,State.EXPOSED
46,12481,821,12024,State.EXPOSED
47,12492,,12240,State.ASYMPTOMATIC
48,12530,646,12401,State.EXPOSED
49,12561,231,12191,State.EXPOSED
50,12562,370,12001,State.EXPOSED
51,12585,207,12191,State.EXPOSED
52,12586,346,12001,State.EXPOSED
53,12604,188,12191,State.EXPOSED
54,12714,,12530,State.ASYMPTOMATIC
55,12817,865,12528,State.EXPOSED
56,12818,864,12528,State.EXPOSED
57,12819,863,12528,State.EXPOSED
58,12840,968,12714,State.EXPOSED
59,12843,333,12401,State.EXPOSED
60,12880,394,12528,State.EXPOSED
61,12897,425,12586,State.EXPOSED
62,12897,341,12585,State.EXPOSED
63,12945,292,12672,State.EXPOSED
64,12954,283,12672,State.EXPOSED
65,12993,,12819,State.ASYMPTOMATIC
66,13008,327,12840,State.EXPOSED
67,13016,1527,12880,State.EXPOSED
68,13057,263,12897,State.EXPOSED
69,13097,334,12897,State.EXPOSED
70,13104,1439,12880,State.EXPOSED
71,13136,998,12817,State.EXPOSED
72,13145,175,12897,State.EXPOSED
73,13160,813,13016,State.EXPOSED
74,13194,880,13008,State.EXPOSED
75,13201,933,12817,State.EXPOSED
76,13216,1327,12880,State.EXPOSED
77,13217,,12819,State.ASYMPTOMATIC
78,13217,253,12960,State.EXPOSED
79,13225,245,12960,State.EXPOSED
80,13250,40,12818,State.EXPOSED
81,13272,643,12993,State.EXPOSED
82,13273,47,12897,State.EXPOSED
83,13301,,12945,State.ASYMPTOMATIC
84,13305,236,12960,State.EXPOSED
85,13306,235,12960,State.EXPOSED
86,13328,721,13104,State.EXPOSED
87,13380,975,13217,State.EXPOSED
88,13385,700,13097,State.EXPOSED
89,13394,,13225,State.ASYMPTOMATIC
90,13464,670,12817,State.EXPOSED
91,13522,415,13306,State.EXPOSED
92,13541,437,13385,State.EXPOSED
93,13568,566,12817,State.EXPOSED
94,13584,553,13464,State.EXPOSED
95,13616,202,13328,State.EXPOSED
96,13638,299,13306,State.EXPOSED
97,13658,279,13306,State.EXPOSED
98,13696,462,13160,State.EXPOSED
99,13708,229,13306,State.EXPOSED
100,13708,270,13385,State.EXPOSED
101,13729,408,13464,State.EXPOSED
102,13744,74,13328,State.EXPOSED
103,13778,320,13541,State.EXPOSED
104,13802,,13638,State.ASYMPTOMATIC
105,13803,295,13541,State.EXPOSED
106,13913,417,13584,State.EXPOSED
107,13971,359,13584,State.EXPOSED
108,13977,432,13729,State.EXPOSED
109,14066,1200,13824,State.EXPOSED
110,14088,1178,13824,State.EXPOSED
111,14121,288,13729,State.EXPOSED
112,14194,396,13968,State.EXPOSED
113,14225,1041,13824,State.EXPOSED
114,14289,394,14066,State.EXPOSED
115,14354,329,14066,State.EXPOSED
116,14381,302,14066,State.EXPOSED
117,14404,,14194,State.ASYMPTOMATIC
118,14473,210,14066,State.EXPOSED
119,14550,733,14289,State.EXPOSED
120,14624,744,14473,State.EXPOSED
121,15280,0,14810,State.MILD
122,15516,329,15120,State.EXPOSED
123,17457,0,16869,State.SEVERE
124,17800,597,17512,State.EXPOSED
125,18276,,18144,State.ASYMPTOMATIC
126,18400,,18144,State.ASYMPTOMATIC
127,18752,405,18400,State.EXPOSED
128,19328,355,19024,State.EXPOSED
129,19352,331,19024,State.EXPOSED
130,19368,315,19024,State.EXPOSED
131,20136,882,19872,State.EXPOSED
132,20282,736,19872,State.EXPOSED
133,20296,981,20136,State.EXPOSED
134,31491,227,31248,State.EXPOSED
135,32281,318,31968,State.EXPOSED
136,32433,756,32281,State.EXPOSED
137,32595,594,32281,State.EXPOSED
138,32696,524,32433,State.EXPOSED
139,32700,520,32433,State.EXPOSED
140,32812,377,32281,State.EXPOSED
141,32904,1250,32696,State.EXPOSED
142,33192,962,32696,State.EXPOSED
