,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,2
76,2
77,3
78,4
79,4
80,7
81,9
82,15
83,18
84,20
85,24
86,27
87,31
88,36
89,43
90,48
91,54
92,62
93,65
94,66
95,69
96,74
97,77
98,88
99,93
100,99
101,108
102,113
103,117
104,118
105,125
106,126
107,130
108,133
109,141
110,143
111,145
112,147
113,148
114,152
115,158
116,162
117,167
118,171
119,173
120,176
121,178
122,180
123,182
124,184
125,184
126,187
127,188
128,188
129,192
130,194
131,194
132,195
133,195
134,196
135,196
136,196
137,196
138,196
139,196
140,196
141,196
142,197
143,198
144,198
145,198
146,198
147,198
148,199
149,199
150,199
151,199
152,199
153,199
154,199
155,200
156,202
157,203
158,203
159,203
160,204
161,204
162,204
163,205
164,206
165,207
166,209
167,209
168,209
169,209
170,209
171,209
172,209
173,209
174,209
175,209
176,209
177,209
178,209
179,209
180,209
181,209
182,209
183,209
184,209
185,209
186,209
187,209
188,209
189,209
190,209
191,209
192,209
193,209
194,209
195,209
196,209
197,209
198,209
199,209
200,209
201,209
202,209
203,209
204,209
205,209
206,209
207,209
208,209
209,209
210,209
211,209
212,209
213,209
214,209
215,209
216,209
217,209
218,209
219,209
220,209
221,209
222,209
223,209
224,209
225,209
226,209
227,209
228,209
229,209
230,209
231,209
232,210
233,210
234,210
235,210
236,211
237,211
238,211
