,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,8,8,0,0,76.05555555555556,1,56,70.0,1,0,6,0
1,28,11,0,1,90.26388888888889,1,143,81.6875,11,0,7,10
2,38,13,0,0,70.88888888888889,1,162,66.66666666666667,14,1,8,15
3,29,11,0,1,95.59722222222223,1,101,90.1875,11,0,7,6
4,37,19,0,7,117.51388888888889,1,74,114.0,2,0,7,6
5,25,7,1,2,131.89583333333334,1,95,128.68055555555554,21,0,6,15
6,31,8,1,0,71.64583333333333,1,128,63.0,19,1,6,7
7,29,12,0,4,102.35416666666667,1,216,94.0,5,0,5,0
8,13,7,0,4,87.96527777777777,1,123,85.0,6,0,4,0
9,7,7,0,0,76.02083333333333,1,1,67.0,7,0,6,0
10,28,11,0,0,99.0,1,41,95.0,24,0,7,7
11,44,21,2,2,132.88888888888889,1,154,128.00694444444446,10,1,10,14
12,27,11,1,0,95.70833333333333,1,89,89.0,10,0,8,13
13,32,9,0,0,98.57638888888889,1,203,94.19444444444444,10,0,5,8
14,32,11,0,0,154.9375,1,213,149.16666666666666,11,0,4,11
15,6,6,0,0,188.30555555555554,1,78,185.0,1,0,4,0
16,28,8,0,7,116.18055555555556,1,11,110.0,16,0,2,11
17,30,11,1,0,128.33333333333334,1,35,124.0,23,0,5,12
18,26,11,1,0,91.125,1,166,86.0,16,0,5,14
19,11,5,0,2,115.25,1,169,110.0,8,0,1,0
20,32,8,0,0,90.25,1,12,87.0,13,0,6,8
21,26,9,0,3,93.48611111111111,1,13,87.0,6,0,7,3
22,4,4,0,0,79.875,1,111,76.0,8,0,3,0
23,3,2,0,1,81.0,1,119,77.0,3,0,1,0
24,53,23,1,0,75.29861111111111,1,189,71.0,11,1,11,18
25,27,12,0,4,95.6875,1,32,90.0,17,0,9,8
26,27,11,0,0,133.00694444444446,1,79,126.29166666666667,23,1,7,4
27,22,10,0,1,90.88888888888889,1,1628,88.0,28,0,3,11
28,15,7,0,4,128.55555555555554,1,1129,123.0,2,0,4,0
29,28,11,0,0,95.17361111111111,1,1187,92.0,28,1,4,13
30,39,20,0,0,87.61805555555556,1,1671,84.0,27,0,4,12
31,6,3,0,3,84.16666666666667,1,1505,79.16666666666667,4,1,2,0
32,19,10,1,0,96.56944444444444,1,1612,91.0,9,1,5,3
33,25,9,0,2,131.89583333333334,1,1162,127.89583333333333,21,1,4,3
34,47,19,0,1,86.50694444444444,1,1276,79.0,13,1,6,20
35,25,11,0,7,94.24305555555556,1,1574,88.0,24,0,4,11
36,16,9,0,4,85.59027777777777,1,1658,82.0,5,2,6,0
37,31,12,0,1,97.22222222222223,1,1586,90.73611111111111,9,0,7,2
38,10,4,0,0,76.75,1,1331,71.0,8,0,4,0
39,17,10,0,3,86.65277777777777,1,1616,85.0,1,0,6,0
40,11,3,0,0,77.09027777777777,1,1204,72.0,9,1,4,1
41,29,13,1,0,97.70833333333333,1,1633,90.0,14,0,7,8
42,27,10,0,0,111.28472222222223,1,1386,107.83333333333333,16,1,9,7
43,29,9,0,0,74.31944444444444,1,1646,69.39583333333333,19,1,4,6
44,20,6,0,13,102.89583333333333,1,1516,97.0,3,0,5,0
45,35,18,3,1,132.88194444444446,1,1293,124.0,23,0,5,7
46,27,7,0,0,108.5,1,1198,106.0,19,0,6,8
47,28,9,0,0,73.65277777777777,1,1551,71.0,23,0,6,8
48,36,16,0,0,215.4375,1,1347,212.0,10,0,5,9
49,12,7,0,5,89.79166666666667,1,1403,81.0,2,0,6,0
50,27,10,0,0,110.09027777777777,1,1537,106.0,26,1,5,9
51,28,15,0,0,81.93055555555556,1,1665,77.0,15,0,6,12
52,24,10,0,1,82.74305555555556,1,1252,78.0,5,3,6,0
53,16,6,0,10,94.75,1,1572,90.0,5,0,4,0
54,36,18,0,0,120.03472222222223,1,1090,113.0,23,0,5,10
55,39,16,0,0,74.97222222222223,1,1251,71.0,27,0,8,14
56,8,7,0,0,114.29166666666667,1,1008,111.0,7,0,7,0
57,8,8,0,0,162.64583333333334,1,1596,152.0,1,0,3,0
58,18,6,0,0,85.55555555555556,1,1059,80.0,9,0,4,4
59,26,9,0,0,89.84722222222223,1,1018,84.0,13,0,5,3
60,14,6,0,0,94.75,1,1110,89.0,9,0,4,2
61,29,11,0,0,113.34722222222223,1,1491,108.0,26,1,7,9
62,23,10,0,13,103.03472222222223,1,1363,99.0,1,0,6,0
63,16,9,0,4,94.48611111111111,1,1508,85.0,8,0,5,0
64,10,2,0,3,86.90972222222223,1,1232,82.375,5,2,2,0
65,24,12,1,1,83.11805555555556,1,1142,81.0,5,1,3,0
66,17,3,0,13,103.05555555555556,1,1554,96.0,1,0,2,0
67,18,6,0,8,95.86111111111111,1,1137,91.0,1,0,3,0
68,9,4,0,2,100.53472222222223,1,1044,94.0,5,0,3,0
69,45,15,0,0,229.32638888888889,1,1451,226.0,25,0,9,19
70,9,5,1,4,87.09722222222223,1,1267,79.0,1,0,4,0
71,6,6,0,0,69.31944444444444,1,1337,61.0,3,0,5,0
72,5,5,0,0,177.39583333333334,1,1486,171.0,5,0,3,0
73,28,9,0,0,111.63194444444444,1,1480,104.88888888888889,16,1,4,2
74,27,9,0,1,93.55555555555556,1,1322,87.5,11,0,6,10
75,50,17,0,0,69.93055555555556,1,1367,64.0,28,1,10,17
76,25,14,0,0,111.57638888888889,1,1357,103.0,25,0,6,11
77,29,10,0,1,88.61805555555556,1,1630,85.0,23,0,8,6
78,13,9,0,4,90.58333333333333,1,1013,88.22222222222223,7,0,5,0
79,35,17,0,0,102.27777777777777,1,1102,98.0,13,0,5,11
80,18,6,0,0,79.63888888888889,1,1456,75.83333333333333,9,1,5,2
81,17,8,0,5,96.47222222222223,1,1524,90.0,8,0,6,0
82,39,15,0,4,98.20833333333333,1,1148,89.0,12,0,6,10
83,26,10,0,0,63.298611111111114,1,1268,61.0,26,0,4,8
84,7,5,0,2,85.46527777777777,1,1099,78.0,3,0,5,0
85,28,8,0,0,77.5625,1,1544,74.5,11,1,4,9
86,32,12,0,0,109.40277777777777,1,1383,103.0,10,0,5,13
87,8,8,0,0,70.8125,1,1004,65.0,6,0,6,0
88,28,11,1,0,101.19444444444444,1,1298,94.41666666666667,17,0,6,8
89,26,11,0,0,110.75694444444444,1,1015,105.75,20,1,6,6
90,39,19,2,0,106.72916666666667,1,1533,99.0,26,0,6,14
91,16,5,0,8,98.11111111111111,1,1593,88.0,4,0,4,0
92,41,19,1,0,94.38194444444444,1,1608,87.0,15,0,7,9
93,6,6,0,0,224.21527777777777,1,1151,220.0,4,0,4,0
94,22,6,0,1,116.58333333333333,1,1685,109.0,2,0,4,3
95,12,9,1,3,79.18055555555556,1,1553,76.0,4,0,6,0
