,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,2
78,4
79,4
80,4
81,5
82,5
83,6
84,6
85,7
86,7
87,10
88,10
89,11
90,11
91,11
92,11
93,11
94,11
95,12
96,12
97,14
98,14
99,16
100,17
101,17
102,18
103,20
104,21
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,24
113,26
114,26
115,26
116,27
117,28
118,28
119,28
120,28
121,28
122,28
123,28
124,30
125,30
126,30
127,30
128,30
129,30
130,30
131,30
132,30
133,30
134,30
135,30
136,31
137,31
138,31
139,31
140,31
141,31
142,31
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,31
171,31
172,31
173,31
174,31
175,31
176,31
177,31
178,31
179,31
180,31
181,31
182,31
183,31
184,31
185,31
186,31
187,31
188,31
189,31
190,31
191,31
192,31
193,31
194,31
195,31
196,31
197,31
198,31
199,31
200,31
201,31
202,31
203,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
212,31
213,31
214,31
215,31
216,31
217,31
218,31
219,32
220,32
221,33
222,33
223,33
224,34
225,34
226,34
227,34
228,34
229,34
230,34
231,34
232,34
233,34
234,34
235,34
236,34
237,34
238,34
