,transmission_time,incubation_time,infection_time,disease_state
0,9324,2,8928,State.EXPOSED
1,9865,,9648,State.ASYMPTOMATIC
2,9992,780,9792,State.EXPOSED
3,10002,133,9504,State.EXPOSED
4,10017,118,9504,State.EXPOSED
5,10144,626,9992,State.EXPOSED
6,10609,1245,10368,State.EXPOSED
7,10852,434,10656,State.EXPOSED
8,10875,132,10512,State.EXPOSED
9,10882,,10656,State.ASYMPTOMATIC
10,10923,149,10609,State.EXPOSED
11,10994,13,10512,State.EXPOSED
12,11505,,11376,State.ASYMPTOMATIC
13,11520,,10994,State.MILD
14,11546,,11232,State.ASYMPTOMATIC
15,11658,509,11376,State.EXPOSED
16,11666,632,11546,State.EXPOSED
17,11810,423,11505,State.EXPOSED
18,12036,,11520,State.ASYMPTOMATIC
19,12096,968,11808,State.EXPOSED
20,12114,597,11666,State.EXPOSED
21,12186,284,11808,State.EXPOSED
22,12240,0,11643,State.MILD
23,12241,632,12096,State.EXPOSED
24,12305,25,11664,State.EXPOSED
25,12444,86,12036,State.EXPOSED
26,12448,,12096,State.ASYMPTOMATIC
27,12497,656,12240,State.EXPOSED
28,12578,513,12241,State.EXPOSED
29,12593,668,12384,State.EXPOSED
30,12609,652,12384,State.EXPOSED
31,12696,177,12096,State.EXPOSED
32,12728,,12096,State.ASYMPTOMATIC
33,12802,,12528,State.ASYMPTOMATIC
34,12816,260,12448,State.EXPOSED
35,12881,,12305,State.MILD
36,12945,285,12528,State.EXPOSED
37,13009,394,12728,State.EXPOSED
38,13040,363,12728,State.EXPOSED
39,13080,,12528,State.ASYMPTOMATIC
40,13096,307,12728,State.EXPOSED
41,13152,721,13009,State.EXPOSED
42,13161,458,13040,State.EXPOSED
43,13256,0,12825,State.MILD
44,13329,937,13161,State.EXPOSED
45,13377,889,13161,State.EXPOSED
46,13408,,13248,State.ASYMPTOMATIC
47,13408,397,13152,State.EXPOSED
48,13490,776,13161,State.EXPOSED
49,13512,35,13080,State.EXPOSED
50,13520,49,13188,State.EXPOSED
51,13568,1,13188,State.EXPOSED
52,13616,546,13329,State.EXPOSED
53,13632,824,13408,State.EXPOSED
54,13689,767,13408,State.EXPOSED
55,13803,137,13490,State.EXPOSED
56,14129,227,13680,State.EXPOSED
57,14136,,13520,State.ASYMPTOMATIC
58,14160,344,13824,State.EXPOSED
59,14448,607,14400,State.EXPOSED
60,14513,,14256,State.ASYMPTOMATIC
61,14526,536,14400,State.EXPOSED
62,14650,405,14400,State.EXPOSED
63,14814,241,14400,State.EXPOSED
64,14848,165,14448,State.EXPOSED
65,14914,,14688,State.ASYMPTOMATIC
66,14921,,14688,State.ASYMPTOMATIC
67,15099,630,14921,State.EXPOSED
68,15120,,14976,State.ASYMPTOMATIC
69,15169,,14688,State.ASYMPTOMATIC
70,15257,472,14921,State.EXPOSED
71,15426,,14976,State.ASYMPTOMATIC
72,15480,,14914,State.MILD
73,15690,556,15257,State.EXPOSED
74,15696,,15426,State.ASYMPTOMATIC
75,15792,885,15696,State.EXPOSED
76,16088,589,15696,State.EXPOSED
77,16098,579,15696,State.EXPOSED
78,16120,557,15696,State.EXPOSED
79,16230,447,15696,State.EXPOSED
80,16512,924,16098,State.EXPOSED
81,17017,494,16416,State.EXPOSED
82,17259,704,17017,State.EXPOSED
83,17260,696,16992,State.EXPOSED
84,17417,688,17260,State.EXPOSED
85,17523,433,16992,State.EXPOSED
86,17609,1193,17424,State.EXPOSED
87,17657,306,17017,State.EXPOSED
88,17817,1043,17609,State.EXPOSED
89,17931,929,17609,State.EXPOSED
90,17955,905,17609,State.EXPOSED
91,18001,859,17609,State.EXPOSED
92,18017,785,17424,State.EXPOSED
93,18288,,18001,State.ASYMPTOMATIC
94,18353,594,18017,State.EXPOSED
95,18363,223,17931,State.EXPOSED
96,18529,61,18000,State.EXPOSED
97,19320,609,19008,State.EXPOSED
98,19440,489,19008,State.EXPOSED
99,19513,514,19320,State.EXPOSED
100,19634,393,19320,State.EXPOSED
101,19896,131,19320,State.EXPOSED
102,20328,,19896,State.ASYMPTOMATIC
103,21650,,21600,State.ASYMPTOMATIC
104,21729,497,21650,State.EXPOSED
105,21944,282,21650,State.EXPOSED
106,22056,170,21650,State.EXPOSED
107,22168,700,21729,State.EXPOSED
108,26441,,26208,State.ASYMPTOMATIC
109,26904,204,26441,State.EXPOSED
110,26954,154,26441,State.EXPOSED
111,27056,410,26904,State.EXPOSED
112,27201,265,26904,State.EXPOSED
113,27305,161,26904,State.EXPOSED
114,31360,76,30816,State.EXPOSED
115,31424,641,31360,State.EXPOSED
116,31828,86,31392,State.EXPOSED
117,33521,783,33264,State.EXPOSED
118,33529,775,33264,State.EXPOSED
119,33540,764,33264,State.EXPOSED
120,33913,,33521,State.ASYMPTOMATIC
