,susceptible,exposed,mild,severe,recovered,asymptomatic
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.03,0.0,0.0,0.0,0.0
63,0.0,0.06,0.0,0.0,0.0,0.04
64,0.0,0.11,0.0,0.0,0.0,0.07
65,0.0,0.19,0.0,0.0,0.0,0.08
66,0.0,0.27,0.0,0.0,0.0,0.08
67,0.0,0.28,0.01,0.01,0.0,0.13
68,0.0,0.37,0.0,0.01,0.0,0.16
69,0.0,0.43,0.03,0.02,0.0,0.16
70,0.0,0.45,0.03,0.03,0.0,0.2
71,0.0,0.7,0.07,0.03,0.0,0.22
72,0.0,0.71,0.12,0.03,0.0,0.2
73,0.0,0.91,0.17,0.04,0.0,0.2
74,0.0,0.99,0.21,0.06,0.0,0.21
75,0.0,1.18,0.2,0.06,0.0,0.28
76,0.0,1.39,0.24,0.07,0.0,0.33
77,0.0,1.6,0.32,0.1,0.01,0.37
78,0.0,1.9,0.37,0.13,0.01,0.47
79,0.0,2.14,0.42,0.13,0.02,0.5
80,0.0,2.39,0.58,0.15,0.02,0.64
81,0.0,2.47,0.73,0.2,0.02,0.67
82,0.0,2.73,0.79,0.24,0.04,0.81
83,0.0,2.57,0.88,0.3,0.05,0.94
84,0.0,2.77,0.96,0.38,0.11,1.03
85,0.0,3.08,0.91,0.42,0.13,1.05
86,0.0,3.19,0.98,0.46,0.1,1.07
87,0.0,3.31,0.92,0.52,0.12,1.2
88,0.0,3.39,0.89,0.59,0.11,1.27
89,0.0,3.44,0.95,0.67,0.15,1.31
90,0.0,3.56,1.07,0.73,0.11,1.29
91,0.0,3.66,1.19,0.8,0.15,1.26
92,0.0,3.52,1.24,0.8,0.24,1.25
93,0.0,3.72,1.17,0.84,0.16,1.31
94,0.0,3.8,1.18,0.93,0.2,1.42
