,Num_contacts,num_contacts_traced,num_positive_contacts,num_sympt_patients_traced,contact_tracing_time,tracing_round,hcw_id,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,hcws_put_on_ppe,patients_put_in_isolation
0,28,17,0,0,71.36805555555556,1,1523,67.0,10,0,0,0
1,3,3,0,0,73.45138888888889,1,1658,66.0,1,0,0,0
2,27,14,0,0,73.47916666666667,1,1488,70.0,6,0,0,0
3,19,9,0,0,74.22916666666667,1,165,71.0,9,0,0,0
4,6,6,0,0,76.52777777777777,1,1203,71.0,5,0,0,0
5,7,7,0,0,77.77777777777777,1,195,71.0,4,0,0,0
6,26,19,2,0,78.30555555555556,1,1583,74.0,19,0,0,0
7,31,21,2,0,78.3125,1,29,77.0,28,1,0,0
8,18,11,0,0,78.3125,1,1172,76.0,9,1,0,0
9,16,6,0,0,79.51388888888889,1,1194,76.0,9,0,0,0
10,29,17,4,0,80.30555555555556,1,100,76.0,10,0,0,0
11,28,14,1,0,81.625,1,1190,78.0,19,0,0,0
12,18,8,0,1,82.52777777777777,1,1349,78.0,3,0,0,0
13,26,12,0,0,82.86111111111111,1,1637,77.0,17,0,0,0
14,27,17,2,0,83.76388888888889,1,1426,81.0,16,0,0,0
15,23,14,1,0,83.82638888888889,1,1512,82.0,15,0,0,0
16,28,16,2,0,85.09722222222223,1,1050,77.0,18,0,0,0
17,26,17,1,0,86.0,1,1525,81.0,20,0,0,0
18,32,13,1,0,86.5,1,1074,83.0,12,0,0,0
19,43,24,1,0,86.5,1,1171,84.0,10,1,0,0
20,28,17,1,1,86.60416666666667,1,1390,79.04166666666667,23,0,0,0
21,12,11,2,3,86.90972222222223,1,1039,82.0,6,0,0,0
22,47,35,0,0,86.9375,1,1077,83.0,14,0,0,0
23,10,8,0,2,87.80555555555556,1,1289,84.0,8,0,0,0
24,30,17,4,0,88.125,1,1385,83.5,15,0,0,0
25,44,25,2,0,88.13194444444444,1,1344,83.0,15,1,0,0
26,30,19,4,0,88.22916666666667,1,1015,85.61111111111111,10,0,0,0
27,34,22,4,0,88.23611111111111,1,189,86.50694444444444,10,1,0,0
28,45,31,5,0,88.23611111111111,1,1472,81.34027777777777,10,1,0,0
29,28,16,1,0,88.24305555555556,1,60,84.33333333333333,18,1,0,0
30,11,8,1,4,88.30555555555556,1,1278,85.38888888888889,8,0,0,0
31,10,8,0,3,88.5625,1,1397,82.0,5,0,0,0
32,27,17,2,0,88.57638888888889,1,1235,85.0,19,0,0,0
33,20,13,0,0,88.94444444444444,1,1094,84.0,9,0,0,0
34,13,9,2,1,89.02777777777777,1,172,83.0,6,0,0,0
35,17,14,1,7,90.15972222222223,1,1100,87.08333333333333,5,0,0,0
36,10,10,0,4,90.875,1,1357,86.0,2,0,0,0
37,49,27,4,0,91.59027777777777,1,1619,88.11111111111111,10,0,0,0
38,29,17,3,2,91.6875,1,1350,79.0,6,0,0,0
39,20,15,2,3,91.78472222222223,1,1177,87.0,7,0,0,0
40,26,12,1,0,91.84027777777777,1,1313,85.0,2,0,0,0
41,19,19,1,9,92.20833333333333,1,1128,85.0,3,0,0,0
42,23,20,1,4,92.20833333333333,1,1579,88.875,10,1,0,0
43,15,15,2,10,92.34722222222223,1,1614,87.5625,3,0,0,0
44,10,10,0,6,92.35416666666667,1,1507,91.0,3,1,0,0
45,14,9,2,2,92.59722222222223,1,67,89.0,7,0,0,0
46,13,13,0,5,92.77083333333333,1,1367,88.0,2,0,0,0
47,30,17,2,1,92.96527777777777,1,44,86.0,19,0,0,0
48,42,25,2,0,92.96527777777777,1,1654,89.16666666666667,19,1,0,0
49,34,20,1,8,93.99305555555556,1,1093,87.84027777777777,3,0,0,0
50,14,11,1,4,94.11805555555556,1,1257,89.11111111111111,8,0,0,0
51,16,12,0,4,94.11805555555556,1,1480,90.0,8,1,0,0
52,15,7,0,0,94.3125,1,1537,88.0,9,0,0,0
53,15,15,0,14,94.52777777777777,1,39,89.18055555555556,3,0,0,0
54,53,35,4,1,94.55555555555556,1,1625,90.0,18,0,0,0
55,16,15,0,12,95.35416666666667,1,1661,90.29166666666667,3,0,0,0
56,21,20,0,14,96.95138888888889,1,122,90.36111111111111,3,0,0,0
57,14,12,0,8,97.28472222222223,1,1460,89.0,1,0,0,0
58,19,16,1,4,97.47916666666667,1,1528,92.61111111111111,8,0,0,0
59,32,14,0,0,98.625,1,1270,94.0,11,0,0,0
60,14,13,0,10,98.73611111111111,1,1541,96.0,1,0,0,0
61,30,16,0,0,99.47222222222223,1,1685,95.0,10,0,0,0
62,17,17,0,13,99.65972222222223,1,1662,88.0,4,0,0,0
63,29,17,1,0,99.83333333333333,1,214,93.0,19,0,0,0
64,16,12,0,2,99.96527777777777,1,1346,95.0,8,0,0,0
65,16,16,0,12,100.125,1,1193,94.0,4,0,0,0
66,15,5,0,0,100.36805555555556,1,1697,94.0,9,0,0,0
67,12,12,1,7,104.01388888888889,1,1628,95.0,2,0,0,0
68,13,11,1,4,104.69444444444444,1,1597,101.0,5,0,0,0
69,32,17,0,6,105.40972222222223,1,1713,97.0,2,0,0,0
70,26,16,0,4,105.91666666666667,1,1595,98.0,5,0,0,0
71,29,22,0,9,106.20833333333333,1,34,102.0,1,0,0,0
72,28,15,0,2,108.52777777777777,1,1413,105.0,11,0,0,0
73,27,16,0,0,109.5625,1,149,99.0,26,0,0,0
74,26,14,0,1,110.38194444444444,1,1078,105.0,8,0,0,0
75,17,12,0,6,113.20833333333333,1,1143,105.0,2,0,0,0
76,30,12,0,0,115.09027777777777,1,1075,114.0,14,0,0,0
77,18,13,0,5,117.11805555555556,1,1183,110.0,2,0,0,0
78,26,16,0,0,117.95138888888889,1,1339,115.0,16,0,0,0
79,28,15,4,0,121.375,1,65,114.0,10,0,0,0
80,27,14,2,0,121.375,1,1699,117.29166666666667,11,2,0,0
81,26,15,2,0,121.375,1,1418,121.22222222222223,10,2,0,0
82,6,6,1,0,123.26388888888889,1,212,116.0,5,0,0,0
83,8,8,0,0,123.26388888888889,1,1656,118.20833333333333,5,1,0,0
84,31,13,0,0,123.42361111111111,1,1249,112.0,14,0,0,0
85,7,7,0,0,124.19444444444444,1,147,120.0,5,0,0,0
86,5,5,0,0,126.13194444444444,1,1558,122.0,7,0,0,0
87,26,13,2,0,126.22916666666667,1,1054,117.0,5,0,0,0
88,20,14,0,2,127.04166666666667,1,1139,121.44444444444444,7,0,0,0
89,25,14,1,1,128.48611111111111,1,1311,120.67361111111111,22,0,0,0
90,7,5,0,0,140.61111111111111,1,1230,135.0,1,0,0,0
91,24,11,0,0,143.22222222222223,1,101,132.375,5,0,0,0
92,8,7,0,0,144.34027777777777,1,1388,142.0,7,0,0,0
93,26,13,0,0,144.58333333333334,1,1719,139.0,16,0,0,0
94,38,19,2,0,144.94444444444446,1,1358,140.0,1,0,0,0
95,29,13,1,0,146.25,1,1080,142.0,10,0,0,0
96,9,9,0,0,146.52083333333334,1,1111,145.0,1,0,0,0
97,34,21,4,0,147.34722222222223,1,28,141.1875,27,0,0,0
98,25,15,3,0,151.52083333333334,1,51,146.0,27,0,0,0
99,41,30,1,0,151.52083333333334,1,1596,145.84027777777777,10,1,0,0
100,27,18,0,0,189.84722222222223,1,72,185.0,13,0,0,0
101,41,23,2,0,191.38194444444446,1,1416,188.16666666666666,13,0,0,0
102,31,14,0,1,195.33333333333334,1,1131,188.61111111111111,13,0,0,0
103,9,9,0,1,195.92361111111111,1,1519,193.22222222222223,6,0,0,0
104,8,8,0,0,206.20138888888889,1,1664,204.0,7,0,0,0
105,26,17,0,0,208.5,1,1243,205.0,26,0,0,0
106,8,8,0,1,222.90972222222223,1,1168,218.0,1,0,0,0
107,5,5,0,0,223.03472222222223,1,1120,218.0,7,0,0,0
108,29,17,0,0,226.40277777777777,1,1653,223.0,20,0,0,0
109,6,6,0,0,228.47222222222223,1,136,223.0,2,0,0,0
110,30,13,1,0,230.34027777777777,1,1501,227.0,25,0,0,0
111,16,9,0,0,233.90277777777777,1,1196,231.0,1,0,0,0
112,12,12,0,0,234.52777777777777,1,1491,232.0,3,0,0,0
