,transmission_time,incubation_time,infection_time,disease_state
0,9360,1018,8928,State.EXPOSED
1,10491,589,10224,State.EXPOSED
2,10674,279,10368,State.EXPOSED
3,10818,193,10674,State.EXPOSED
4,10874,437,10656,State.EXPOSED
5,11072,453,10944,State.EXPOSED
6,11184,789,11072,State.EXPOSED
7,11225,300,10944,State.EXPOSED
8,11280,162,10656,State.EXPOSED
9,11304,669,11072,State.EXPOSED
10,11334,,10944,State.ASYMPTOMATIC
11,11353,172,10944,State.EXPOSED
12,11424,549,11072,State.EXPOSED
13,11425,,10944,State.ASYMPTOMATIC
14,11434,491,10944,State.EXPOSED
15,11648,403,11520,State.EXPOSED
16,11657,588,11520,State.EXPOSED
17,11689,,11232,State.ASYMPTOMATIC
18,11713,,11376,State.ASYMPTOMATIC
19,11716,889,11425,State.EXPOSED
20,11738,192,11304,State.EXPOSED
21,11769,282,11520,State.EXPOSED
22,11800,445,11520,State.EXPOSED
23,11824,940,11648,State.EXPOSED
24,11865,740,11425,State.EXPOSED
25,11881,49,11304,State.EXPOSED
26,12002,366,11808,State.EXPOSED
27,12028,,11689,State.ASYMPTOMATIC
28,12049,263,11520,State.EXPOSED
29,12153,775,11952,State.EXPOSED
30,12264,105,11824,State.EXPOSED
31,12320,608,11952,State.EXPOSED
32,12362,0,11820,State.SEVERE
33,12376,831,12264,State.EXPOSED
34,12456,30,12153,State.EXPOSED
35,12464,0,11946,State.MILD
36,12544,419,12320,State.EXPOSED
37,12576,127,12240,State.EXPOSED
38,12592,160,12456,State.EXPOSED
39,12616,,12153,State.MILD
40,12689,352,12544,State.EXPOSED
41,12702,183,12384,State.EXPOSED
42,13000,41,12544,State.EXPOSED
43,13184,889,13000,State.EXPOSED
44,13298,299,12816,State.EXPOSED
45,13446,151,12816,State.EXPOSED
46,13563,18,13298,State.EXPOSED
47,13609,1243,13536,State.EXPOSED
48,13644,576,13536,State.EXPOSED
49,13656,564,13536,State.EXPOSED
50,13761,1540,13680,State.EXPOSED
51,13866,845,13761,State.EXPOSED
52,13912,940,13536,State.EXPOSED
53,14009,97,13609,State.EXPOSED
54,14032,175,13912,State.EXPOSED
55,14033,819,13536,State.EXPOSED
56,14064,143,13912,State.EXPOSED
57,14096,111,13912,State.EXPOSED
58,14137,71,13866,State.EXPOSED
59,14160,47,13912,State.EXPOSED
60,14168,457,14032,State.EXPOSED
61,14234,1108,14064,State.EXPOSED
62,14360,982,14064,State.EXPOSED
63,14440,450,14256,State.EXPOSED
64,14528,814,14064,State.EXPOSED
65,14577,1337,14033,State.EXPOSED
66,14673,448,14544,State.EXPOSED
67,14696,,14360,State.ASYMPTOMATIC
68,14706,184,14256,State.EXPOSED
69,14720,700,14440,State.EXPOSED
70,15129,0,14806,State.SEVERE
71,15153,,14577,State.ASYMPTOMATIC
72,15161,47,14696,State.EXPOSED
73,15304,951,15153,State.EXPOSED
74,15416,653,15304,State.EXPOSED
75,15440,87,14976,State.EXPOSED
76,15512,673,15408,State.EXPOSED
77,15560,509,15304,State.EXPOSED
78,15577,492,15304,State.EXPOSED
79,15672,392,15440,State.EXPOSED
80,15746,550,15512,State.EXPOSED
81,15816,480,15512,State.EXPOSED
82,15832,353,15408,State.EXPOSED
83,15985,84,15304,State.EXPOSED
84,16248,666,15672,State.EXPOSED
85,16248,771,16128,State.EXPOSED
86,16465,107,15984,State.EXPOSED
87,16481,91,15984,State.EXPOSED
88,16658,361,16128,State.EXPOSED
89,17800,150,17280,State.EXPOSED
90,18792,0,18383,State.SEVERE
91,19848,,19440,State.ASYMPTOMATIC
92,20142,678,19848,State.EXPOSED
93,20153,667,19848,State.EXPOSED
94,20432,388,19848,State.EXPOSED
95,20530,39,20153,State.EXPOSED
96,21048,1232,20880,State.EXPOSED
97,21218,433,20530,State.EXPOSED
98,21322,958,20880,State.EXPOSED
99,21437,707,21218,State.EXPOSED
100,21483,661,21218,State.EXPOSED
101,21545,1297,21048,State.EXPOSED
102,21721,229,21437,State.EXPOSED
103,21938,,21600,State.ASYMPTOMATIC
104,31049,454,30672,State.EXPOSED
105,31776,,31392,State.ASYMPTOMATIC
106,32296,383,31968,State.EXPOSED
107,32536,514,32296,State.EXPOSED
