,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,1.0
64,1.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,2.0
71,2.0
72,0.0
73,1.0
74,1.0
75,1.0
76,2.0
77,3.0
78,4.0
79,5.0
80,6.0
81,9.0
82,11.0
83,11.0
84,14.0
85,15.0
86,16.0
87,19.0
88,24.0
89,25.0
90,29.0
91,26.0
92,28.0
93,29.0
94,30.0
95,23.0
96,21.0
97,19.0
98,22.0
99,21.0
100,23.0
101,18.0
102,18.0
103,18.0
104,17.0
105,14.0
106,15.0
107,13.0
108,13.0
109,16.0
110,16.0
111,15.0
112,15.0
113,13.0
114,11.0
115,16.0
116,14.0
117,14.0
118,14.0
119,13.0
120,12.0
121,12.0
122,6.0
123,6.0
124,7.0
125,7.0
126,7.0
127,6.0
128,5.0
129,5.0
130,4.0
131,3.0
132,3.0
133,3.0
134,3.0
135,4.0
136,4.0
137,3.0
138,2.0
139,1.0
140,2.0
141,3.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,3.0
148,2.0
149,2.0
150,2.0
151,2.0
152,2.0
153,2.0
154,0.0
155,0.0
156,0.0
157,1.0
158,1.0
159,3.0
160,3.0
161,3.0
162,3.0
163,6.0
164,5.0
165,5.0
166,3.0
167,3.0
168,3.0
169,4.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,1.0
191,1.0
192,2.0
193,2.0
194,2.0
195,2.0
196,2.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,1.0
214,2.0
215,2.0
216,2.0
217,2.0
218,2.0
219,2.0
220,1.0
221,0.0
222,0.0
223,0.0
224,1.0
225,2.0
226,2.0
227,2.0
228,2.0
229,2.0
230,2.0
231,1.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
