,transmission_time,incubation_time,infection_time,disease_state
0,9890,812,9648,State.EXPOSED
1,10512,961,10224,State.EXPOSED
2,10683,790,10224,State.EXPOSED
3,10824,,10512,State.ASYMPTOMATIC
4,10841,1305,10512,State.EXPOSED
5,10944,607,10656,State.EXPOSED
6,10977,472,10683,State.EXPOSED
7,10993,456,10683,State.EXPOSED
8,11024,691,10824,State.EXPOSED
9,11097,1049,10512,State.EXPOSED
10,11104,611,10824,State.EXPOSED
11,11176,388,10944,State.EXPOSED
12,11256,459,10824,State.EXPOSED
13,11310,412,10993,State.EXPOSED
14,11320,244,10944,State.EXPOSED
15,11329,235,10944,State.EXPOSED
16,11377,343,11104,State.EXPOSED
17,11378,689,11088,State.EXPOSED
18,11393,547,11256,State.EXPOSED
19,11410,310,11104,State.EXPOSED
20,11412,655,11088,State.EXPOSED
21,11450,,11024,State.ASYMPTOMATIC
22,11530,537,11088,State.EXPOSED
23,11552,515,11088,State.EXPOSED
24,11592,669,11320,State.EXPOSED
25,11592,130,10993,State.EXPOSED
26,11601,450,11393,State.EXPOSED
27,11671,450,11450,State.EXPOSED
28,11673,850,11520,State.EXPOSED
29,11676,264,11256,State.EXPOSED
30,11697,354,11393,State.EXPOSED
31,11697,243,11256,State.EXPOSED
32,11720,421,11232,State.EXPOSED
33,11729,322,11393,State.EXPOSED
34,11761,354,11530,State.EXPOSED
35,11763,,11376,State.ASYMPTOMATIC
36,11776,631,11376,State.EXPOSED
37,11776,306,11552,State.EXPOSED
38,11792,889,11592,State.EXPOSED
39,11793,258,11393,State.EXPOSED
40,11810,241,11393,State.EXPOSED
41,11931,344,11329,State.EXPOSED
42,11936,,11720,State.ASYMPTOMATIC
43,11957,222,11671,State.EXPOSED
44,11970,553,11520,State.EXPOSED
45,11992,161,11592,State.EXPOSED
46,12025,90,11530,State.EXPOSED
47,12041,74,11530,State.EXPOSED
48,12108,71,11671,State.EXPOSED
49,12113,,11992,State.ASYMPTOMATIC
50,12114,409,11520,State.EXPOSED
51,12160,1668,12041,State.EXPOSED
52,12177,0,11530,State.SEVERE
53,12193,,11761,State.ASYMPTOMATIC
54,12216,,11664,State.ASYMPTOMATIC
55,12225,79,11776,State.EXPOSED
56,12249,,12108,State.ASYMPTOMATIC
57,12291,424,11952,State.EXPOSED
58,12316,399,11952,State.EXPOSED
59,12352,,11936,State.ASYMPTOMATIC
60,12387,765,12216,State.EXPOSED
61,12387,392,12113,State.EXPOSED
62,12392,,12096,State.ASYMPTOMATIC
63,12435,,12240,State.ASYMPTOMATIC
64,12480,,12160,State.ASYMPTOMATIC
65,12504,535,12392,State.EXPOSED
66,12513,864,12249,State.EXPOSED
67,12514,536,12114,State.EXPOSED
68,12536,772,12291,State.EXPOSED
69,12553,,12096,State.ASYMPTOMATIC
70,12553,135,12193,State.EXPOSED
71,12560,219,12113,State.EXPOSED
72,12625,154,12113,State.EXPOSED
73,12656,383,12392,State.EXPOSED
74,12696,515,12387,State.EXPOSED
75,12696,,12160,State.ASYMPTOMATIC
76,12708,650,12553,State.EXPOSED
77,12714,94,12177,State.EXPOSED
78,12745,680,12384,State.EXPOSED
79,12769,886,12352,State.EXPOSED
80,12777,358,12504,State.EXPOSED
81,12777,,12316,State.ASYMPTOMATIC
82,12840,518,12553,State.EXPOSED
83,12840,657,12696,State.EXPOSED
84,12842,493,12714,State.EXPOSED
85,12844,543,12387,State.EXPOSED
86,12872,223,12672,State.EXPOSED
87,12893,,12240,State.ASYMPTOMATIC
88,12912,223,12504,State.EXPOSED
89,12938,568,12777,State.EXPOSED
90,13032,465,12696,State.EXPOSED
91,13034,459,12840,State.EXPOSED
92,13057,509,12816,State.EXPOSED
93,13060,393,12842,State.EXPOSED
94,13137,198,12714,State.EXPOSED
95,13145,1017,12938,State.EXPOSED
96,13145,338,12840,State.EXPOSED
97,13194,305,13032,State.EXPOSED
98,13216,851,12745,State.EXPOSED
99,13224,0,12719,State.MILD
100,13249,913,12938,State.EXPOSED
101,13296,0,12700,State.MILD
102,13297,479,13034,State.EXPOSED
103,13312,278,13194,State.EXPOSED
104,13353,1083,13137,State.EXPOSED
105,13449,141,13194,State.EXPOSED
106,13467,286,13145,State.EXPOSED
107,13497,939,13137,State.EXPOSED
108,13544,249,13249,State.EXPOSED
109,13569,867,13137,State.EXPOSED
110,13636,800,13137,State.EXPOSED
111,13688,478,13544,State.EXPOSED
112,13952,214,13544,State.EXPOSED
113,14178,410,13968,State.EXPOSED
114,14188,400,13968,State.EXPOSED
115,14475,664,14112,State.EXPOSED
116,14609,,14178,State.ASYMPTOMATIC
117,14616,523,14112,State.EXPOSED
118,14624,,14178,State.ASYMPTOMATIC
119,14633,,14178,State.ASYMPTOMATIC
120,14760,0,14095,State.MILD
121,14928,,14616,State.ASYMPTOMATIC
122,14955,585,14400,State.EXPOSED
123,14985,139,14688,State.EXPOSED
124,15008,116,14688,State.EXPOSED
125,15122,2,14688,State.EXPOSED
126,15136,0,14757,State.MILD
127,15193,807,14955,State.EXPOSED
128,15217,307,14976,State.EXPOSED
129,15298,281,14985,State.EXPOSED
130,15360,164,14976,State.EXPOSED
131,15362,162,14976,State.EXPOSED
132,15409,,15298,State.ASYMPTOMATIC
133,15553,927,15409,State.EXPOSED
134,15744,736,15409,State.EXPOSED
135,15848,632,15409,State.EXPOSED
136,16193,527,15744,State.EXPOSED
137,16282,390,15848,State.EXPOSED
138,16635,364,16193,State.EXPOSED
139,16768,809,16416,State.EXPOSED
140,17024,472,16848,State.EXPOSED
141,17120,341,16768,State.EXPOSED
142,17152,309,16768,State.EXPOSED
143,17233,711,16848,State.EXPOSED
144,17240,704,16848,State.EXPOSED
145,17328,1162,17240,State.EXPOSED
146,17328,,17024,State.ASYMPTOMATIC
147,17624,,17024,State.ASYMPTOMATIC
148,17776,262,17328,State.EXPOSED
149,18160,453,18000,State.EXPOSED
150,18568,595,18160,State.EXPOSED
151,22576,0,21947,State.MILD
152,32089,437,31680,State.EXPOSED
153,32357,637,32089,State.EXPOSED
