,transmission_time,incubation_time,infection_time,disease_state
0,10380,1064,9936,State.EXPOSED
1,10614,929,10368,State.EXPOSED
2,11081,1072,10800,State.EXPOSED
3,11118,185,10800,State.EXPOSED
4,11418,91,11088,State.EXPOSED
5,11696,694,11418,State.EXPOSED
6,11772,307,11376,State.EXPOSED
7,11790,896,11520,State.EXPOSED
8,11850,667,11664,State.EXPOSED
9,11929,770,11520,State.EXPOSED
10,11976,541,11664,State.EXPOSED
11,12080,305,11790,State.EXPOSED
12,12209,828,11808,State.EXPOSED
13,12984,179,12528,State.EXPOSED
14,13088,0,12600,State.MILD
15,13785,,13248,State.ASYMPTOMATIC
16,13830,261,13536,State.EXPOSED
17,13938,0,13358,State.SEVERE
18,13998,1354,13680,State.EXPOSED
19,14250,551,13824,State.EXPOSED
20,15185,343,14832,State.EXPOSED
21,16369,1047,15984,State.EXPOSED
22,16512,,16128,State.ASYMPTOMATIC
23,17761,737,17424,State.EXPOSED
24,24468,,24048,State.ASYMPTOMATIC
