,Daily_absent_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,2.0
76,2.0
77,3.0
78,4.0
79,4.0
80,6.0
81,9.0
82,9.0
83,10.0
84,12.0
85,14.0
86,17.0
87,16.0
88,17.0
89,20.0
90,21.0
91,23.0
92,22.0
93,22.0
94,22.0
95,24.0
96,23.0
97,26.0
98,21.0
99,19.0
100,17.0
101,19.0
102,14.0
103,12.0
104,9.0
105,11.0
106,15.0
107,21.0
108,28.0
109,31.0
110,33.0
111,34.0
112,35.0
113,36.0
114,29.0
115,19.0
116,17.0
117,16.0
118,14.0
119,12.0
120,7.0
121,6.0
122,6.0
123,6.0
124,4.0
125,3.0
126,2.0
127,2.0
128,2.0
129,2.0
130,0.0
131,0.0
132,0.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,0.0
141,2.0
142,2.0
143,2.0
144,3.0
145,3.0
146,3.0
147,3.0
148,1.0
149,2.0
150,2.0
151,1.0
152,1.0
153,1.0
154,1.0
155,2.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,2.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,1.0
200,1.0
201,1.0
202,1.0
203,2.0
204,2.0
205,3.0
206,2.0
207,5.0
208,5.0
209,5.0
210,4.0
211,5.0
212,8.0
213,8.0
214,6.0
215,7.0
216,7.0
217,7.0
218,6.0
219,2.0
220,2.0
221,2.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,0.0
236,0.0
237,1.0
238,1.0
