,transmission_time,incubation_time,infection_time,disease_state
0,10480,70,10080,State.EXPOSED
1,10497,53,10080,State.EXPOSED
2,10720,,10368,State.ASYMPTOMATIC
3,10777,717,10497,State.EXPOSED
4,10785,709,10497,State.EXPOSED
5,10801,888,10656,State.EXPOSED
6,10816,,10480,State.ASYMPTOMATIC
7,10970,524,10497,State.EXPOSED
8,10977,,10816,State.ASYMPTOMATIC
9,11064,595,10777,State.EXPOSED
10,11065,594,10777,State.EXPOSED
11,11105,584,10656,State.EXPOSED
12,11233,489,10970,State.EXPOSED
13,11331,1210,11105,State.EXPOSED
14,11361,1180,11105,State.EXPOSED
15,11388,301,10656,State.EXPOSED
16,11406,316,10970,State.EXPOSED
17,11442,517,11088,State.EXPOSED
18,11498,823,11232,State.EXPOSED
19,11545,,11498,State.ASYMPTOMATIC
20,11568,694,11376,State.EXPOSED
21,11592,367,11088,State.EXPOSED
22,11592,670,11376,State.EXPOSED
23,11745,517,11376,State.EXPOSED
24,11752,1056,11520,State.EXPOSED
25,11753,,11498,State.ASYMPTOMATIC
26,11835,454,11406,State.EXPOSED
27,11872,146,11568,State.EXPOSED
28,11905,113,11568,State.EXPOSED
29,11953,336,11406,State.EXPOSED
30,11954,412,11808,State.EXPOSED
31,11984,668,11664,State.EXPOSED
32,12001,861,11952,State.EXPOSED
33,12012,912,11753,State.EXPOSED
34,12025,373,11835,State.EXPOSED
35,12026,782,11520,State.EXPOSED
36,12040,525,11232,State.EXPOSED
37,12066,,11664,State.ASYMPTOMATIC
38,12073,322,11905,State.EXPOSED
39,12120,735,11752,State.EXPOSED
40,12120,1007,11808,State.EXPOSED
41,12194,204,11835,State.EXPOSED
42,12228,167,11905,State.EXPOSED
43,12240,887,11808,State.EXPOSED
44,12248,903,11952,State.EXPOSED
45,12256,331,11953,State.EXPOSED
46,12272,879,11952,State.EXPOSED
47,12306,556,11952,State.EXPOSED
48,12312,695,11952,State.EXPOSED
49,12336,,12040,State.ASYMPTOMATIC
50,12360,721,12248,State.EXPOSED
51,12363,32,11905,State.EXPOSED
52,12413,618,11952,State.EXPOSED
53,12457,550,11952,State.EXPOSED
54,12464,784,12272,State.EXPOSED
55,12466,,12413,State.ASYMPTOMATIC
56,12528,553,12248,State.EXPOSED
57,12537,173,12240,State.EXPOSED
58,12552,35,11953,State.EXPOSED
59,12553,801,12256,State.EXPOSED
60,12594,122,12240,State.EXPOSED
61,12656,227,12312,State.EXPOSED
62,12656,425,12248,State.EXPOSED
63,12664,219,12312,State.EXPOSED
64,12712,642,12256,State.EXPOSED
65,12747,456,12537,State.EXPOSED
66,12761,195,12464,State.EXPOSED
67,12780,1170,12194,State.EXPOSED
68,12795,53,12336,State.EXPOSED
69,12896,,12528,State.ASYMPTOMATIC
70,12897,,12528,State.ASYMPTOMATIC
71,12920,652,12664,State.EXPOSED
72,12954,812,12656,State.EXPOSED
73,12962,209,12552,State.EXPOSED
74,13001,678,12761,State.EXPOSED
75,13041,1119,12795,State.EXPOSED
76,13066,700,12656,State.EXPOSED
77,13128,1065,12896,State.EXPOSED
78,13131,1029,12795,State.EXPOSED
79,13145,,12816,State.ASYMPTOMATIC
80,13161,518,12761,State.EXPOSED
81,13169,510,12761,State.EXPOSED
82,13264,929,12896,State.EXPOSED
83,13290,870,12795,State.EXPOSED
84,13301,,12747,State.ASYMPTOMATIC
85,13352,994,12960,State.EXPOSED
86,13416,110,13131,State.EXPOSED
87,13425,,12816,State.ASYMPTOMATIC
88,13428,,13001,State.ASYMPTOMATIC
89,13433,,13001,State.ASYMPTOMATIC
90,13481,617,13301,State.EXPOSED
91,13545,,13128,State.ASYMPTOMATIC
92,13578,,13128,State.ASYMPTOMATIC
93,13585,400,13161,State.EXPOSED
94,13589,509,13301,State.EXPOSED
95,13596,389,13161,State.EXPOSED
96,13616,692,13169,State.EXPOSED
97,13689,793,13428,State.EXPOSED
98,13777,321,13301,State.EXPOSED
99,13832,,13425,State.ASYMPTOMATIC
100,13848,574,13416,State.EXPOSED
101,14064,285,13777,State.EXPOSED
102,14092,417,13824,State.EXPOSED
103,14240,109,13777,State.EXPOSED
104,14265,,13832,State.ASYMPTOMATIC
105,14377,750,14240,State.EXPOSED
106,14388,,14112,State.ASYMPTOMATIC
107,14418,131,13968,State.EXPOSED
108,14536,591,14240,State.EXPOSED
109,14552,1098,14256,State.EXPOSED
110,14595,708,14256,State.EXPOSED
111,14616,687,14256,State.EXPOSED
112,14617,510,14240,State.EXPOSED
113,14665,,14544,State.ASYMPTOMATIC
114,14689,961,14256,State.EXPOSED
115,14697,374,14595,State.EXPOSED
