,transmission_time,incubation_time,infection_time,disease_state
0,9336,,9216,State.ASYMPTOMATIC
1,10232,1081,9936,State.EXPOSED
2,10632,335,10224,State.EXPOSED
3,10816,400,10632,State.EXPOSED
4,11088,,10816,State.ASYMPTOMATIC
5,11240,454,11088,State.EXPOSED
6,11393,301,11088,State.EXPOSED
7,11520,,11088,State.ASYMPTOMATIC
8,11536,158,11088,State.EXPOSED
9,11568,,11520,State.ASYMPTOMATIC
10,11571,762,11393,State.EXPOSED
11,11619,714,11393,State.EXPOSED
12,11765,568,11393,State.EXPOSED
13,11832,480,11520,State.EXPOSED
14,11836,497,11393,State.EXPOSED
15,11873,984,11664,State.EXPOSED
16,11920,484,11536,State.EXPOSED
17,11960,352,11520,State.EXPOSED
18,11977,356,11393,State.EXPOSED
19,12009,,11520,State.ASYMPTOMATIC
20,12024,0,11494,State.SEVERE
21,12057,,11873,State.ASYMPTOMATIC
22,12072,420,11808,State.EXPOSED
23,12122,701,11952,State.EXPOSED
24,12248,442,11832,State.EXPOSED
25,12257,433,11832,State.EXPOSED
26,12264,559,11952,State.EXPOSED
27,12336,1246,12096,State.EXPOSED
28,12336,256,11952,State.EXPOSED
29,12360,497,11664,State.EXPOSED
30,12378,463,11952,State.EXPOSED
31,12388,435,11952,State.EXPOSED
32,12480,112,11952,State.EXPOSED
33,12497,561,12240,State.EXPOSED
34,12529,576,12009,State.EXPOSED
35,12577,485,12248,State.EXPOSED
36,12577,528,12009,State.EXPOSED
37,12640,422,12248,State.EXPOSED
38,12648,556,12240,State.EXPOSED
39,12648,414,12248,State.EXPOSED
40,12650,773,12257,State.EXPOSED
41,12666,392,12240,State.EXPOSED
42,12666,,12378,State.ASYMPTOMATIC
43,12672,939,12384,State.EXPOSED
44,12698,365,12240,State.EXPOSED
45,12769,,12378,State.ASYMPTOMATIC
46,12770,434,12240,State.EXPOSED
47,12785,469,12480,State.EXPOSED
48,12786,169,12528,State.EXPOSED
49,12793,411,12240,State.EXPOSED
50,12801,261,12248,State.EXPOSED
51,12817,329,12497,State.EXPOSED
52,12834,,12529,State.ASYMPTOMATIC
53,12876,856,12577,State.EXPOSED
54,12906,436,12793,State.EXPOSED
55,12913,375,12650,State.EXPOSED
56,12914,374,12650,State.EXPOSED
57,12930,324,12480,State.EXPOSED
58,13088,452,12816,State.EXPOSED
59,13114,226,12834,State.EXPOSED
60,13120,352,12838,State.EXPOSED
61,13164,958,12906,State.EXPOSED
62,13176,,12666,State.MILD
63,13177,945,12906,State.EXPOSED
64,13177,368,12914,State.EXPOSED
65,13194,146,12834,State.EXPOSED
66,13212,70,12960,State.EXPOSED
67,13216,520,12930,State.EXPOSED
68,13227,318,12914,State.EXPOSED
69,13241,245,12801,State.EXPOSED
70,13250,255,12913,State.EXPOSED
71,13336,1093,13164,State.EXPOSED
72,13353,383,12930,State.EXPOSED
73,13409,532,13216,State.EXPOSED
74,13448,981,13164,State.EXPOSED
75,13458,971,13164,State.EXPOSED
76,13465,964,13164,State.EXPOSED
77,13466,963,13164,State.EXPOSED
78,13481,948,13164,State.EXPOSED
79,13504,610,13336,State.EXPOSED
80,13537,404,13216,State.EXPOSED
81,13569,412,13409,State.EXPOSED
82,13616,169,13448,State.EXPOSED
83,13626,1059,13248,State.EXPOSED
84,13656,285,13216,State.EXPOSED
85,13681,660,13481,State.EXPOSED
86,13682,,13537,State.ASYMPTOMATIC
87,13785,556,13481,State.EXPOSED
88,13805,13,13248,State.EXPOSED
89,13812,,13392,State.ASYMPTOMATIC
90,13832,325,13681,State.EXPOSED
91,13848,266,13336,State.EXPOSED
92,13865,292,13681,State.EXPOSED
93,13896,,13616,State.ASYMPTOMATIC
94,13901,554,13458,State.EXPOSED
95,14017,,13616,State.ASYMPTOMATIC
96,14057,,13616,State.ASYMPTOMATIC
97,14088,402,13682,State.EXPOSED
98,14117,523,13848,State.EXPOSED
99,14178,213,13968,State.EXPOSED
100,14248,11,13785,State.EXPOSED
101,14310,81,13968,State.EXPOSED
102,14353,693,13865,State.EXPOSED
103,14368,678,13865,State.EXPOSED
