,transmission_time,incubation_time,infection_time,disease_state
0,10758,,10512,State.ASYMPTOMATIC
1,11069,921,10800,State.EXPOSED
2,11163,6,10800,State.EXPOSED
3,11377,910,11163,State.EXPOSED
4,11427,1078,11376,State.EXPOSED
5,11513,774,11163,State.EXPOSED
6,11521,255,11376,State.EXPOSED
7,11571,934,11376,State.EXPOSED
8,11593,694,11163,State.EXPOSED
9,11648,839,11427,State.EXPOSED
10,11745,825,11571,State.EXPOSED
11,11833,737,11571,State.EXPOSED
12,11956,614,11571,State.EXPOSED
13,12033,454,11427,State.EXPOSED
14,12129,358,11427,State.EXPOSED
15,12408,307,12129,State.EXPOSED
16,12414,181,12096,State.EXPOSED
17,12424,291,12129,State.EXPOSED
18,12426,169,12096,State.EXPOSED
19,12488,450,12240,State.EXPOSED
20,12560,0,12150,State.MILD
21,12678,871,12528,State.EXPOSED
22,12696,524,12528,State.EXPOSED
23,12744,229,12528,State.EXPOSED
24,12810,667,12672,State.EXPOSED
25,12840,53,12672,State.EXPOSED
26,12881,92,12528,State.EXPOSED
27,12992,878,12840,State.EXPOSED
28,13024,846,12840,State.EXPOSED
29,13080,615,12488,State.EXPOSED
30,13156,804,12881,State.EXPOSED
31,13209,,12810,State.ASYMPTOMATIC
32,13278,414,12960,State.EXPOSED
33,13282,28,12960,State.EXPOSED
34,13289,21,12960,State.EXPOSED
35,13321,785,13156,State.EXPOSED
36,13329,676,13024,State.EXPOSED
37,13337,668,13024,State.EXPOSED
38,13418,,12810,State.ASYMPTOMATIC
39,13633,605,13289,State.EXPOSED
40,13816,707,13633,State.EXPOSED
41,14235,647,13954,State.EXPOSED
42,14592,0,14022,State.SEVERE
43,14905,826,14688,State.EXPOSED
44,14932,922,14905,State.EXPOSED
45,15218,906,15120,State.EXPOSED
46,15337,517,14905,State.EXPOSED
47,17552,,17280,State.ASYMPTOMATIC
48,17704,,17280,State.ASYMPTOMATIC
49,17904,381,17552,State.EXPOSED
50,17920,365,17552,State.EXPOSED
51,17968,317,17552,State.EXPOSED
52,18105,1095,17968,State.EXPOSED
53,20570,674,20304,State.EXPOSED
54,26272,666,26064,State.EXPOSED
