,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
1,218.0,0.0,0.0,0.0,0.0,0.0,0.0
2,229.0,0.0,0.0,0.0,0.0,0.0,0.0
3,234.0,0.0,0.0,0.0,0.0,0.0,0.0
4,247.0,0.0,0.0,0.0,0.0,0.0,0.0
5,243.0,0.0,0.0,0.0,0.0,0.0,0.0
6,242.0,0.0,0.0,0.0,0.0,0.0,0.0
7,240.0,0.0,0.0,0.0,0.0,0.0,0.0
8,242.0,0.0,0.0,0.0,0.0,0.0,0.0
9,235.0,0.0,0.0,0.0,0.0,0.0,0.0
10,244.0,0.0,0.0,0.0,0.0,0.0,0.0
11,248.0,0.0,0.0,0.0,0.0,0.0,0.0
12,243.0,0.0,0.0,0.0,0.0,0.0,0.0
13,247.0,0.0,0.0,0.0,0.0,0.0,0.0
14,235.0,0.0,0.0,0.0,0.0,0.0,0.0
15,251.0,0.0,0.0,0.0,0.0,0.0,0.0
16,256.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260.0,0.0,0.0,0.0,0.0,0.0,0.0
18,258.0,0.0,0.0,0.0,0.0,0.0,0.0
19,263.0,0.0,0.0,0.0,0.0,0.0,0.0
20,260.0,0.0,0.0,0.0,0.0,0.0,0.0
21,246.0,0.0,0.0,0.0,0.0,0.0,0.0
22,235.0,0.0,0.0,0.0,0.0,0.0,0.0
23,227.0,0.0,0.0,0.0,0.0,0.0,0.0
24,233.0,0.0,0.0,0.0,0.0,0.0,0.0
25,235.0,0.0,0.0,0.0,0.0,0.0,0.0
26,246.0,0.0,0.0,0.0,0.0,0.0,0.0
27,246.0,0.0,0.0,0.0,0.0,0.0,0.0
28,248.0,0.0,0.0,0.0,0.0,0.0,0.0
29,241.0,0.0,0.0,0.0,0.0,0.0,0.0
30,248.0,0.0,0.0,0.0,0.0,0.0,0.0
31,240.0,0.0,0.0,0.0,0.0,0.0,0.0
32,217.0,0.0,0.0,0.0,0.0,0.0,0.0
33,237.0,0.0,0.0,0.0,0.0,0.0,0.0
34,241.0,0.0,0.0,0.0,0.0,0.0,0.0
35,250.0,0.0,0.0,0.0,0.0,0.0,0.0
36,242.0,0.0,0.0,0.0,0.0,0.0,0.0
37,248.0,0.0,0.0,0.0,0.0,0.0,0.0
38,247.0,0.0,0.0,0.0,0.0,0.0,0.0
39,225.0,0.0,0.0,0.0,0.0,0.0,0.0
40,226.0,0.0,0.0,0.0,0.0,0.0,0.0
41,233.0,0.0,0.0,0.0,0.0,0.0,0.0
42,250.0,0.0,0.0,0.0,0.0,0.0,0.0
43,240.0,0.0,0.0,0.0,0.0,0.0,0.0
44,232.0,0.0,0.0,0.0,0.0,0.0,0.0
45,230.0,0.0,0.0,0.0,0.0,0.0,0.0
46,236.0,0.0,0.0,0.0,0.0,0.0,0.0
47,229.0,0.0,0.0,0.0,0.0,0.0,0.0
48,225.0,0.0,0.0,0.0,0.0,0.0,0.0
49,224.0,0.0,0.0,0.0,0.0,0.0,0.0
50,226.0,0.0,0.0,0.0,0.0,0.0,0.0
51,241.0,0.0,0.0,0.0,0.0,0.0,0.0
52,243.0,0.0,0.0,0.0,0.0,0.0,0.0
53,253.0,0.0,0.0,0.0,0.0,0.0,0.0
54,249.0,0.0,0.0,0.0,0.0,0.0,0.0
55,247.0,0.0,0.0,0.0,0.0,0.0,0.0
56,239.0,0.0,0.0,0.0,0.0,0.0,0.0
57,224.0,0.0,0.0,0.0,0.0,0.0,0.0
58,220.0,0.0,0.0,0.0,0.0,0.0,0.0
59,231.0,0.0,0.0,0.0,1.0,0.0,0.0
60,227.0,0.0,0.0,0.0,1.0,0.0,0.0
61,231.0,0.0,0.0,0.0,1.0,0.0,0.0
62,233.0,0.0,0.0,0.0,1.0,0.0,0.0
63,234.0,0.0,0.0,0.0,1.0,0.0,0.0
64,236.0,0.0,0.0,0.0,1.0,0.0,0.0
65,235.0,0.0,0.0,0.0,1.0,0.0,0.0
66,231.0,0.0,0.0,0.0,1.0,0.0,0.0
67,236.0,0.0,0.0,0.0,1.0,0.0,0.0
68,237.0,0.0,0.0,0.0,1.0,0.0,0.0
69,235.0,0.0,0.0,0.0,1.0,0.0,0.0
70,228.0,0.0,0.0,0.0,1.0,0.0,0.0
71,223.0,0.0,0.0,0.0,1.0,0.0,0.0
72,235.0,0.0,0.0,0.0,1.0,0.0,0.0
73,237.0,1.0,0.0,0.0,1.0,0.0,0.0
74,243.0,3.0,0.0,0.0,1.0,0.0,0.0
75,244.0,3.0,0.0,0.0,1.0,0.0,0.0
76,257.0,3.0,0.0,0.0,1.0,0.0,0.0
77,243.0,4.0,3.0,0.0,3.0,0.0,0.0
78,226.0,4.0,3.0,0.0,4.0,0.0,0.0
79,246.0,4.0,4.0,0.0,7.0,0.0,0.0
80,230.0,2.0,7.0,0.0,8.0,0.0,0.0
81,227.0,1.0,4.0,0.0,11.0,0.0,0.0
82,225.0,1.0,6.0,0.0,13.0,0.0,0.0
83,236.0,2.0,10.0,0.0,15.0,0.0,0.0
84,237.0,4.0,11.0,0.0,17.0,0.0,0.0
85,233.0,4.0,13.0,0.0,19.0,0.0,0.0
86,235.0,5.0,17.0,0.0,20.0,0.0,0.0
87,234.0,8.0,18.0,0.0,25.0,1.0,0.0
88,236.0,8.0,19.0,0.0,28.0,1.0,0.0
89,236.0,10.0,22.0,0.0,35.0,2.0,2.0
90,218.0,10.0,20.0,0.0,36.0,3.0,3.0
91,216.0,10.0,21.0,0.0,39.0,4.0,2.0
92,204.0,7.0,25.0,0.0,46.0,5.0,2.0
93,193.0,5.0,29.0,0.0,45.0,6.0,2.0
94,202.0,7.0,30.0,0.0,49.0,7.0,3.0
95,208.0,7.0,26.0,0.0,50.0,8.0,3.0
96,225.0,6.0,22.0,0.0,49.0,7.0,3.0
97,223.0,8.0,20.0,0.0,50.0,8.0,1.0
98,210.0,6.0,19.0,0.0,48.0,6.0,1.0
99,222.0,5.0,21.0,0.0,51.0,6.0,1.0
100,227.0,5.0,18.0,0.0,50.0,9.0,2.0
101,220.0,4.0,15.0,0.0,48.0,11.0,2.0
102,232.0,4.0,11.0,0.0,47.0,8.0,1.0
103,228.0,4.0,9.0,0.0,47.0,6.0,1.0
104,229.0,4.0,9.0,0.0,51.0,6.0,1.0
105,219.0,2.0,10.0,0.0,49.0,6.0,1.0
106,219.0,0.0,11.0,0.0,48.0,8.0,1.0
107,216.0,1.0,11.0,0.0,46.0,8.0,1.0
108,223.0,1.0,9.0,0.0,44.0,9.0,1.0
109,222.0,1.0,7.0,0.0,42.0,10.0,1.0
110,233.0,1.0,4.0,0.0,40.0,10.0,1.0
111,242.0,1.0,4.0,0.0,40.0,10.0,1.0
112,231.0,0.0,3.0,0.0,37.0,9.0,1.0
113,225.0,0.0,2.0,0.0,34.0,8.0,1.0
114,217.0,1.0,2.0,0.0,33.0,6.0,1.0
115,231.0,1.0,2.0,0.0,31.0,6.0,1.0
116,230.0,1.0,3.0,0.0,27.0,5.0,1.0
117,230.0,1.0,4.0,0.0,23.0,8.0,1.0
118,235.0,2.0,5.0,0.0,21.0,9.0,0.0
119,230.0,2.0,5.0,0.0,22.0,9.0,0.0
120,237.0,0.0,3.0,0.0,19.0,11.0,0.0
121,251.0,0.0,3.0,0.0,19.0,11.0,0.0
122,251.0,0.0,2.0,0.0,15.0,13.0,0.0
123,261.0,0.0,1.0,0.0,14.0,13.0,0.0
124,256.0,0.0,0.0,0.0,14.0,12.0,0.0
125,256.0,0.0,0.0,0.0,14.0,11.0,0.0
126,255.0,0.0,0.0,0.0,14.0,9.0,0.0
127,250.0,0.0,0.0,0.0,11.0,9.0,0.0
128,238.0,0.0,0.0,0.0,11.0,7.0,0.0
129,239.0,0.0,0.0,0.0,9.0,9.0,0.0
130,251.0,1.0,0.0,0.0,9.0,8.0,0.0
131,245.0,1.0,0.0,0.0,9.0,8.0,0.0
132,248.0,2.0,0.0,0.0,9.0,8.0,0.0
133,234.0,2.0,0.0,0.0,8.0,8.0,0.0
134,245.0,4.0,0.0,0.0,8.0,8.0,0.0
135,260.0,4.0,0.0,0.0,7.0,9.0,0.0
136,240.0,3.0,0.0,0.0,6.0,9.0,0.0
137,243.0,2.0,1.0,0.0,7.0,8.0,0.0
138,230.0,1.0,2.0,0.0,7.0,8.0,0.0
139,247.0,1.0,2.0,0.0,6.0,9.0,0.0
140,249.0,2.0,2.0,0.0,6.0,9.0,0.0
141,247.0,2.0,1.0,0.0,5.0,7.0,0.0
142,247.0,3.0,1.0,0.0,4.0,7.0,0.0
143,245.0,3.0,1.0,0.0,4.0,7.0,0.0
144,237.0,2.0,1.0,0.0,4.0,7.0,0.0
145,225.0,3.0,0.0,0.0,4.0,7.0,0.0
146,231.0,3.0,1.0,0.0,4.0,7.0,0.0
147,242.0,3.0,1.0,0.0,4.0,7.0,0.0
148,238.0,2.0,2.0,0.0,5.0,7.0,0.0
149,228.0,2.0,2.0,0.0,4.0,7.0,0.0
150,225.0,2.0,1.0,0.0,4.0,6.0,0.0
151,234.0,0.0,1.0,0.0,4.0,6.0,0.0
152,241.0,0.0,1.0,0.0,3.0,6.0,0.0
153,246.0,0.0,1.0,0.0,3.0,6.0,0.0
154,250.0,0.0,0.0,0.0,3.0,6.0,0.0
155,244.0,0.0,1.0,0.0,3.0,5.0,0.0
156,249.0,0.0,1.0,0.0,3.0,5.0,0.0
157,235.0,0.0,1.0,0.0,3.0,5.0,0.0
158,228.0,0.0,1.0,0.0,2.0,5.0,0.0
159,236.0,0.0,0.0,0.0,2.0,5.0,0.0
160,240.0,0.0,0.0,0.0,2.0,5.0,0.0
161,241.0,0.0,0.0,0.0,2.0,5.0,0.0
162,254.0,0.0,0.0,0.0,2.0,5.0,0.0
163,259.0,0.0,0.0,0.0,2.0,5.0,0.0
164,254.0,0.0,0.0,0.0,2.0,4.0,0.0
165,244.0,0.0,0.0,0.0,2.0,4.0,0.0
166,249.0,0.0,0.0,0.0,1.0,4.0,0.0
167,237.0,0.0,0.0,0.0,0.0,4.0,0.0
168,226.0,0.0,0.0,0.0,0.0,4.0,0.0
169,227.0,0.0,0.0,0.0,0.0,4.0,0.0
170,226.0,0.0,0.0,0.0,0.0,4.0,0.0
171,231.0,0.0,0.0,0.0,0.0,4.0,0.0
172,231.0,0.0,0.0,0.0,0.0,4.0,0.0
173,241.0,0.0,0.0,0.0,0.0,4.0,0.0
174,245.0,0.0,0.0,0.0,0.0,4.0,0.0
175,236.0,0.0,0.0,0.0,0.0,4.0,0.0
176,246.0,0.0,0.0,0.0,0.0,4.0,0.0
177,251.0,0.0,0.0,0.0,0.0,4.0,0.0
178,255.0,0.0,0.0,0.0,0.0,4.0,0.0
179,244.0,0.0,0.0,0.0,0.0,4.0,0.0
180,235.0,0.0,0.0,0.0,0.0,4.0,0.0
181,231.0,0.0,0.0,0.0,0.0,4.0,0.0
182,236.0,0.0,0.0,0.0,0.0,4.0,0.0
183,219.0,0.0,0.0,0.0,0.0,4.0,0.0
184,227.0,0.0,0.0,0.0,0.0,4.0,0.0
185,229.0,0.0,0.0,0.0,0.0,4.0,0.0
186,229.0,0.0,0.0,0.0,0.0,4.0,0.0
187,231.0,0.0,0.0,0.0,0.0,4.0,0.0
188,230.0,0.0,0.0,0.0,0.0,4.0,0.0
189,218.0,0.0,0.0,0.0,0.0,4.0,0.0
190,206.0,0.0,0.0,0.0,0.0,4.0,0.0
191,215.0,0.0,0.0,0.0,0.0,4.0,0.0
192,222.0,0.0,0.0,0.0,0.0,4.0,0.0
