,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,0,,0,0
2,0,,0,0
3,,0,0,0
4,0,,0,0
5,3,,0,3
6,0,,0,0
7,0,,0,0
8,0,,0,0
9,0,,0,0
10,0,,0,0
11,5,,0,5
12,0,,0,0
13,,0,0,0
14,0,,0,0
15,,0,0,0
16,,0,0,0
17,0,,0,0
18,0,,0,0
19,1,,0,1
20,0,,0,0
21,,0,0,0
22,0,,0,0
23,2,,0,2
24,0,,0,0
25,0,,0,0
26,1,,0,1
27,0,,0,0
28,0,,0,0
29,2,,0,2
30,0,,0,0
31,0,,0,0
32,0,,0,0
33,0,,0,0
34,0,,0,0
35,0,,0,0
36,0,,0,0
37,1,,0,1
38,0,,0,0
39,0,,0,0
40,0,,0,0
41,0,,0,0
42,0,,0,0
43,0,,0,0
44,0,,0,0
45,0,,0,0
46,4,,0,4
47,2,,0,2
48,0,,0,0
49,0,,0,0
50,0,,0,0
51,0,,0,0
52,0,,0,0
53,0,,0,0
54,0,,0,0
55,3,,0,3
56,0,,0,0
57,0,,0,0
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,,1,0,1
63,1,,0,1
64,1,,0,1
65,1,,0,1
66,0,,0,0
67,0,,0,0
68,0,,0,0
69,0,,0,0
70,0,,0,0
71,0,,0,0
72,0,,0,0
73,,1,0,1
74,0,,0,0
75,0,,0,0
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,0,,0,0
80,0,,0,0
81,0,,0,0
82,,0,0,0
83,1,,0,1
84,0,,0,0
85,0,,0,0
86,1,,0,1
87,0,,0,0
88,0,,0,0
89,3,,0,3
90,0,,0,0
91,2,,0,2
92,1,,0,1
93,2,,0,2
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,0,,0,0
100,0,,0,0
101,0,,0,0
102,,1,0,1
103,2,,0,2
104,0,,0,0
105,2,,0,2
106,1,,0,1
107,0,,0,0
108,0,,0,0
109,0,,0,0
110,,0,0,0
111,1,,0,1
112,,0,0,0
113,3,,0,3
114,0,,0,0
115,0,,0,0
116,,2,0,2
117,,2,0,2
118,2,,0,2
119,0,,0,0
120,3,,0,3
121,,0,0,0
122,0,,0,0
123,0,,0,0
124,0,,0,0
125,0,,0,0
126,0,,0,0
127,2,,0,2
128,,0,0,0
129,0,,0,0
130,,0,0,0
131,0,,0,0
132,1,,0,1
133,0,,0,0
134,0,,0,0
135,0,,0,0
136,1,,0,1
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,3,,0,3
143,0,,0,0
144,,0,0,0
145,,0,0,0
146,1,,0,1
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,2,,0,2
153,2,,0,2
154,1,,0,1
155,2,,0,2
156,1,,0,1
157,0,,0,0
158,0,,0,0
159,1,,0,1
160,,0,0,0
161,,1,0,1
162,1,,0,1
163,1,,0,1
164,0,,0,0
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,1,,0,1
170,1,,0,1
171,0,,0,0
172,2,,0,2
173,0,,0,0
174,1,,0,1
175,3,,0,3
176,0,,0,0
177,0,,0,0
178,0,,0,0
179,0,,0,0
180,0,,0,0
181,,0,0,0
182,0,,0,0
183,,0,0,0
184,0,,0,0
185,0,,0,0
186,0,,0,0
187,2,,0,2
188,2,,0,2
189,2,,0,2
190,1,,0,1
191,,0,0,0
192,0,,0,0
193,,0,0,0
194,1,,0,1
195,0,,0,0
196,0,,0,0
197,0,,0,0
198,0,,0,0
199,1,,0,1
200,,0,0,0
201,1,,0,1
202,0,,0,0
203,0,,0,0
