,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,0,,0,0
2,1,,0,1
3,2,,2,0
4,0,,0,0
5,0,,0,0
6,0,,0,0
7,0,,0,0
8,,3,2,1
9,1,,1,0
10,1,,1,0
11,0,,0,0
12,0,,0,0
13,1,,1,0
14,,1,1,0
15,2,,2,0
16,0,,0,0
17,0,,0,0
18,1,,1,0
19,,0,0,0
20,0,,0,0
21,,0,0,0
22,,1,1,0
23,0,,0,0
24,,0,0,0
25,0,,0,0
26,0,,0,0
27,1,,1,0
28,0,,0,0
29,3,,3,0
30,,1,1,0
31,0,,0,0
32,,3,3,0
33,0,,0,0
34,0,,0,0
35,,2,1,1
36,2,,2,0
37,1,,1,0
38,2,,2,0
39,,0,0,0
40,3,,3,0
41,0,,0,0
42,1,,0,1
43,1,,1,0
44,2,,1,1
45,,1,1,0
46,,0,0,0
47,0,,0,0
48,1,,1,0
49,1,,1,0
50,0,,0,0
51,0,,0,0
52,0,,0,0
53,,1,0,1
54,,0,0,0
55,0,,0,0
56,,4,4,0
57,1,,1,0
58,,0,0,0
59,,3,3,0
60,,1,1,0
61,1,,1,0
62,,0,0,0
63,,1,1,0
64,2,,2,0
65,2,,1,1
66,0,,0,0
67,,0,0,0
68,2,,1,1
69,0,,0,0
70,0,,0,0
71,,3,3,0
72,0,,0,0
73,,0,0,0
74,,1,1,0
75,0,,0,0
76,,4,4,0
77,0,,0,0
78,,0,0,0
79,0,,0,0
80,1,,1,0
81,,0,0,0
82,,1,1,0
83,0,,0,0
84,,0,0,0
85,,4,4,0
86,1,,1,0
87,0,,0,0
88,1,,1,0
89,0,,0,0
90,1,,1,0
91,,0,0,0
92,0,,0,0
93,,1,1,0
94,1,,1,0
95,0,,0,0
96,0,,0,0
97,1,,1,0
98,2,,2,0
99,3,,2,1
100,,1,1,0
101,,3,2,1
102,1,,1,0
103,1,,1,0
104,,0,0,0
105,0,,0,0
106,,0,0,0
107,0,,0,0
108,1,,1,0
109,2,,2,0
110,0,,0,0
111,0,,0,0
112,2,,2,0
113,,0,0,0
114,0,,0,0
115,,0,0,0
116,0,,0,0
117,0,,0,0
118,2,,2,0
119,3,,2,1
120,,0,0,0
121,0,,0,0
122,,0,0,0
123,1,,1,0
124,0,,0,0
125,0,,0,0
126,1,,1,0
127,1,,1,0
128,,0,0,0
129,0,,0,0
130,0,,0,0
131,1,,0,1
132,,2,1,1
133,5,,4,1
134,,8,7,1
135,0,,0,0
136,1,,1,0
137,1,,1,0
138,,0,0,0
139,1,,1,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,,0,0,0
144,0,,0,0
145,,1,1,0
146,0,,0,0
147,,0,0,0
148,0,,0,0
149,,0,0,0
150,,2,2,0
151,0,,0,0
152,1,,1,0
153,0,,0,0
154,1,,1,0
155,0,,0,0
156,,1,0,1
157,,0,0,0
158,0,,0,0
159,,0,0,0
160,0,,0,0
161,0,,0,0
162,0,,0,0
163,,0,0,0
164,,1,0,1
165,,0,0,0
166,,0,0,0
167,,1,0,1
168,1,,0,1
169,0,,0,0
170,2,,1,1
171,2,,2,0
172,0,,0,0
173,,0,0,0
174,0,,0,0
175,,0,0,0
176,2,,2,0
177,2,,2,0
178,1,,0,1
179,0,,0,0
180,0,,0,0
181,,0,0,0
182,0,,0,0
183,1,,1,0
184,1,,0,1
185,,1,0,1
186,1,,1,0
187,0,,0,0
188,,0,0,0
189,,1,1,0
190,2,,1,1
191,0,,0,0
192,,3,2,1
193,0,,0,0
194,3,,1,2
195,,2,2,0
196,,2,2,0
197,0,,0,0
198,1,,1,0
199,0,,0,0
200,1,,1,0
201,0,,0,0
202,,0,0,0
203,,1,0,1
204,,0,0,0
205,0,,0,0
206,0,,0,0
207,,0,0,0
208,0,,0,0
209,1,,1,0
210,0,,0,0
211,1,,1,0
212,,0,0,0
213,,1,1,0
214,0,,0,0
215,0,,0,0
216,,0,0,0
217,,0,0,0
218,,1,1,0
219,,0,0,0
220,0,,0,0
221,,1,1,0
222,1,,1,0
223,,0,0,0
224,4,,4,0
225,,0,0,0
226,0,,0,0
227,,5,5,0
228,3,,3,0
229,,0,0,0
230,,0,0,0
231,,0,0,0
232,,1,0,1
233,,0,0,0
234,,1,1,0
235,0,,0,0
236,0,,0,0
237,0,,0,0
238,0,,0,0
239,0,,0,0
240,0,,0,0
241,1,,1,0
242,1,,1,0
243,,1,0,1
244,0,,0,0
245,0,,0,0
246,0,,0,0
247,0,,0,0
248,1,,1,0
249,,0,0,0
250,0,,0,0
251,,0,0,0
252,,0,0,0
253,,0,0,0
254,0,,0,0
255,0,,0,0
256,,0,0,0
257,,1,1,0
258,3,,3,0
259,0,,0,0
260,0,,0,0
261,2,,2,0
262,1,,0,1
263,,2,2,0
264,,1,1,0
265,5,,4,1
266,1,,0,1
267,1,,1,0
268,2,,2,0
269,1,,0,1
270,0,,0,0
271,2,,2,0
272,,0,0,0
