,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,,2,1,1
2,,1,1,0
3,0,,0,0
4,,1,1,0
5,0,,0,0
6,,0,0,0
7,1,,1,0
8,,0,0,0
9,2,,1,1
10,0,,0,0
11,,1,1,0
12,0,,0,0
13,0,,0,0
14,1,,1,0
15,,2,2,0
16,1,,1,0
17,0,,0,0
18,0,,0,0
19,3,,2,1
20,,0,0,0
21,0,,0,0
22,0,,0,0
23,2,,2,0
24,5,,4,1
25,0,,0,0
26,0,,0,0
27,2,,1,1
28,,0,0,0
29,0,,0,0
30,,0,0,0
31,1,,1,0
32,,0,0,0
33,2,,2,0
34,2,,1,1
35,2,,1,1
36,2,,2,0
37,0,,0,0
38,0,,0,0
39,1,,1,0
40,,1,1,0
41,,0,0,0
42,1,,1,0
43,0,,0,0
44,1,,1,0
45,1,,0,1
46,0,,0,0
47,0,,0,0
48,,0,0,0
49,,0,0,0
50,0,,0,0
51,2,,2,0
52,,0,0,0
53,1,,0,1
54,2,,1,1
55,1,,1,0
56,1,,1,0
57,,0,0,0
58,1,,1,0
59,2,,1,1
60,,2,2,0
61,,1,1,0
62,1,,0,1
63,0,,0,0
64,0,,0,0
65,1,,1,0
66,,0,0,0
67,,0,0,0
68,,0,0,0
69,0,,0,0
70,0,,0,0
71,2,,2,0
72,1,,1,0
73,1,,1,0
74,2,,2,0
75,2,,2,0
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,0,,0,0
80,3,,3,0
81,0,,0,0
82,,0,0,0
83,0,,0,0
84,0,,0,0
85,3,,3,0
86,0,,0,0
87,,0,0,0
88,,0,0,0
89,,0,0,0
90,0,,0,0
91,,1,1,0
92,0,,0,0
93,2,,2,0
94,2,,2,0
95,0,,0,0
96,2,,1,1
97,0,,0,0
98,,0,0,0
99,1,,1,0
100,0,,0,0
101,2,,1,1
102,0,,0,0
103,1,,1,0
104,,0,0,0
105,0,,0,0
106,0,,0,0
107,0,,0,0
108,0,,0,0
109,0,,0,0
110,0,,0,0
111,1,,1,0
112,,0,0,0
113,1,,0,1
114,,1,0,1
115,0,,0,0
116,0,,0,0
117,,0,0,0
118,0,,0,0
119,,1,0,1
120,0,,0,0
121,0,,0,0
122,1,,1,0
123,,0,0,0
124,1,,0,1
125,,0,0,0
126,1,,1,0
127,,0,0,0
128,1,,1,0
129,0,,0,0
130,0,,0,0
131,,2,1,1
132,0,,0,0
133,0,,0,0
134,3,,1,2
135,,0,0,0
136,,0,0,0
137,,0,0,0
138,0,,0,0
139,1,,0,1
140,,0,0,0
141,1,,1,0
142,0,,0,0
143,0,,0,0
144,,1,1,0
145,,0,0,0
146,,2,1,1
147,,0,0,0
148,,0,0,0
149,4,,4,0
150,,0,0,0
151,0,,0,0
152,,0,0,0
153,,0,0,0
154,,0,0,0
155,0,,0,0
156,,0,0,0
157,1,,1,0
158,0,,0,0
159,2,,1,1
160,2,,2,0
161,,0,0,0
162,1,,1,0
163,,1,1,0
164,0,,0,0
165,2,,1,1
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,1,,1,0
171,0,,0,0
172,1,,1,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,1,,1,0
178,0,,0,0
179,0,,0,0
180,2,,2,0
181,,0,0,0
182,2,,2,0
183,0,,0,0
184,0,,0,0
185,2,,2,0
186,1,,1,0
187,,0,0,0
188,,1,0,1
189,2,,1,1
190,2,,2,0
191,1,,0,1
192,,0,0,0
193,1,,1,0
194,0,,0,0
195,1,,1,0
196,2,,2,0
197,0,,0,0
198,3,,2,1
199,2,,2,0
200,1,,1,0
201,0,,0,0
202,2,,2,0
203,0,,0,0
204,0,,0,0
205,,0,0,0
206,3,,3,0
207,4,,3,1
208,1,,1,0
209,,0,0,0
210,1,,1,0
211,1,,1,0
212,0,,0,0
213,,0,0,0
214,0,,0,0
215,3,,3,0
216,1,,1,0
217,0,,0,0
218,2,,2,0
219,0,,0,0
220,0,,0,0
221,0,,0,0
222,0,,0,0
223,1,,0,1
224,0,,0,0
225,0,,0,0
226,,1,1,0
227,,0,0,0
228,,0,0,0
229,0,,0,0
230,,0,0,0
231,0,,0,0
232,,0,0,0
233,,1,1,0
234,0,,0,0
235,,0,0,0
236,0,,0,0
237,0,,0,0
238,1,,0,1
239,0,,0,0
240,0,,0,0
241,1,,0,1
242,2,,2,0
243,0,,0,0
244,3,,2,1
245,0,,0,0
246,,1,1,0
247,0,,0,0
248,0,,0,0
249,0,,0,0
250,,0,0,0
251,0,,0,0
252,,0,0,0
253,,1,1,0
254,0,,0,0
255,,0,0,0
256,0,,0,0
257,,0,0,0
