,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,0,0,0
2,0,,0,0
3,,0,0,0
4,,0,0,0
5,0,,0,0
6,1,,1,0
7,,0,0,0
8,,0,0,0
9,0,,0,0
10,,0,0,0
11,2,,2,0
12,0,,0,0
13,,0,0,0
14,3,,3,0
15,,0,0,0
16,,1,1,0
17,,2,1,1
18,,1,1,0
19,1,,1,0
20,,1,1,0
21,,0,0,0
22,,0,0,0
23,,1,1,0
24,1,,1,0
25,0,,0,0
26,1,,1,0
27,0,,0,0
28,1,,1,0
29,1,,1,0
30,0,,0,0
31,0,,0,0
32,0,,0,0
33,0,,0,0
34,0,,0,0
35,2,,2,0
36,,0,0,0
37,1,,1,0
38,3,,3,0
39,4,,3,1
40,0,,0,0
41,0,,0,0
42,0,,0,0
43,1,,1,0
44,0,,0,0
45,1,,1,0
46,1,,1,0
47,1,,1,0
48,,0,0,0
49,0,,0,0
50,0,,0,0
51,2,,2,0
52,2,,1,1
53,0,,0,0
54,1,,1,0
55,,1,1,0
56,2,,2,0
57,1,,1,0
58,,0,0,0
59,0,,0,0
60,4,,4,0
61,0,,0,0
62,3,,2,1
63,,0,0,0
64,,0,0,0
65,0,,0,0
66,,0,0,0
67,,1,1,0
68,2,,1,1
69,,1,1,0
70,,1,1,0
71,,0,0,0
72,1,,1,0
73,0,,0,0
74,,1,1,0
75,0,,0,0
76,0,,0,0
77,1,,1,0
78,1,,0,1
79,2,,2,0
80,,0,0,0
81,,1,1,0
82,0,,0,0
83,1,,1,0
84,,0,0,0
85,,2,2,0
86,0,,0,0
87,,0,0,0
88,0,,0,0
89,,0,0,0
90,,0,0,0
91,,0,0,0
92,1,,1,0
93,0,,0,0
94,0,,0,0
95,1,,0,1
96,2,,1,1
97,,1,1,0
98,2,,1,1
99,0,,0,0
100,,0,0,0
101,,2,2,0
102,1,,1,0
103,0,,0,0
104,2,,2,0
105,,1,1,0
106,2,,2,0
107,2,,2,0
108,,3,2,1
109,0,,0,0
110,2,,2,0
111,2,,2,0
112,,0,0,0
113,0,,0,0
114,0,,0,0
115,2,,2,0
116,1,,1,0
117,2,,2,0
118,0,,0,0
119,2,,1,1
120,,0,0,0
121,0,,0,0
122,0,,0,0
123,1,,0,1
124,,0,0,0
125,,0,0,0
126,2,,2,0
127,2,,2,0
128,3,,3,0
129,0,,0,0
130,,0,0,0
131,0,,0,0
132,1,,1,0
133,0,,0,0
134,,0,0,0
135,0,,0,0
136,,0,0,0
137,0,,0,0
138,4,,3,1
139,,0,0,0
140,2,,1,1
141,,0,0,0
142,0,,0,0
143,,4,4,0
144,0,,0,0
145,1,,1,0
146,0,,0,0
147,0,,0,0
148,0,,0,0
149,,1,1,0
150,4,,4,0
151,,0,0,0
152,,1,0,1
153,2,,1,1
154,,2,2,0
155,0,,0,0
156,3,,2,1
157,0,,0,0
158,1,,1,0
159,2,,2,0
160,,2,1,1
161,2,,2,0
162,1,,1,0
163,,0,0,0
164,0,,0,0
165,,1,0,1
166,0,,0,0
167,,1,1,0
168,0,,0,0
169,,0,0,0
170,,2,2,0
171,2,,2,0
172,0,,0,0
173,4,,4,0
174,2,,1,1
175,0,,0,0
176,0,,0,0
177,2,,2,0
178,1,,0,1
179,2,,2,0
180,,1,1,0
181,,0,0,0
182,,0,0,0
183,1,,1,0
184,,0,0,0
185,,1,1,0
186,2,,2,0
187,1,,1,0
188,1,,0,1
189,0,,0,0
190,0,,0,0
191,,0,0,0
192,,1,0,1
193,0,,0,0
194,0,,0,0
195,1,,1,0
196,,1,1,0
197,,0,0,0
198,0,,0,0
199,1,,1,0
200,,0,0,0
201,0,,0,0
202,0,,0,0
203,,0,0,0
