,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,1,,1,0
1,,1,1,0
2,,1,1,0
3,,1,0,1
4,0,,0,0
5,,0,0,0
6,,0,0,0
7,,0,0,0
8,0,,0,0
9,,1,1,0
10,,2,2,0
11,1,,1,0
12,2,,2,0
13,,0,0,0
14,0,,0,0
15,,0,0,0
16,,2,2,0
17,4,,4,0
18,1,,1,0
19,0,,0,0
20,,0,0,0
21,,1,1,0
22,3,,2,1
23,,1,1,0
24,2,,2,0
25,0,,0,0
26,0,,0,0
27,,1,1,0
28,2,,1,1
29,,1,1,0
30,0,,0,0
31,0,,0,0
32,,1,1,0
33,,0,0,0
34,,1,1,0
35,0,,0,0
36,1,,1,0
37,,0,0,0
38,,0,0,0
39,2,,2,0
40,3,,3,0
41,0,,0,0
42,,1,1,0
43,,1,1,0
44,1,,1,0
45,0,,0,0
46,,1,1,0
47,,2,1,1
48,,2,1,1
49,1,,1,0
50,3,,3,0
51,1,,0,1
52,,1,1,0
53,,1,1,0
54,1,,0,1
55,3,,3,0
56,,2,2,0
57,0,,0,0
58,,3,3,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,0,,0,0
64,1,,0,1
65,0,,0,0
66,2,,2,0
67,0,,0,0
68,,1,1,0
69,,1,0,1
70,,4,3,1
71,0,,0,0
72,,0,0,0
73,2,,2,0
74,,0,0,0
75,0,,0,0
76,0,,0,0
77,1,,1,0
78,0,,0,0
79,,1,1,0
80,,2,2,0
81,0,,0,0
82,0,,0,0
83,,1,1,0
84,0,,0,0
85,,0,0,0
86,1,,0,1
87,3,,3,0
88,3,,3,0
89,2,,2,0
90,,2,2,0
91,0,,0,0
92,2,,2,0
93,0,,0,0
94,0,,0,0
95,,1,1,0
96,1,,1,0
97,0,,0,0
98,,0,0,0
99,,2,1,1
100,0,,0,0
101,0,,0,0
102,4,,4,0
103,0,,0,0
104,0,,0,0
105,0,,0,0
106,2,,2,0
107,,1,1,0
108,0,,0,0
109,0,,0,0
110,,1,1,0
111,1,,1,0
112,1,,1,0
113,1,,0,1
114,2,,2,0
115,0,,0,0
116,0,,0,0
117,,0,0,0
118,,0,0,0
119,3,,3,0
120,0,,0,0
121,0,,0,0
122,0,,0,0
123,1,,1,0
124,,2,2,0
125,0,,0,0
126,2,,2,0
127,2,,2,0
128,0,,0,0
129,4,,4,0
130,0,,0,0
131,0,,0,0
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,,4,2,2
136,0,,0,0
137,1,,1,0
138,1,,1,0
139,0,,0,0
140,0,,0,0
141,1,,1,0
142,,1,1,0
143,1,,1,0
144,,4,3,1
145,2,,1,1
146,0,,0,0
147,1,,1,0
148,,0,0,0
149,2,,2,0
150,2,,2,0
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,0,,0,0
158,,2,2,0
159,,1,0,1
160,,0,0,0
161,1,,1,0
162,4,,3,1
163,1,,1,0
164,3,,2,1
165,,2,2,0
166,2,,2,0
167,1,,1,0
168,0,,0,0
169,4,,4,0
170,,1,1,0
171,2,,1,1
172,2,,2,0
173,1,,0,1
174,2,,2,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,0,,0,0
179,0,,0,0
180,0,,0,0
181,,0,0,0
182,1,,1,0
183,0,,0,0
184,0,,0,0
185,,0,0,0
186,0,,0,0
187,,1,1,0
188,0,,0,0
189,0,,0,0
190,1,,1,0
191,0,,0,0
192,0,,0,0
193,0,,0,0
194,1,,0,1
195,,2,2,0
196,3,,3,0
197,,0,0,0
198,2,,2,0
199,,0,0,0
200,,0,0,0
201,1,,1,0
202,0,,0,0
203,0,,0,0
204,0,,0,0
205,,1,1,0
206,,0,0,0
207,1,,1,0
208,,1,1,0
209,1,,0,1
210,0,,0,0
211,0,,0,0
212,0,,0,0
213,0,,0,0
