,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,0,0,0
2,0,,0,0
3,0,,0,0
4,2,,0,2
5,0,,0,0
6,0,,0,0
7,0,,0,0
8,2,,0,2
9,,0,0,0
10,1,,0,1
11,0,,0,0
12,,2,0,2
13,1,,0,1
14,0,,0,0
15,2,,0,2
16,0,,0,0
17,1,,0,1
18,,2,0,2
19,0,,0,0
20,0,,0,0
21,1,,0,1
22,0,,0,0
23,0,,0,0
24,0,,0,0
25,2,,0,2
26,0,,0,0
27,0,,0,0
28,0,,0,0
29,3,,0,3
30,,0,0,0
31,1,,0,1
32,1,,0,1
33,2,,0,2
34,0,,0,0
35,0,,0,0
36,1,,0,1
37,0,,0,0
38,0,,0,0
39,0,,0,0
40,1,,0,1
41,0,,0,0
42,0,,0,0
43,0,,0,0
44,1,,0,1
45,0,,0,0
46,1,,0,1
47,1,,0,1
48,,1,0,1
49,3,,0,3
50,1,,0,1
51,0,,0,0
52,,0,0,0
53,0,,0,0
54,0,,0,0
55,,1,0,1
56,0,,0,0
57,0,,0,0
58,0,,0,0
59,1,,0,1
60,0,,0,0
61,2,,0,2
62,0,,0,0
63,0,,0,0
64,1,,0,1
65,0,,0,0
66,0,,0,0
67,0,,0,0
68,0,,0,0
69,0,,0,0
70,,1,0,1
71,0,,0,0
72,1,,0,1
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,4,,0,4
80,,1,0,1
81,0,,0,0
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,2,,0,2
86,0,,0,0
87,0,,0,0
88,0,,0,0
89,1,,0,1
90,,3,0,3
91,1,,0,1
92,0,,0,0
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,1,,0,1
98,,1,0,1
99,0,,0,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,,0,0,0
104,0,,0,0
105,2,,0,2
106,0,,0,0
107,0,,0,0
108,0,,0,0
109,1,,0,1
110,1,,0,1
111,,0,0,0
112,,0,0,0
113,0,,0,0
114,3,,0,3
115,1,,0,1
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,3,,0,3
120,0,,0,0
121,0,,0,0
122,0,,0,0
123,0,,0,0
124,,0,0,0
125,,0,0,0
126,0,,0,0
127,,0,0,0
128,2,,0,2
129,0,,0,0
130,0,,0,0
131,,2,0,2
132,0,,0,0
133,0,,0,0
134,0,,0,0
135,0,,0,0
136,0,,0,0
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,,0,0,0
141,,0,0,0
142,0,,0,0
143,0,,0,0
144,,1,0,1
145,2,,0,2
146,1,,0,1
147,1,,0,1
148,2,,0,2
149,0,,0,0
150,,0,0,0
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,0,,0,0
158,0,,0,0
159,0,,0,0
160,0,,0,0
161,0,,0,0
162,,0,0,0
163,2,,0,2
164,0,,0,0
165,,0,0,0
166,1,,0,1
167,4,,0,4
168,0,,0,0
169,3,,0,3
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,,4,0,4
179,,3,0,3
180,0,,0,0
181,1,,0,1
182,2,,0,2
183,0,,0,0
184,2,,0,2
185,1,,0,1
186,,0,0,0
187,0,,0,0
188,3,,0,3
189,0,,0,0
190,0,,0,0
191,,1,0,1
192,0,,0,0
193,1,,0,1
194,,1,0,1
195,,0,0,0
196,,0,0,0
197,0,,0,0
198,1,,0,1
199,,0,0,0
200,,2,0,2
201,0,,0,0
202,0,,0,0
203,0,,0,0
