,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,1,1,0
1,,0,0,0
2,0,,0,0
3,,0,0,0
4,,1,0,1
5,,0,0,0
6,2,,2,0
7,,2,2,0
8,,0,0,0
9,,0,0,0
10,,0,0,0
11,,0,0,0
12,,1,1,0
13,0,,0,0
14,,0,0,0
15,,0,0,0
16,,0,0,0
17,,0,0,0
18,,1,1,0
19,3,,3,0
20,0,,0,0
21,1,,1,0
22,1,,1,0
23,0,,0,0
24,,1,0,1
25,2,,1,1
26,,0,0,0
27,0,,0,0
28,0,,0,0
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,0,,0,0
33,1,,1,0
34,2,,1,1
35,0,,0,0
36,1,,1,0
37,1,,1,0
38,0,,0,0
39,0,,0,0
40,1,,1,0
41,0,,0,0
42,,0,0,0
43,,0,0,0
44,,0,0,0
45,2,,2,0
46,,2,2,0
47,,0,0,0
48,0,,0,0
49,2,,1,1
50,1,,0,1
51,1,,0,1
52,,3,0,3
53,,0,0,0
54,0,,0,0
55,0,,0,0
56,1,,1,0
57,0,,0,0
58,0,,0,0
59,0,,0,0
60,,0,0,0
61,0,,0,0
62,0,,0,0
63,2,,2,0
64,0,,0,0
65,1,,1,0
66,0,,0,0
67,1,,0,1
68,0,,0,0
69,0,,0,0
70,2,,2,0
71,2,,2,0
72,,1,0,1
73,0,,0,0
74,,1,1,0
75,1,,1,0
76,2,,2,0
77,,0,0,0
78,1,,1,0
79,0,,0,0
80,0,,0,0
81,1,,1,0
82,0,,0,0
83,,0,0,0
84,3,,2,1
85,0,,0,0
86,,1,1,0
87,,0,0,0
88,2,,2,0
89,3,,0,3
90,,1,1,0
91,1,,1,0
92,2,,2,0
93,0,,0,0
94,2,,2,0
95,5,,2,3
96,1,,1,0
97,2,,2,0
98,1,,0,1
99,,1,1,0
100,1,,1,0
101,0,,0,0
102,,2,2,0
103,1,,1,0
104,2,,2,0
105,0,,0,0
106,4,,3,1
107,,0,0,0
108,2,,2,0
109,,0,0,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,,0,0,0
114,,0,0,0
115,2,,2,0
116,3,,3,0
117,0,,0,0
118,2,,2,0
119,0,,0,0
120,5,,3,2
121,,0,0,0
122,,1,1,0
123,1,,1,0
124,1,,1,0
125,0,,0,0
126,,1,1,0
127,,0,0,0
128,0,,0,0
129,2,,1,1
130,,0,0,0
131,,1,1,0
132,0,,0,0
133,,1,0,1
134,1,,0,1
135,2,,1,1
136,2,,1,1
137,,0,0,0
138,1,,1,0
139,,0,0,0
140,1,,0,1
141,0,,0,0
142,1,,1,0
143,0,,0,0
144,,0,0,0
145,0,,0,0
146,1,,1,0
147,3,,3,0
148,0,,0,0
149,0,,0,0
150,1,,0,1
151,,0,0,0
152,3,,3,0
153,0,,0,0
154,5,,3,2
155,0,,0,0
156,3,,2,1
157,0,,0,0
158,0,,0,0
159,1,,1,0
160,,0,0,0
161,1,,0,1
162,,0,0,0
163,1,,0,1
164,0,,0,0
165,1,,1,0
166,0,,0,0
167,2,,1,1
168,0,,0,0
169,,1,1,0
170,3,,2,1
171,1,,1,0
172,1,,1,0
173,1,,1,0
174,5,,3,2
175,1,,1,0
176,1,,1,0
177,1,,1,0
178,0,,0,0
179,2,,1,1
180,,2,1,1
181,,1,1,0
182,1,,1,0
183,0,,0,0
184,3,,2,1
185,2,,2,0
186,,1,0,1
187,0,,0,0
188,0,,0,0
189,1,,1,0
190,,1,1,0
191,1,,1,0
192,,0,0,0
193,1,,1,0
194,1,,1,0
195,,1,1,0
196,2,,2,0
197,,0,0,0
198,1,,0,1
199,0,,0,0
200,2,,2,0
201,0,,0,0
202,0,,0,0
203,0,,0,0
204,1,,0,1
205,,2,2,0
206,,1,1,0
207,,0,0,0
208,1,,1,0
209,0,,0,0
210,2,,2,0
211,,1,1,0
212,2,,2,0
213,,0,0,0
214,,2,1,1
215,1,,0,1
216,0,,0,0
217,,2,1,1
218,2,,1,1
219,2,,2,0
220,1,,1,0
221,2,,2,0
222,0,,0,0
223,0,,0,0
224,0,,0,0
225,,0,0,0
226,0,,0,0
227,0,,0,0
228,,1,0,1
229,0,,0,0
230,0,,0,0
231,4,,3,1
232,0,,0,0
233,3,,3,0
234,0,,0,0
235,1,,1,0
236,0,,0,0
237,,0,0,0
238,,2,2,0
239,0,,0,0
240,,0,0,0
241,,0,0,0
242,0,,0,0
243,2,,1,1
244,1,,0,1
245,0,,0,0
246,0,,0,0
247,1,,1,0
248,1,,1,0
249,,1,1,0
250,2,,1,1
251,,0,0,0
252,0,,0,0
253,,1,1,0
254,3,,2,1
255,,1,0,1
256,,0,0,0
257,0,,0,0
258,0,,0,0
259,0,,0,0
260,3,,2,1
261,2,,1,1
262,0,,0,0
263,0,,0,0
264,1,,1,0
265,1,,1,0
266,,0,0,0
267,,0,0,0
268,,0,0,0
269,,0,0,0
270,4,,2,2
271,2,,2,0
272,1,,1,0
273,0,,0,0
274,,1,0,1
275,2,,1,1
276,1,,1,0
277,0,,0,0
278,,2,2,0
279,2,,2,0
280,0,,0,0
281,0,,0,0
282,3,,2,1
283,2,,1,1
284,2,,0,2
285,,0,0,0
286,2,,1,1
287,0,,0,0
288,,0,0,0
289,0,,0,0
290,0,,0,0
291,0,,0,0
292,,3,2,1
293,,0,0,0
294,2,,2,0
295,1,,0,1
296,0,,0,0
297,,2,2,0
298,1,,1,0
299,,0,0,0
300,,0,0,0
301,3,,2,1
302,3,,2,1
303,0,,0,0
304,1,,0,1
305,,0,0,0
306,0,,0,0
307,,0,0,0
308,2,,2,0
309,0,,0,0
310,1,,0,1
311,2,,2,0
312,1,,1,0
313,,0,0,0
314,,0,0,0
315,0,,0,0
316,,2,1,1
317,3,,2,1
318,1,,1,0
319,,1,1,0
320,1,,0,1
321,2,,2,0
322,0,,0,0
323,,0,0,0
324,,0,0,0
325,2,,2,0
326,,0,0,0
327,1,,1,0
328,1,,1,0
329,0,,0,0
330,,1,1,0
331,0,,0,0
332,,1,1,0
333,3,,3,0
334,0,,0,0
335,0,,0,0
336,1,,0,1
337,0,,0,0
338,1,,1,0
339,,0,0,0
340,,0,0,0
341,1,,0,1
342,2,,1,1
343,4,,3,1
344,,0,0,0
345,1,,1,0
346,0,,0,0
347,,0,0,0
348,0,,0,0
349,2,,2,0
350,,2,2,0
351,0,,0,0
352,0,,0,0
