,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,0,0,0
1,,0,0,0
2,3,,1,2
3,,0,0,0
4,,0,0,0
5,2,,2,0
6,3,,3,0
7,3,,2,1
8,1,,1,0
9,0,,0,0
10,,1,0,1
11,2,,2,0
12,2,,2,0
13,0,,0,0
14,,0,0,0
15,0,,0,0
16,,0,0,0
17,,0,0,0
18,1,,1,0
19,0,,0,0
20,0,,0,0
21,,0,0,0
22,1,,0,1
23,2,,2,0
24,0,,0,0
25,2,,2,0
26,0,,0,0
27,1,,1,0
28,2,,1,1
29,3,,2,1
30,0,,0,0
31,2,,2,0
32,0,,0,0
33,0,,0,0
34,2,,0,2
35,0,,0,0
36,2,,2,0
37,,1,1,0
38,0,,0,0
39,1,,1,0
40,,0,0,0
41,1,,1,0
42,1,,0,1
43,0,,0,0
44,,0,0,0
45,1,,1,0
46,0,,0,0
47,0,,0,0
48,,0,0,0
49,2,,2,0
50,0,,0,0
51,2,,1,1
52,0,,0,0
53,,1,1,0
54,1,,1,0
55,0,,0,0
56,0,,0,0
57,,0,0,0
58,1,,1,0
59,0,,0,0
60,2,,1,1
61,0,,0,0
62,0,,0,0
63,1,,1,0
64,1,,1,0
65,1,,1,0
66,0,,0,0
67,,0,0,0
68,0,,0,0
69,0,,0,0
70,3,,3,0
71,0,,0,0
72,1,,1,0
73,0,,0,0
74,,0,0,0
75,,1,1,0
76,0,,0,0
77,0,,0,0
78,1,,0,1
79,,0,0,0
80,2,,2,0
81,,3,2,1
82,2,,1,1
83,0,,0,0
84,2,,0,2
85,0,,0,0
86,0,,0,0
87,1,,1,0
88,0,,0,0
89,3,,2,1
90,,0,0,0
91,,0,0,0
92,0,,0,0
93,0,,0,0
94,3,,3,0
95,2,,1,1
96,,0,0,0
97,1,,1,0
98,,0,0,0
99,0,,0,0
100,2,,2,0
101,0,,0,0
102,,0,0,0
103,0,,0,0
104,2,,1,1
105,0,,0,0
106,,0,0,0
107,1,,1,0
108,0,,0,0
109,1,,1,0
110,4,,4,0
111,1,,1,0
112,,2,1,1
113,0,,0,0
114,0,,0,0
115,,0,0,0
116,,0,0,0
117,0,,0,0
118,1,,1,0
119,2,,2,0
120,1,,1,0
121,,1,1,0
122,0,,0,0
123,0,,0,0
124,,0,0,0
125,,0,0,0
126,,0,0,0
127,0,,0,0
128,0,,0,0
129,0,,0,0
130,0,,0,0
131,0,,0,0
132,0,,0,0
133,,0,0,0
134,1,,1,0
135,,0,0,0
136,,0,0,0
137,0,,0,0
138,1,,1,0
139,,0,0,0
140,0,,0,0
141,0,,0,0
142,2,,2,0
143,1,,1,0
144,,0,0,0
145,1,,1,0
146,0,,0,0
147,0,,0,0
148,,1,0,1
149,,1,1,0
150,3,,2,1
151,,0,0,0
152,0,,0,0
153,0,,0,0
154,4,,4,0
155,0,,0,0
156,0,,0,0
157,1,,1,0
158,,0,0,0
159,,0,0,0
160,0,,0,0
161,1,,1,0
162,,1,0,1
163,,0,0,0
164,2,,1,1
165,0,,0,0
166,2,,2,0
167,1,,1,0
168,1,,0,1
169,3,,3,0
170,1,,1,0
171,,0,0,0
172,0,,0,0
173,3,,1,2
174,,1,1,0
175,1,,0,1
176,,0,0,0
177,0,,0,0
178,0,,0,0
179,,2,2,0
180,4,,3,1
181,,0,0,0
182,1,,1,0
183,1,,1,0
184,2,,2,0
185,1,,1,0
186,,0,0,0
187,2,,2,0
188,2,,1,1
189,,1,1,0
190,0,,0,0
191,0,,0,0
192,0,,0,0
193,,0,0,0
194,0,,0,0
195,1,,0,1
196,0,,0,0
197,2,,2,0
198,0,,0,0
199,0,,0,0
200,,0,0,0
201,,0,0,0
202,0,,0,0
203,3,,3,0
