,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,2,,0,2
2,1,,0,1
3,1,,0,1
4,,1,0,1
5,2,,0,2
6,0,,0,0
7,1,,0,1
8,1,,0,1
9,6,,0,6
10,3,,0,3
11,3,,0,3
12,2,,0,2
13,0,,0,0
14,0,,0,0
15,0,,0,0
16,4,,0,4
17,0,,0,0
18,,0,0,0
19,,1,0,1
20,0,,0,0
21,1,,0,1
22,1,,0,1
23,2,,0,2
24,,0,0,0
25,2,,0,2
26,,1,0,1
27,1,,0,1
28,0,,0,0
29,,0,0,0
30,3,,0,3
31,,0,0,0
32,1,,0,1
33,3,,0,3
34,1,,0,1
35,3,,0,3
36,,0,0,0
37,0,,0,0
38,2,,0,2
39,0,,0,0
40,0,,0,0
41,5,,0,5
42,,1,0,1
43,1,,0,1
44,1,,0,1
45,0,,0,0
46,5,,0,5
47,,0,0,0
48,0,,0,0
49,1,,0,1
50,0,,0,0
51,,0,0,0
52,,0,0,0
53,0,,0,0
54,0,,0,0
55,1,,0,1
56,1,,0,1
57,,0,0,0
58,0,,0,0
59,0,,0,0
60,0,,0,0
61,0,,0,0
62,0,,0,0
63,0,,0,0
64,0,,0,0
65,0,,0,0
66,0,,0,0
67,,0,0,0
68,0,,0,0
69,1,,0,1
70,1,,0,1
71,1,,0,1
72,,0,0,0
73,0,,0,0
74,0,,0,0
75,2,,0,2
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,1,,0,1
80,0,,0,0
81,0,,0,0
82,0,,0,0
83,0,,0,0
84,1,,0,1
85,1,,0,1
86,4,,0,4
87,0,,0,0
88,0,,0,0
89,,0,0,0
90,0,,0,0
91,3,,0,3
92,3,,0,3
93,4,,0,4
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,1,,0,1
99,,3,0,3
100,0,,0,0
101,1,,0,1
102,0,,0,0
103,0,,0,0
104,0,,0,0
105,1,,0,1
106,0,,0,0
107,0,,0,0
108,,0,0,0
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,0,,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,,0,0,0
119,,0,0,0
120,2,,0,2
121,3,,0,3
122,2,,0,2
123,0,,0,0
124,0,,0,0
125,0,,0,0
126,0,,0,0
127,0,,0,0
128,0,,0,0
129,0,,0,0
130,,1,0,1
131,1,,0,1
132,1,,0,1
133,2,,0,2
134,0,,0,0
135,0,,0,0
136,1,,0,1
137,0,,0,0
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,0,,0,0
143,2,,0,2
144,1,,0,1
145,1,,0,1
146,0,,0,0
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,1,,0,1
155,3,,0,3
156,3,,0,3
157,0,,0,0
158,1,,0,1
159,0,,0,0
160,0,,0,0
161,0,,0,0
162,1,,0,1
163,2,,0,2
164,0,,0,0
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,1,,0,1
169,,1,0,1
170,,0,0,0
171,0,,0,0
172,0,,0,0
173,1,,0,1
174,0,,0,0
175,0,,0,0
176,2,,0,2
